Location,Capacity_x_x,1-Jan-06,2-Jan-06,3-Jan-06,4-Jan-06,5-Jan-06,6-Jan-06,7-Jan-06,8-Jan-06,9-Jan-06,Capacity_y_x,10-Jan-06,11-Jan-06,12-Jan-06,13-Jan-06,14-Jan-06,15-Jan-06,16-Jan-06,17-Jan-06,18-Jan-06,Capacity_x_y,19-Jan-06,20-Jan-06,21-Jan-06,22-Jan-06,23-Jan-06,24-Jan-06,25-Jan-06,26-Jan-06,27-Jan-06,Capacity_y_y,28-Jan-06,29-Jan-06,30-Jan-06,31-Jan-06
Jackson Satellite Facility,102,102,102,102,102,102,102,102,102,102,102,102,102,102,94,94,95,102,101,102,102,102,94,94,94,98,102,102,98,92,102,92,92,97,97
Jefferson Satellite Facility,102,99,99,99,99,99,98,98,97,97,102,97,96,96,90,90,92,95,95,95,102,97,85,85,85,93,97,96,94,89,102,89,89,95,95
Leflore Satellite Facility,102,101,101,101,101,101,100,100,100,100,102,99,98,98,89,89,89,97,101,100,102,100,90,90,90,102,100,99,99,90,102,89,89,96,95
Madison Satellite Facility,102,101,101,101,100,101,101,101,101,101,102,100,99,100,93,93,93,98,100,99,102,98,95,95,94,96,101,101,100,98,102,97,97,99,101
Noxubee Satellite Facility,92,92,91,91,90,92,83,83,83,92,92,91,91,91,87,87,87,91,91,90,92,90,86,86,86,90,89,92,92,84,92,84,84,89,88
Pike Satellite Facility,93,87,87,87,87,86,84,84,82,82,93,82,82,82,78,78,78,79,78,77,93,77,76,76,75,76,76,81,80,79,93,79,79,79,82
Quitman Satellite Facility,93,85,85,85,85,84,85,85,85,85,93,85,85,86,75,75,75,84,84,84,93,83,79,78,78,80,81,82,81,76,93,76,76,79,84
Rankin Satellite Facility,228,225,225,226,226,226,225,225,225,225,228,225,225,221,215,215,215,221,221,220,228,220,213,213,213,226,226,226,224,218,228,218,218,222,223
Simpson Satellite Facility,102,97,97,97,96,95,95,95,95,95,102,95,96,91,87,87,87,89,95,96,102,97,91,90,90,95,97,97,99,97,102,97,97,99,99
Washington Satellite Facility,102,102,102,102,102,99,101,101,101,98,102,98,98,98,92,92,92,99,99,99,102,99,93,93,92,98,97,101,101,97,102,97,97,101,101
Wilkinson Satellite Facility,102,95,95,94,96,98,99,99,99,99,102,99,99,98,88,88,88,98,98,98,102,98,94,94,94,100,99,98,98,95,102,95,95,99,98
Yazoo Satellite Facility,102,99,99,99,97,100,100,100,100,100,102,100,100,100,93,93,93,100,102,102,102,102,96,96,96,102,101,100,100,94,102,94,94,100,98
REGIONAL CORRECTIONAL FACILITIES,"3,058","3,021","3,021","3,035","3,037","3,042","3,044","3,044","3,040","3,044","3,058","3,037","3,041","3,041","3,038","3,038","3,037","3,034","3,044","3,038","3,058","3,040","3,031","3,025","3,025","3,039","3,041","3,041","3,045","3,047","3,058","3,046","3,046","3,048","3,050"
Bolivar County,294,294,294,294,294,294,292,292,292,293,294,292,293,293,294,294,294,294,294,293,294,292,289,287,287,287,294,293,292,293,294,292,292,292,294
Carroll County,280,250,250,265,272,278,278,278,277,279,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,277,279,280,279,279,279,280
George County,280,277,277,276,275,279,279,279,278,278,280,278,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,279,277,276,280,276,276,277,277
Holmes County,280,280,280,280,279,279,280,280,280,280,280,280,279,279,279,279,279,279,279,278,280,278,277,277,277,279,279,275,279,279,280,279,279,280,280
Issaquena County,274,274,274,274,272,268,273,273,273,272,274,271,271,272,270,270,269,269,274,274,274,273,271,271,271,274,272,273,273,274,274,274,274,274,273
Jefferson County,250,250,250,250,249,249,249,249,249,249,250,242,242,242,242,242,242,241,243,243,250,248,247,245,245,246,245,249,249,249,250,249,249,249,250
Kemper County,280,278,278,278,279,279,279,279,279,279,280,278,279,279,279,279,279,278,278,277,280,277,277,276,276,280,278,278,280,280,280,280,280,280,280
Leake County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,278,278,278,278,280,280,280,280,280,280,280,280,280,280
Marion County,280,280,280,280,278,277,277,277,275,276,280,279,279,279,278,278,278,278,278,276,280,276,275,275,275,276,276,276,279,280,280,280,280,280,278
Stone County,280,280,280,280,280,280,279,279,279,280,280,280,280,280,280,280,280,280,280,278,280,278,278,278,278,280,280,280,280,280,280,280,280,280,279
Winston County,280,278,278,278,279,279,278,278,278,278,280,278,278,277,276,276,276,275,278,279,280,280,279,279,279,278,279,279,279,277,280,277,277,277,279
PRIVATE PRISONS,"5,100","4,797","4,796","4,792","4,782","4,781","4,779","4,779","4,775","4,773","5,100","4,762","4,756","4,750","4,742","4,743","4,739","4,736","4,750","4,760","5,100","4,770","4,764","4,761","4,760","4,760","4,761","4,758","4,766","4,756","5,100","4,754","4,751","4,764","4,770"
Delta,972,972,971,969,961,961,970,970,969,969,972,968,967,963,962,962,961,960,961,970,972,971,969,969,968,966,966,964,972,970,972,970,968,969,970
East Mississippi,"1,000",846,846,845,845,845,845,845,843,843,"1,000",843,842,841,841,841,841,840,835,835,"1,000",834,831,831,830,830,831,833,833,831,"1,000",831,830,834,834
