Location,Capacity_x_x,1-Mar-06,2-Mar-06,3-Mar-06,4-Mar-06,5-Mar-06,6-Mar-06,7-Mar-06,8-Mar-06,9-Mar-06,Capacity_y_x,10-Mar-06,11-Mar-06,12-Mar-06,13-Mar-06,14-Mar-06,15-Mar-06,16-Mar-06,17-Mar-06,18-Mar-06,Capacity_x_y,19-Mar-06,20-Mar-06,21-Mar-06,22-Mar-06,23-Mar-06,24-Mar-06,25-Mar-06,26-Mar-06,27-Mar-06,Capacity_y_y,28-Mar-06,29-Mar-06,30-Mar-06,31-Mar-06
Mississippi State Penitentiary,"4,529","4,340","4,353","4,336","4,335","4,332","4,343","4,348","4,345","4,345","4,529","4,338","4,336","4,335","4,352","4,356","4,361","4,360","4,360","4,357","4,529","4,354","4,354","4,359","4,370","4,392","4,405","4,405","4,403","4,398","4,529","4,397","4,413","4,406","4,418"
Central Mississippi Correctional Facility,"3,233","3,188","3,198","3,227","3,226","3,223","3,216","3,234","3,235","3,209","3,233","3,242","3,238","3,239","3,210","3,244","3,215","3,243","3,234","3,233","3,233","3,232","3,211","3,203","3,199","3,205","3,198","3,195","3,193","3,210","3,233","3,213","3,199","3,221","3,199"
South Mississippi Correctional Institution,"2,066","2,047","2,037","2,038","2,035","2,033","2,038","2,039","2,034","2,053","2,066","2,021","2,019","2,019","2,021","2,018","2,038","2,035","2,040","2,039","2,066","2,040","2,044","2,037","2,036","2,036","2,024","2,025","2,023","2,014","2,066","2,014","1,994","2,002","1,996"
County Jails,"2,167","1,737","1,721","1,676","1,676","1,676","1,705","1,687","1,715","1,703","2,167","1,703","1,703","1,703","1,735","1,710","1,735","1,742","1,714","1,714","2,167","1,714","1,715","1,716","1,729","1,728","1,727","1,727","1,727","1,720","2,167","1,718","1,759","1,768","1,808"
COMMUNITY WORK CENTERS,"1,816","1,689","1,690","1,649","1,645","1,645","1,683","1,685","1,695","1,707","1,816","1,693","1,691","1,690","1,715","1,698","1,708","1,704","1,641","1,640","1,816","1,638","1,699","1,691","1,703","1,713","1,674","1,670","1,670","1,687","1,816","1,675","1,681","1,688","1,710"
Alcorn Satellite Facility,92,89,89,88,88,88,89,90,90,90,92,83,83,83,89,86,86,86,86,87,92,87,89,90,89,89,89,89,89,90,92,90,90,91,88
Bolivar Satellite Facility,102,99,96,93,90,90,93,91,91,91,102,100,100,100,101,98,98,97,97,97,102,97,97,96,96,96,96,96,96,95,102,94,92,95,97
Forrest Satellite Facility,96,95,95,91,90,90,91,91,91,93,96,90,89,89,89,88,87,85,78,76,96,77,80,84,84,93,90,90,90,92,96,92,91,91,91
George Satellite Facility,102,94,94,94,93,93,93,93,100,100,102,100,100,100,100,99,99,99,92,92,102,91,97,97,96,96,94,94,94,92,102,92,93,93,93
Harrison Satellite Facility,102,97,100,98,99,99,100,100,100,100,102,98,98,98,99,99,97,96,95,95,102,94,101,101,100,99,100,100,100,98,102,97,97,97,99
Jackson Satellite Facility,102,95,96,99,99,99,100,99,98,98,102,97,97,97,97,101,99,98,95,95,102,95,97,97,96,94,92,91,91,98,102,100,100,100,100
Jefferson Satellite Facility,102,91,91,86,86,86,87,90,90,90,102,88,88,88,90,90,96,95,93,93,102,93,94,94,91,90,87,87,87,82,102,82,91,90,94
Leflore Satellite Facility,102,95,95,91,91,91,95,94,94,95,102,95,95,95,94,92,90,89,93,93,102,93,95,92,96,94,89,89,89,92,102,95,91,92,89
Madison Satellite Facility,102,92,92,101,101,101,102,102,102,102,102,101,101,100,99,96,100,101,96,96,102,96,98,98,99,99,98,97,97,97,102,95,94,93,99
Noxubee Satellite Facility,92,86,86,85,85,85,89,89,88,88,92,84,84,84,86,86,84,84,78,78,92,78,81,80,83,83,80,80,80,81,92,78,83,83,87
Pike Satellite Facility,93,82,82,81,81,81,82,82,81,79,93,84,84,84,83,83,83,82,79,79,93,79,81,77,77,82,78,77,77,81,93,79,80,80,78
Quitman Satellite Facility,93,83,83,77,79,78,84,82,82,81,93,79,79,79,80,76,78,78,73,73,93,73,77,76,85,86,85,85,85,84,93,82,80,79,76
Rankin Satellite Facility,228,222,224,216,216,216,223,223,221,224,228,215,215,215,221,219,221,220,213,213,228,213,224,223,223,227,225,224,224,225,228,224,224,226,225
Simpson Satellite Facility,102,87,87,82,81,81,83,83,85,84,102,92,92,92,93,93,99,98,94,94,102,94,95,94,94,94,92,92,92,91,102,89,89,87,97
Washington Satellite Facility,102,98,98,92,92,93,98,98,98,98,102,94,93,93,96,95,95,98,89,89,102,88,95,95,97,96,95,95,95,94,102,94,94,99,99
Wilkinson Satellite Facility,102,86,84,82,81,81,82,86,86,96,102,100,100,100,102,100,100,97,94,94,102,94,97,97,97,96,86,86,86,97,102,99,99,100,101
Yazoo Satellite Facility,102,98,98,93,93,93,92,92,98,98,102,93,93,93,96,97,96,101,96,96,102,96,101,100,100,99,98,98,98,98,102,93,93,92,97
