Location,Capacity_x_x,1-Mar-10,2-Mar-10,3-Mar-10,4-Mar-10,5-Mar-10,6-Mar-10,7-Mar-10,8-Mar-10,9-Mar-10,Capacity_y_x,10-Mar-10,11-Mar-10,12-Mar-10,13-Mar-10,14-Mar-10,15-Mar-10,16-Mar-10,17-Mar-10,18-Mar-10,Capacity_x_y,19-Mar-10,20-Mar-10,21-Mar-10,22-Mar-10,23-Mar-10,24-Mar-10,25-Mar-10,26-Mar-10,27-Mar-10,Capacity_y_y,28-Mar-10,29-Mar-10,30-Mar-10,31-Mar-10,Avg Population
Mississippi State Penitentiary,"4,435","3,908","3,900","3,905","3,914","3,913","3,914","3,914","3,902","3,888","4,435","3,903","3,907","3,911","3,909","3,907","3,909","3,922","3,916","3,902","4,435","3,885","3,879","3,879","3,873","3,832","3,827","3,801","3,795","3,793","4,435","3,791","3,789","3,797","3,794","3,874"
Central Mississippi Correctional Facility,"3,449","3,359","3,357","3,358","3,339","3,348","3,347","3,343","3,312","3,349","3,449","3,319","3,287","3,291","3,296","3,295","3,284","3,311","3,318","3,318","3,449","3,320","3,319","3,319","3,286","3,303","3,302","3,299","3,318","3,318","3,449","3,316","3,334","3,320","3,291","3,319"
South Mississippi Correctional Institution,"3,204","3,083","3,087","3,090","3,092","3,083","3,084","3,083","3,087","3,092","3,204","3,090","3,086","3,095","3,091","3,092","3,096","3,100","3,111","3,107","3,204","3,115","3,114","3,114","3,099","3,117","3,093","3,107","3,113","3,112","3,204","3,110","3,105","3,101","3,113","3,099"
County Jails,"1,458","1,435","1,445","1,438","1,480","1,464","1,464","1,464","1,441","1,405","1,458","1,413","1,441","1,444","1,444","1,444","1,422","1,407","1,402","1,398","1,458","1,430","1,430","1,430","1,469","1,459","1,464","1,462","1,446","1,446","1,458","1,446","1,457","1,457","1,498","1,443"
COMMUNITY WORK CENTERS,"1,848","1,715","1,722","1,727","1,725","1,704","1,703","1,700","1,729","1,744","1,848","1,763","1,795","1,769","1,768","1,765","1,760","1,759","1,762","1,767","1,848","1,728","1,726","1,725","1,768","1,793","1,775","1,764","1,744","1,742","1,848","1,742","1,738","1,726","1,704","1,744"
Alcorn Satellite Facility,92,85,85,85,87,84,84,84,88,89,92,88,88,84,83,83,85,85,84,84,92,84,84,84,84,84,85,85,85,85,92,85,85,83,81,85
Bolivar Satellite Facility,102,94,94,94,94,93,93,92,92,97,102,100,101,101,101,101,98,97,94,93,102,94,94,94,94,101,97,97,97,96,102,96,97,95,97,96
Forrest Satellite Facility,96,93,92,91,91,93,93,93,96,96,96,94,94,93,93,93,90,90,90,89,96,83,83,83,91,92,91,91,89,89,96,89,89,89,86,91
George Satellite Facility,102,100,100,100,98,95,95,95,96,100,102,100,102,100,100,99,98,99,99,98,102,97,98,97,100,100,101,98,98,97,102,98,102,102,101,99
Harrison Satellite Facility,102,98,97,97,97,98,98,98,101,101,102,100,100,97,97,95,95,95,95,100,102,99,99,99,99,101,97,98,97,97,102,97,96,96,92,98
Jackson Satellite Facility,102,99,101,101,99,97,96,96,97,97,102,97,97,96,96,96,97,97,97,102,102,100,97,97,98,99,98,97,97,97,102,97,97,96,94,97
Jefferson Satellite Facility,102,91,90,90,89,88,88,88,95,93,102,101,101,100,100,100,98,98,98,102,102,99,99,99,101,101,101,101,99,99,102,98,97,97,96,97
Leflore Satellite Facility,102,69,83,82,82,79,79,79,81,81,102,81,95,93,93,93,92,92,92,92,102,90,90,90,97,97,97,95,94,94,102,94,94,94,94,89
Madison Satellite Facility,102,95,95,96,97,100,100,100,100,102,102,102,102,102,102,102,102,102,102,102,102,97,97,97,102,102,99,97,95,95,102,95,96,94,91,99
Noxubee Satellite Facility,92,81,80,80,79,74,74,74,79,79,92,87,91,88,88,88,89,87,87,92,92,86,86,86,92,92,89,88,87,87,92,87,88,89,87,85
Pike Satellite Facility,93,93,93,92,93,91,91,91,92,93,93,93,92,93,93,93,93,93,93,91,93,91,91,91,87,92,91,89,88,88,93,88,86,86,85,91
Quitman Satellite Facility,93,92,93,93,92,90,90,90,93,92,93,92,92,91,89,89,90,93,93,91,93,91,91,91,92,90,93,93,92,92,93,92,93,93,92,92
Rankin Satellite Facility,260,234,231,238,239,237,237,236,238,240,260,237,245,242,243,243,240,242,242,240,260,240,240,240,241,240,238,235,232,232,260,232,230,229,228,237
Simpson Satellite Facility,102,102,100,98,101,100,100,100,101,101,102,102,101,99,99,99,99,102,101,99,102,97,97,97,100,102,102,101,100,100,102,100,99,99,99,100
Washington Satellite Facility,102,95,95,94,94,94,94,94,92,97,102,97,98,96,96,96,93,93,93,90,102,85,85,85,93,100,98,97,96,96,102,96,96,95,91,94
Wilkinson Satellite Facility,102,96,95,94,92,92,92,91,87,87,102,95,94,95,96,96,100,94,102,102,102,97,97,97,102,102,101,101,100,100,102,100,99,98,98,97
Yazoo Satellite Facility,102,98,98,102,101,99,99,99,101,99,102,97,102,99,99,99,101,100,100,100,102,98,98,98,95,98,97,101,98,98,102,98,94,91,92,98
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,521","2,519","2,521","2,520","2,523","2,521","2,520","2,527","2,527","3,163","2,524","2,528","2,525","2,522","2,522","2,521","2,522","2,522","2,529","3,163","2,531","2,530","2,528","2,531","2,530","2,524","2,522","2,529","2,528","3,163","2,528","2,530","2,527","2,524","2,525"
