Location,Capacity_x_x,1-Nov-11,2-Nov-11,3-Nov-11,4-Nov-11,5-Nov-11,6-Nov-11,7-Nov-11,8-Nov-11,9-Nov-11,Capacity_y_x,10-Nov-11,11-Nov-11,12-Nov-11,13-Nov-11,14-Nov-11,15-Nov-11,16-Nov-11,17-Nov-11,18-Nov-11,Capacity_x_y,19-Nov-11,20-Nov-11,21-Nov-11,22-Nov-11,23-Nov-11,24-Nov-11,25-Nov-11,26-Nov-11,27-Nov-11,Capacity_y_y,28-Nov-11,29-Nov-11,30-Nov-11,Avg Population
Mississippi State Penitentiary,"3,356","3,050","3,048","3,051","3,057","3,050","3,048","3,050","3,048","3,058","3,356","3,076","3,076","3,075","3,075","3,083","3,076","3,077","3,092","3,081","3,356","3,078","3,073","3,066","3,060","3,076","3,076","3,075","3,073","3,071","3,356","3,065","3,067","3,066","3,067"
Central Mississippi Correctional Facility,"3,449","3,090","3,069","3,073","3,088","3,088","3,088","3,095","3,095","3,110","3,449","3,087","3,085","3,082","3,082","3,071","3,095","3,073","3,066","3,031","3,449","3,028","3,021","3,022","3,019","2,997","2,995","2,997","2,995","2,995","3,449","2,999","3,024","3,033","3,053"
South Mississippi Correctional Institution,"3,256","3,185","3,195","3,192","3,196","3,196","3,194","3,192","3,205","3,192","3,256","3,198","3,196","3,196","3,195","3,198","3,190","3,188","3,180","3,185","3,256","3,183","3,181","3,192","3,175","3,196","3,195","3,192","3,190","3,190","3,256","3,186","3,199","3,200","3,192"
County Jails,"1,616","2,006","2,009","2,036","2,017","2,017","2,017","2,049","2,057","2,053","1,616","2,057","2,062","2,062","2,062","2,066","2,050","2,018","1,989","1,999","1,616","1,999","1,999","2,003","2,024","2,039","2,040","2,041","2,041","2,041","1,616","2,054","2,062","2,065","2,034"
COMMUNITY WORK CENTERS,"1,848","1,486","1,493","1,507","1,480","1,480","1,478","1,498","1,491","1,471","1,848","1,475","1,412","1,410","1,410","1,464","1,475","1,471","1,474","1,496","1,848","1,493","1,491","1,490","1,502","1,488","1,486","1,484","1,482","1,481","1,848","1,469","1,467","1,472","1,476"
Alcorn Satellite Facility,92,89,89,89,79,79,79,88,88,87,92,87,79,79,79,85,85,83,84,84,92,84,84,82,81,81,81,81,81,81,92,81,81,82,83
Bolivar Satellite Facility,102,84,85,86,84,84,84,87,87,86,102,86,81,81,81,90,91,90,86,86,102,86,86,86,87,87,87,87,87,87,102,86,85,77,86
Forrest Satellite Facility,96,77,79,79,78,79,78,77,77,77,96,77,75,75,75,83,82,81,85,81,96,80,80,80,83,83,83,83,83,83,96,83,82,82,80
George Satellite Facility,102,81,80,80,79,79,79,78,76,77,102,76,76,76,76,74,74,73,73,82,102,81,81,82,83,83,83,83,83,83,102,82,82,81,79
Harrison Satellite Facility,102,81,78,78,79,78,78,78,78,76,102,80,78,78,78,80,79,82,80,79,102,79,79,79,82,82,82,82,82,82,102,82,82,82,80
Jackson Satellite Facility,102,86,86,86,84,84,84,83,82,82,102,82,77,77,77,81,85,84,83,84,102,84,84,82,84,84,84,84,84,83,102,82,82,81,83
Jefferson Satellite Facility,102,74,75,69,70,70,70,72,71,69,102,77,72,72,72,76,75,74,73,77,102,76,75,74,76,75,75,75,75,75,102,75,74,74,74
Leflore Satellite Facility,102,91,91,92,92,92,92,90,90,89,102,87,86,86,86,87,92,90,90,90,102,90,90,90,92,92,92,92,92,92,102,92,92,92,90
Madison Satellite Facility,102,86,86,92,91,91,91,92,92,90,102,90,88,87,87,90,87,86,87,94,102,94,94,94,92,83,83,83,83,83,102,82,82,92,88
Noxubee Satellite Facility,92,72,72,79,79,79,79,79,79,79,92,79,73,73,73,78,78,78,79,78,92,78,78,79,79,78,78,78,78,78,92,77,79,78,77
Pike Satellite Facility,93,66,65,65,65,65,65,65,66,65,93,65,61,61,61,62,62,62,61,61,93,61,61,62,62,60,60,60,59,59,93,59,59,59,62
Quitman Satellite Facility,93,69,69,70,70,70,70,69,69,69,93,58,52,53,53,56,57,57,57,67,93,67,66,66,66,66,66,64,64,64,93,64,63,71,64
Rankin Satellite Facility,260,194,194,194,194,194,194,195,195,195,260,191,189,187,187,189,190,189,190,191,260,191,191,191,189,194,194,194,193,193,260,190,192,192,192
Simpson Satellite Facility,102,89,92,92,90,90,89,91,90,90,102,95,93,93,93,91,91,91,95,92,102,92,92,91,91,90,90,90,90,90,102,90,89,88,91
Washington Satellite Facility,102,89,89,91,87,87,87,89,87,86,102,86,77,77,77,84,90,90,90,90,102,90,90,90,92,92,91,91,91,91,102,91,92,91,88
Wilkinson Satellite Facility,102,74,79,79,76,76,76,79,78,73,102,72,71,71,71,71,71,74,74,73,102,73,73,75,76,73,73,73,73,73,102,70,69,69,74
Yazoo Satellite Facility,102,84,84,86,83,83,83,86,86,81,102,87,84,84,84,87,86,87,87,87,102,87,87,87,87,85,84,84,84,84,102,83,82,81,85
REGIONAL CORRECTIONAL FACILITIES,"4,363","3,477","3,489","3,481","3,490","3,489","3,489","3,490","3,491","3,495","4,363","3,496","3,491","3,486","3,484","3,480","3,486","3,530","3,527","3,523","4,363","3,518","3,514","3,515","3,524","3,520","3,518","3,509","3,509","3,509","4,363","3,517","3,516","3,522","3,503"
Alcorn County,300,246,250,247,248,248,248,251,251,250,300,250,250,249,249,248,249,249,250,249,300,249,249,249,249,248,248,247,247,247,300,247,247,250,249
Bolivar County,294,234,234,232,235,235,235,234,234,234,294,233,232,232,231,231,234,234,233,235,294,235,235,235,236,236,236,235,235,235,294,235,234,235,234
Carroll County,280,222,223,223,223,223,223,223,223,224,280,224,223,223,223,223,224,224,224,224,280,224,224,223,224,223,223,223,223,223,280,223,224,224,223
Chickasaw County,300,247,250,249,249,249,249,249,250,250,300,249,249,249,249,247,246,250,249,248,300,247,247,250,249,249,249,248,248,248,300,248,248,250,249
George County,280,223,224,224,224,224,224,224,224,224,280,224,224,224,224,224,224,224,224,223,280,223,223,223,222,224,224,223,223,223,280,224,224,224,224
Holmes County,280,224,224,224,224,224,224,224,224,224,280,224,223,223,223,224,223,224,224,224,280,224,224,222,224,224,224,224,224,224,280,223,224,224,224
Issaquena County,274,217,219,219,219,219,219,219,219,219,274,220,219,219,219,219,219,224,225,221,274,221,221,221,224,223,223,222,222,222,274,226,226,225,221
Jefferson County,280,224,224,224,224,224,224,224,222,222,280,225,225,224,224,224,224,224,224,224,280,224,224,224,224,224,224,224,224,224,280,224,224,223,224
Kemper County,355,280,278,280,280,280,280,280,280,284,355,284,284,284,284,284,283,283,283,283,355,283,283,283,284,284,284,283,283,283,355,284,284,284,283
Leake County,280,222,225,224,224,224,224,224,223,224,280,224,224,224,224,224,224,224,224,223,280,223,222,222,222,224,223,223,223,223,280,221,221,224,223
Marion County,280,224,224,222,226,226,226,226,226,226,280,226,226,226,225,225,225,225,222,224,280,223,223,224,224,225,225,224,224,224,280,224,224,224,225
Stone County,280,224,224,224,224,224,224,224,224,224,280,223,223,223,223,223,224,225,226,226,280,226,226,226,226,226,225,225,225,225,280,225,224,225,225
Washington County,300,215,214,214,214,214,214,213,216,215,300,215,215,215,215,212,212,245,244,243,300,242,241,241,240,237,237,237,237,237,300,237,237,237,227
Winston County,280,224,225,225,225,225,225,224,224,224,280,224,224,221,221,221,224,224,224,225,280,224,223,223,224,222,222,222,222,222,280,224,223,221,223
Yazoo County,300,251,251,250,251,250,250,251,251,251,300,251,250,250,250,251,251,251,251,251,300,250,249,249,252,251,251,249,249,249,300,252,252,252,251
PRIVATE PRISONS,"5,972","5,176","5,188","5,184","5,178","5,176","5,175","5,167","5,168","5,166","5,972","5,158","5,155","5,153","5,150","5,153","5,154","5,152","5,166","5,139","5,972","5,137","5,135","5,131","5,129","5,134","5,130","5,129","5,128","5,126","5,972","5,133","5,118","5,120","5,150"
Delta,972,901,901,900,899,899,899,899,901,900,972,900,900,899,898,900,901,899,902,901,972,900,899,899,897,897,897,897,897,897,972,897,896,898,899
East Mississippi,"1,500","1,358","1,357","1,356","1,356","1,354","1,354","1,350","1,349","1,349","1,500","1,348","1,348","1,347","1,346","1,348","1,345","1,346","1,346","1,344","1,500","1,343","1,342","1,341","1,339","1,340","1,338","1,338","1,337","1,336","1,500","1,334","1,318","1,315","1,344"
Marshall County,"1,000",997,"1,000","1,000","1,000","1,000",999,"1,000",999,998,"1,000",997,997,997,997,"1,000","1,000",999,998,"1,000","1,000","1,000","1,000",999,998,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",999
Walnut Grove,"1,500","1,025","1,033","1,035","1,031","1,031","1,031","1,027","1,029","1,029","1,500","1,030","1,027","1,027","1,026","1,024","1,024","1,024","1,033","1,009","1,500","1,009","1,009","1,007","1,007","1,009","1,008","1,008","1,008","1,008","1,500","1,011","1,014","1,016","1,020"
Wilkinson County,"1,000",895,897,893,892,892,892,891,890,890,"1,000",883,883,883,883,881,884,884,887,885,"1,000",885,885,885,888,888,887,886,886,885,"1,000",891,890,891,888
RESTITUTION CENTERS,16,10,10,10,10,10,10,10,10,10,16,10,9,9,9,10,10,10,9,9,16,9,9,10,10,10,10,10,10,10,16,9,10,10,10
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,3,3,3,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4
Hinds,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,4,4,4,4,4,4,4,6,3,3,3,3
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,4,2,2,2,2,2,2,2,2,2,4,2,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,0,3,3,4,34,33,32,3,4,5,0,5,65,67,67,7,3,3,3,5,0,3,4,4,4,5,5,5,4,4,0,5,2,2,13
