Location,Capacity_x,1-Sep-04,2-Sep-04,3-Sep-04,4-Sep-04,5-Sep-04,6-Sep-04,7-Sep-04,8-Sep-04,9-Sep-04,10-Sep-04,11-Sep-04,12-Sep-04,13-Sep-04,Capacity_y,14-Sep-04,15-Sep-04,16-Sep-04,17-Sep-04,18-Sep-04,19-Sep-04,20-Sep-04,21-Sep-04,22-Sep-04,23-Sep-04,24-Sep-04,25-Sep-04,26-Sep-04,Capacity,27-Sep-04,28-Sep-04,29-Sep-04,30-Sep-04
MS STATE PENITENTIARY,"4,892","4,811","4,800","4,795","4,791","4,791","4,788","4,779","4,808","4,795","4,786","4,785","4,785","4,816","4,892","4,812","4,826","4,849","4,846","4,844","4,844","4,838","4,831","4,831","4,822","4,837","4,835","4,835","4,892","4,813","4,821","4,812","4,805"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,044","3,064","3,076","3,074","3,074","3,075","3,131","3,145","3,169","3,181","3,180","3,179","3,201","3,233","3,220","3,204","3,207","3,157","3,155","3,150","3,131","3,149","3,153","3,174","3,179","3,177","3,175","3,233","3,161","3,183","3,193","3,209"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,146","2,144","2,157","2,155","2,153","2,153","2,153","2,154","2,170","2,188","2,186","2,187","2,182","2,214","2,180","2,179","2,179","2,171","2,168","2,168","2,179","2,177","2,190","2,178","2,173","2,171","2,172","2,214","2,184","2,177","2,176","2,175"
COUNTY JAILS,"2,209","2,173","2,189","2,157","2,157","2,157","2,159","2,127","2,110","2,096","2,047","2,047","2,047","2,056","2,209","2,041","2,087","2,069","2,099","2,099","2,099","2,077","2,048","2,061","2,053","2,031","2,031","2,031","2,209","2,012","2,012","1,987","1,985"
COMMUNITY WORK CENTERS,"1,816","1,688","1,691","1,680","1,678","1,678","1,678","1,672","1,669","1,656","1,615","1,612","1,612","1,660","1,816","1,670","1,670","1,673","1,618","1,616","1,616","1,702","1,702","1,712","1,716","1,655","1,654","1,653","1,816","1,717","1,714","1,717","1,708"
Alcorn Satellite Facility,92,91,90,89,89,89,89,88,88,87,84,84,84,89,92,90,92,91,85,85,85,90,88,88,89,86,86,86,92,91,91,91,91
Bolivar Satellite Facility,102,99,99,99,99,99,99,99,97,96,93,92,92,94,102,97,98,101,93,93,93,99,99,98,100,96,96,96,102,101,101,102,102
Forrest Satellite Facility,96,96,95,94,94,94,94,94,92,92,91,91,91,92,96,92,89,89,84,84,84,93,95,95,95,92,92,91,96,94,94,93,93
George Satellite Facility,102,96,99,99,99,99,99,98,100,100,96,96,96,99,102,99,99,99,94,94,94,99,101,101,102,102,102,101,102,101,102,102,102
Harrison Satellite Facility,102,100,97,96,95,95,95,95,93,90,88,88,88,90,102,90,89,89,88,88,88,98,98,99,99,95,95,95,102,98,98,98,98
Jackson Satellite Facility,102,94,94,94,94,94,94,93,91,91,90,90,90,90,102,90,90,90,87,86,86,93,92,92,92,86,86,86,102,93,96,96,95
Jefferson Satellite Facility,102,93,92,91,91,91,91,90,90,90,89,89,89,94,102,92,92,91,91,91,91,98,97,96,96,94,94,94,102,96,95,95,95
