Location,Capacity_x_x,1-Nov-10,2-Nov-10,3-Nov-10,4-Nov-10,5-Nov-10,6-Nov-10,7-Nov-10,8-Nov-10,9-Nov-10,Capacity_y_x,10-Nov-10,11-Nov-10,12-Nov-10,13-Nov-10,14-Nov-10,15-Nov-10,16-Nov-10,17-Nov-10,18-Nov-10,Capacity_x_y,19-Nov-10,20-Nov-10,21-Nov-10,22-Nov-10,23-Nov-10,24-Nov-10,25-Nov-10,26-Nov-10,27-Nov-10,Capacity_y_y,28-Nov-10,29-Nov-10,30-Nov-10,Avg Population
Mississippi State Penitentiary,"4,435","3,272","3,275","3,266","3,261","3,263","3,262","3,261","3,254","3,252","4,435","3,249","3,242","3,249","3,248","3,247","3,245","3,247","3,243","3,246","4,435","3,235","3,234","3,234","3,218","3,180","3,178","3,176","3,173","3,174","4,435","3,173","3,159","3,201","3,231"
Central Mississippi Correctional Facility,"3,449","3,170","3,200","3,195","3,201","3,161","3,159","3,163","3,167","3,153","3,449","3,145","3,142","3,121","3,122","3,121","3,127","3,134","3,139","3,153","3,449","3,167","3,166","3,165","3,172","3,182","3,172","3,172","3,173","3,173","3,449","3,173","3,195","3,186","3,162"
South Mississippi Correctional Institution,"3,204","3,168","3,159","3,169","3,166","3,180","3,179","3,176","3,152","3,167","3,204","3,171","3,169","3,163","3,161","3,162","3,157","3,168","3,171","3,162","3,204","3,176","3,176","3,173","3,166","3,160","3,173","3,171","3,168","3,168","3,204","3,168","3,172","3,179","3,168"
County Jails,"1,539","1,584","1,573","1,588","1,605","1,613","1,613","1,613","1,603","1,618","1,539","1,621","1,624","1,631","1,631","1,631","1,618","1,604","1,598","1,595","1,539","1,607","1,607","1,607","1,608","1,618","1,639","1,640","1,642","1,642","1,539","1,642","1,645","1,615","1,616"
COMMUNITY WORK CENTERS,"1,848","1,525","1,525","1,517","1,517","1,542","1,536","1,536","1,547","1,561","1,848","1,582","1,581","1,551","1,547","1,548","1,541","1,543","1,556","1,554","1,848","1,577","1,574","1,574","1,571","1,565","1,570","1,567","1,565","1,565","1,848","1,565","1,576","1,557","1,555"
Alcorn Satellite Facility,92,73,72,72,71,75,75,75,80,79,92,79,79,79,79,79,78,78,78,77,92,78,78,78,78,76,76,75,75,75,92,75,75,75,76
Bolivar Satellite Facility,102,81,81,82,82,81,80,80,80,80,102,78,78,78,78,78,82,81,81,81,102,84,84,84,84,83,83,83,83,83,102,83,90,90,82
Forrest Satellite Facility,96,73,73,76,75,75,75,75,75,75,96,76,76,76,76,76,75,74,74,74,96,73,73,73,73,68,67,67,67,67,96,67,72,72,73
George Satellite Facility,102,88,88,88,92,91,91,91,91,91,102,91,91,85,85,85,87,87,88,88,102,88,88,88,86,83,84,84,84,84,102,84,84,84,87
Harrison Satellite Facility,102,78,81,79,78,78,78,78,78,79,102,79,79,75,75,75,71,71,76,75,102,74,73,73,72,75,75,75,75,75,102,75,74,74,76
Jackson Satellite Facility,102,75,77,77,77,76,76,76,76,75,102,75,75,72,72,72,75,75,75,75,102,75,75,75,75,80,80,80,80,80,102,80,80,79,76
Jefferson Satellite Facility,102,88,88,88,86,86,86,86,86,86,102,97,97,94,94,94,94,93,90,94,102,94,92,92,91,90,90,90,90,90,102,90,90,89,91
Leflore Satellite Facility,102,78,78,77,75,82,82,82,82,81,102,81,81,81,81,81,77,77,77,77,102,83,83,83,83,82,82,82,80,80,102,80,85,82,81
