Location,Capacity_x,1-Oct-01,2-Oct-01,3-Oct-01,4-Oct-01,5-Oct-01,6-Oct-01,7-Oct-01,8-Oct-01,9-Oct-01,10-Oct-01,Capacity_y,11-Oct-01,12-Oct-01,13-Oct-01,14-Oct-01,15-Oct-01,16-Oct-01,17-Oct-01,18-Oct-01,19-Oct-01,20-Oct-01,Capacity,21-Oct-01,22-Oct-01,23-Oct-01,24-Oct-01,25-Oct-01,26-Oct-01,27-Oct-01,28-Oct-01,29-Oct-01,30-Oct-01,31-Oct-01
Stone County,250,195,195,194,197,197,197,197,196,196,200,250,201,200,200,200,198,197,196,196,199,199,250,199,199,199,199,199,199,199,199,198,197,198
Winston County,250,200,200,200,200,200,200,200,200,200,200,250,200,200,200,200,198,198,196,198,198,198,250,198,198,198,197,198,198,198,198,198,197,196
PRIVATE PRISONS,"3,900","3,486","3,494","3,493","3,479","3,479","3,479","3,478","3,477","3,474","3,483","3,900","3,505","3,506","3,504","3,504","3,502","3,499","3,498","3,503","3,503","3,502","3,900","3,501","3,496","3,511","3,508","3,511","3,509","3,507","3,506","3,507","3,506","3,500"
Delta,"1,000",837,842,842,841,840,840,840,840,839,843,"1,000",842,842,842,842,842,842,842,841,841,841,"1,000",841,841,839,839,841,841,840,840,840,839,838
East MS,500,493,492,491,491,490,490,489,489,489,489,500,499,499,498,498,498,498,497,496,496,496,500,495,493,493,492,492,492,492,492,492,492,490
Marshall County,"1,000",870,869,869,867,867,867,867,867,865,869,"1,000",870,869,869,869,867,866,864,862,862,862,"1,000",862,860,871,870,870,868,867,867,866,864,862
Walnut Grove,500,405,410,410,399,401,401,401,400,400,396,500,407,411,411,411,411,409,409,412,412,412,500,412,412,415,415,416,416,416,416,416,418,418
Wilkinson County,900,881,881,881,881,881,881,881,881,881,886,900,887,885,884,884,884,884,886,892,892,891,900,891,890,893,892,892,892,892,891,893,893,892
RESITITUTION CENTERS,24,17,15,15,15,13,13,13,14,14,15,24,14,13,13,14,15,15,15,15,13,13,24,13,14,14,18,18,18,18,18,18,18,18
Greenwood,6,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,5,5,6,5,6,6,6,6,6,6,6,6,6,6
Hinds,12,11,9,9,9,8,8,8,8,8,9,12,8,8,8,8,8,8,8,8,7,7,12,7,7,7,11,11,11,11,11,11,11,11
Pascagoula,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,5,5,5,6,6,6
TOTALS,"20,747","18,674","18,668","18,676","18,721","18,666","18,659","18,652","18,683","18,708","18,733","20,747","18,712","18,664","18,652","18,650","18,699","18,710","18,737","18,751","18,698","18,693","20,747","18,696","18,732","18,727","18,743","18,770","18,753","18,742","18,737","18,780","18,804","18,818"
