Location,Capacity_x,1-Dec-04,2-Dec-04,3-Dec-04,4-Dec-04,5-Dec-04,6-Dec-04,7-Dec-04,8-Dec-04,9-Dec-04,10-Dec-04,11-Dec-04,12-Dec-04,13-Dec-04,Capacity_y,14-Dec-04,15-Dec-04,16-Dec-04,17-Dec-04,18-Dec-04,19-Dec-04,20-Dec-04,21-Dec-04,22-Dec-04,23-Dec-04,24-Dec-04,25-Dec-04,26-Dec-04,Capacity,27-Dec-04,28-Dec-04,29-Dec-04,30-Dec-04,31-Dec-04
MS STATE PENITENTIARY,"4,760","4,675","4,667","4,671","4,669","4,668","4,661","4,677","4,666","4,650","4,632","4,629","4,627","4,629","4,760","4,621","4,637","4,653","4,641","4,640","4,636","4,620","4,625","4,636","4,633","4,628","4,625","4,625","4,760","4,623","4,624","4,638","4,624","4,621"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,082","3,096","3,075","3,073","3,071","3,043","3,027","3,043","3,059","3,072","3,073","3,073","3,065","3,233","3,079","3,082","3,063","3,064","3,065","3,066","3,094","3,066","3,031","3,050","3,050","3,050","3,046","3,233","3,043","3,063","3,052","3,063","3,063"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,148","2,148","2,142","2,142","2,143","2,151","2,150","2,140","2,134","2,115","2,114","2,113","2,113","2,214","2,123","2,116","2,107","2,121","2,121","2,121","2,123","2,161","2,181","2,181","2,181","2,182","2,182","2,214","2,182","2,184","2,169","2,164","2,164"
COUNTY JAILS,"2,295","1,895","1,900","1,921","1,921","1,921","1,950","1,950","1,954","1,962","1,945","1,945","1,945","1,950","2,295","1,948","1,931","1,941","1,921","1,921","1,921","1,924","1,933","1,934","1,927","1,927","1,927","1,927","2,295","1,927","1,919","1,902","1,872","1,872"
COMMUNITY WORK CENTERS,"1,816","1,708","1,709","1,704","1,698","1,697","1,710","1,705","1,689","1,708","1,719","1,716","1,714","1,718","1,816","1,721","1,726","1,733","1,734","1,733","1,732","1,742","1,733","1,733","1,721","1,719","1,717","1,714","1,816","1,713","1,712","1,727","1,729","1,728"
Alcorn Satellite Facility,92,88,88,88,88,88,88,88,87,87,88,88,88,88,92,88,89,89,89,89,88,89,89,89,89,89,89,89,92,89,87,87,89,89
Bolivar Satellite Facility,102,91,91,89,89,89,92,96,96,96,100,100,100,100,102,99,100,100,102,102,102,102,102,102,102,102,102,101,102,101,100,101,101,101
Forrest Satellite Facility,96,96,96,95,94,94,92,92,94,95,95,95,95,95,96,95,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,95,96,96
George Satellite Facility,102,101,101,99,98,98,98,98,101,101,101,101,101,99,102,98,98,101,101,101,101,102,102,101,101,101,101,101,102,101,100,101,99,99
Harrison Satellite Facility,102,101,102,101,101,101,102,101,101,102,102,102,102,102,102,101,100,99,99,99,99,101,101,100,100,99,99,99,102,99,99,102,101,101
Jackson Satellite Facility,102,99,100,102,102,102,102,100,98,102,102,102,101,101,102,102,101,101,101,101,101,102,100,98,98,98,97,97,102,97,99,99,98,99
Jefferson Satellite Facility,102,99,97,96,96,96,99,100,98,99,99,99,99,98,102,98,101,100,100,100,100,101,99,99,101,100,100,99,102,99,99,102,102,101
Leflore Satellite Facility,102,101,101,100,99,99,99,100,100,102,101,101,101,101,102,101,102,102,102,102,102,102,101,100,100,100,100,100,102,100,100,102,101,101
Madison Satellite Facility,102,101,101,102,101,101,102,102,101,100,102,102,102,102,102,101,101,101,101,101,101,101,102,102,102,102,102,102,102,102,102,102,102,102
Noxubee Satellite Facility,92,90,90,90,90,90,92,92,89,90,89,88,89,87,92,89,91,91,90,90,90,92,92,92,91,91,91,91,92,91,90,91,90,90
Pike Satellite Facility,93,56,56,56,56,56,56,56,55,58,60,60,60,60,93,62,62,62,62,62,62,62,61,61,61,61,61,61,93,61,61,60,63,63
Quitman Satellite Facility,93,76,78,78,78,78,78,69,71,74,75,74,74,73,93,72,72,72,73,73,73,73,73,73,73,73,73,73,93,73,74,73,76,76
Rankin Satellite Facility,228,223,222,224,223,223,225,225,217,224,224,223,223,222,228,221,220,219,219,219,219,219,219,218,206,206,206,206,228,206,204,209,207,207
Simpson Satellite Facility,102,102,102,102,102,102,102,102,99,94,102,102,102,102,102,102,100,100,101,101,101,101,101,101,102,102,102,102,102,102,101,101,102,102
Washington Satellite Facility,102,97,97,98,97,97,101,101,100,100,100,100,99,99,102,99,102,102,101,100,100,99,92,100,99,99,99,98,102,98,100,101,102,102
Wilkinson Satellite Facility,102,85,85,83,83,83,83,84,83,83,83,83,83,92,102,92,91,98,98,98,98,98,102,102,102,102,101,101,102,101,100,100,100,100
Yazoo Satellite Facility,102,102,102,101,101,100,99,99,99,101,96,96,95,97,102,101,100,100,99,99,99,102,101,99,98,98,98,98,102,97,100,101,100,99
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,741","2,740","2,740","2,737","2,736","2,736","2,741","2,737","2,734","2,736","2,735","2,734","2,736","2,750","2,737","2,743","2,739","2,740","2,738","2,735","2,736","2,737","2,741","2,742","2,740","2,738","2,736","2,750","2,735","2,725","2,735","2,740","2,736"
Bolivar County,250,250,248,248,247,247,248,250,249,250,250,250,250,250,250,249,249,249,250,250,250,249,249,249,248,247,247,247,250,247,246,244,246,246
Carroll County,250,249,249,250,250,250,250,249,250,250,250,250,250,250,250,249,250,249,249,249,248,248,250,250,250,250,250,250,250,250,250,250,250,250
George County,250,250,250,250,250,250,250,250,247,244,246,246,246,248,250,248,250,250,250,250,250,250,250,250,250,250,250,250,250,250,247,250,250,249
Holmes County,250,250,249,250,248,248,250,250,250,250,249,249,248,249,250,248,249,249,248,248,248,247,246,250,250,250,250,249,250,249,247,247,250,249
Issaquena County,250,246,247,246,246,245,243,248,247,247,247,247,247,246,250,247,246,245,247,247,246,248,248,246,246,246,245,245,250,245,246,245,245,245
Jefferson County,250,249,249,249,249,249,249,249,248,247,247,247,247,247,250,250,250,250,250,250,250,249,249,249,250,249,249,248,250,248,248,249,250,249
Kemper County,250,249,249,250,250,250,250,249,250,249,249,248,248,250,250,250,250,249,249,249,248,250,249,250,250,250,250,250,250,250,250,250,250,249
Leake County,250,250,250,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,250,250,250,250,249,249,250,249,249,250,250,250
Marion County,250,248,250,250,250,250,247,247,248,249,249,249,249,249,250,250,251,250,250,249,249,250,249,249,250,250,250,250,250,249,249,250,250,250
Stone County,250,250,250,250,250,250,250,250,249,248,249,249,249,248,250,247,249,249,248,248,248,247,248,248,248,248,248,248,250,248,245,250,249,249
Winston County,250,250,249,248,248,248,249,249,249,250,250,250,250,249,250,249,249,249,249,249,249,249,249,250,250,250,250,250,250,250,248,250,250,250
PRIVATE PRISONS,"5,088","4,750","4,757","4,752","4,752","4,750","4,748","4,759","4,764","4,767","4,772","4,768","4,767","4,767","5,088","4,769","4,773","4,766","4,769","4,768","4,765","4,771","4,776","4,780","4,786","4,781","4,777","4,775","5,088","4,773","4,773","4,747","4,752","4,753"
Delta,960,955,958,956,956,956,955,954,957,956,957,956,956,959,960,955,958,955,954,954,953,955,955,957,955,954,952,953,960,952,952,949,955,955
East MS,"1,000",874,873,873,873,873,871,871,870,874,874,874,874,874,"1,000",873,873,873,873,873,873,873,873,873,873,873,873,873,"1,000",873,872,871,870,870
Marshall County,"1,000",990,993,995,995,993,993,994,993,995,995,995,995,991,"1,000",994,995,995,995,995,993,992,992,993,992,992,992,992,"1,000",992,992,992,993,993
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,127,128,128,128,128,128,128,128,128,128,127,127,127
Walnut Grove,"1,000",820,820,818,818,818,822,829,835,830,837,836,835,833,"1,000",832,833,825,830,829,829,835,838,837,846,844,844,844,"1,000",843,843,821,824,825
Wilkinson County,"1,000",983,985,982,982,982,979,983,981,984,981,979,979,982,"1,000",987,986,991,990,990,990,989,990,992,992,990,988,985,"1,000",985,986,987,983,983
RESITITUTION CENTERS,18,14,14,15,15,15,15,15,13,13,13,13,13,13,18,13,13,13,13,13,13,13,13,13,13,13,13,13,18,13,13,13,13,13
Greenwood,6,6,6,6,6,6,6,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
Hinds,6,4,4,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
Pascagoula,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,,4,4,4,5,4,4,4,4,6,6,6,7,6,,6,7,8,7,6,5,4,4,9,7,7,7,6,,6,6,8,13,11
TOTALS,"22,180","21,022","21,040","21,029","21,017","21,010","21,023","21,033","21,015","21,038","21,015","21,004","20,998","21,002","22,180","21,022","21,033","21,028","21,015","21,010","20,999","21,032","21,053","21,063","21,065","21,051","21,041","21,029","22,180","21,020","21,024","20,996","20,975","20,966"
