Location,Capacity_x,1-Apr-04,2-Apr-04,3-Apr-04,4-Apr-04,5-Apr-04,6-Apr-04,7-Apr-04,8-Apr-04,9-Apr-04,10-Apr-04,11-Apr-04,12-Apr-04,13-Apr-04,Capacity_y,14-Apr-04,15-Apr-04,16-Apr-04,17-Apr-04,18-Apr-04,19-Apr-04,20-Apr-04,21-Apr-04,22-Apr-04,23-Apr-04,24-Apr-04,25-Apr-04,26-Apr-04,Capacity,27-Apr-04,28-Apr-04,29-Apr-04,30-Apr-04
MS STATE PENITENTIARY,"5,768","5,714","5,714","5,714","5,713","5,707","5,660","5,676","5,614","5,613","5,612","5,609","5,609","5,569","5,768","5,559","5,544","5,537","5,537","5,537","5,541","5,491","5,504","5,467","5,469","5,467","5,466","5,465","5,768","5,406","5,428","5,367","5,384"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,246","3,240","3,241","3,239","3,204","3,227","3,221","3,219","3,193","3,193","3,192","3,184","3,202","3,233","3,189","3,161","3,170","3,170","3,170","3,175","3,185","3,188","3,178","3,176","3,174","3,174","3,173","3,233","3,203","3,188","3,164","3,165"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,045","2,065","2,065","2,066","2,084","2,100","2,096","2,122","2,111","2,111","2,111","2,148","2,144","2,214","2,161","2,160","2,173","2,171","2,171","2,172","2,192","2,186","2,191","2,200","2,201","2,203","2,204","2,214","2,202","2,175","2,180","2,173"
COUNTY JAILS,"2,176","2,178","2,162","2,162","2,162","2,199","2,204","2,202","2,175","2,177","2,177","2,177","2,193","2,172","2,176","2,174","2,173","2,161","2,161","2,161","2,150","2,132","2,100","2,104","2,081","2,081","2,081","2,083","2,176","2,067","2,083","2,125","2,129"
COMMUNITY WORK CENTERS,"1,816","1,641","1,611","1,610","1,612","1,635","1,636","1,636","1,642","1,604","1,603","1,604","1,642","1,627","1,816","1,634","1,646","1,641","1,641","1,640","1,645","1,647","1,662","1,669","1,645","1,645","1,645","1,666","1,816","1,671","1,700","1,733","1,705"
Alcorn Satellite Facility,92,86,85,85,85,85,86,86,85,85,85,85,90,90,92,90,92,90,90,90,92,92,91,92,91,91,92,92,92,92,89,89,90
Bolivar Satellite Facility,102,99,98,98,98,99,99,99,99,99,99,99,101,98,102,98,101,101,101,101,101,101,101,102,101,101,101,101,102,102,101,101,96
Forrest Satellite Facility,96,96,92,92,92,91,91,96,96,96,96,96,96,94,96,95,95,93,93,93,96,96,96,96,90,90,90,95,96,95,95,95,92
George Satellite Facility,102,77,76,76,76,75,75,74,74,75,75,75,77,77,102,77,86,85,85,85,84,84,84,84,85,85,85,86,102,83,96,100,96
Harrison Satellite Facility,102,91,89,89,89,91,91,91,91,89,89,89,90,90,102,90,90,89,89,89,89,89,92,92,91,91,91,91,102,90,92,101,100
Jackson Satellite Facility,102,82,80,80,80,82,82,82,82,79,79,79,78,78,102,78,78,78,78,78,78,78,85,82,79,79,78,81,102,79,88,94,94
Jefferson Satellite Facility,102,91,86,85,87,89,91,90,90,87,87,87,89,88,102,88,86,87,87,87,86,86,86,86,86,86,86,86,102,98,97,99,96
Leflore Satellite Facility,102,100,97,97,97,99,100,100,99,93,93,93,102,101,102,101,102,102,102,102,101,101,101,102,99,99,99,102,102,102,101,101,98
Madison Satellite Facility,102,102,99,99,99,102,102,102,102,97,96,97,102,102,102,102,102,102,102,102,101,100,102,102,100,100,100,102,102,102,102,101,101
Noxubee Satellite Facility,92,90,86,86,86,89,89,89,89,86,86,86,89,89,92,89,88,88,88,88,87,90,90,89,89,89,89,89,92,92,91,90,89
