Location,Capacity_x_x,1-Aug-09,2-Aug-09,3-Aug-09,4-Aug-09,5-Aug-09,6-Aug-09,7-Aug-09,8-Aug-09,9-Aug-09,Capacity_y_x,10-Aug-09,11-Aug-09,12-Aug-09,13-Aug-09,14-Aug-09,15-Aug-09,16-Aug-09,17-Aug-09,18-Aug-09,Capacity_x_y,19-Aug-09,20-Aug-09,21-Aug-09,22-Aug-09,23-Aug-09,24-Aug-09,25-Aug-09,26-Aug-09,27-Aug-09,Capacity_y_y,28-Aug-09,29-Aug-09,30-Aug-09,31-Aug-09,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,435","3,890","3,887","3,891","3,898","3,902","3,891","3,900","3,900","3,897","4,435","3,900","3,908","3,919","3,919","3,907","3,906","3,904","3,897","3,904","4,435","3,888","3,884","3,875","3,871","3,872","3,886","3,873","3,889","3,881","4,435","3,889","3,887","3,888","3,910",,"3,894"
Central Mississippi Correctional Facility,"3,665","3,181","3,180","3,018","3,187","3,208","3,226","3,178","3,181","3,180","3,665","3,174","3,200","3,186","3,168","3,158","3,156","3,157","3,146","3,167","3,665","3,189","3,182","3,159","3,158","3,159","3,165","3,185","3,154","3,197","3,665","3,156","3,156","3,154","3,155",,"3,168"
South Mississippi Correctional Institution,"3,204","3,015","3,013","3,191","3,008","3,010","3,020","3,017","3,015","3,014","3,204","3,024","3,025","3,028","3,032","3,033","3,037","3,037","3,010","3,012","3,204","3,021","3,007","3,003","3,002","3,002","3,002","3,014","3,012","2,988","3,204","2,957","2,954","2,954","2,922",,"3,012"
County Jails,"1,525","1,509","1,509","1,516","1,517","1,490","1,478","1,494","1,494","1,494","1,525","1,517","1,513","1,524","1,501","1,515","1,515","1,515","1,510","1,496","1,525","1,516","1,482","1,491","1,491","1,491","1,476","1,486","1,469","1,448","1,525","1,437","1,437","1,437","1,467",,"1,491"
COMMUNITY WORK CENTERS,"1,848","1,595","1,595","1,601","1,596","1,585","1,569","1,590","1,587","1,583","1,848","1,590","1,584","1,582","1,562","1,543","1,537","1,537","1,588","1,586","1,848","1,583","1,561","1,564","1,562","1,558","1,569","1,565","1,567","1,587","1,848","1,583","1,582","1,580","1,588",,"1,576"
Alcorn Satellite Facility,92,74,74,74,74,74,74,73,73,73,92,73,72,72,74,74,74,74,74,73,92,73,63,63,63,64,64,64,64,62,92,60,60,60,63,,69
Bolivar Satellite Facility,102,73,73,74,74,74,73,72,72,72,102,73,72,71,68,73,73,73,76,76,102,76,77,79,79,79,79,79,84,80,102,77,77,77,77,,75
Forrest Satellite Facility,96,83,83,83,83,75,74,76,76,76,96,77,77,74,74,72,71,71,73,73,96,73,71,78,78,78,79,79,79,77,96,75,76,76,77,,76
George Satellite Facility,102,89,89,90,90,90,89,86,86,86,102,89,87,93,93,89,90,90,87,87,102,86,85,87,87,87,88,88,88,88,102,88,88,87,85,,88
Harrison Satellite Facility,102,80,80,81,78,77,73,73,73,73,102,72,71,71,71,70,70,70,70,65,102,65,63,65,65,65,65,64,63,63,102,65,65,65,70,,70
