Location,Capacity_x_x,1-Feb-08,2-Feb-08,3-Feb-08,4-Feb-08,5-Feb-08,6-Feb-08,7-Feb-08,8-Feb-08,9-Feb-08,Capacity_y_x,10-Feb-08,11-Feb-08,12-Feb-08,13-Feb-08,14-Feb-08,15-Feb-08,16-Feb-08,17-Feb-08,18-Feb-08,Capacity_x_y,19-Feb-08,20-Feb-08,21-Feb-08,22-Feb-08,23-Feb-08,24-Feb-08,25-Feb-08,26-Feb-08,27-Feb-08,Capacity_y_y,28-Feb-08,29-Feb-08,Unnamed: 4,Avg Population
Mississippi State Penitentiary,"4,527","4,193","4,192","4,190","4,192","4,195","4,202","4,210","4,203","4,201","4,527","4,198","4,217","4,207","4,212","4,210","4,222","4,219","4,216","4,217","4,527","4,216","4,221","4,228","4,216","4,212","4,211","4,208",0,0,"4,527",0,0,,"4,208"
Central Mississippi Correctional Facility,"3,665","3,531","3,536","3,536","3,536","3,560","3,548","3,589","3,571","3,570","3,665","3,568","3,556","3,566","3,595","3,606","3,594","3,594","3,594","3,595","3,665","3,604","3,587","3,590","3,601","3,600","3,599","3,587",0,0,"3,665",0,0,,"3,577"
South Mississippi Correctional Institution,"3,204","3,055","3,053","3,052","3,039","3,030","3,044","3,036","3,036","3,034","3,204","3,031","3,037","3,049","3,055","3,058","3,077","3,076","3,076","3,074","3,204","3,064","3,089","3,080","3,085","3,076","3,080","3,088",0,0,"3,204",0,0,,"3,059"
County Jails,"1,661","1,876","1,876","1,876","1,898","1,893","1,891","1,880","1,881","1,881","1,661","1,881","1,884","1,910","1,910","1,916","1,895","1,895","1,895","1,894","1,661","1,914","1,918","1,918","1,910","1,910","1,910","1,919",0,0,"1,661",0,0,,"1,897"
COMMUNITY WORK CENTERS,"1,848","1,710","1,707","1,706","1,772","1,772","1,774","1,775","1,694","1,693","1,848","1,694","1,761","1,761","1,764","1,773","1,710","1,706","1,707","1,771","1,848","1,762","1,766","1,767","1,714","1,712","1,706","1,768",0,0,"1,848",0,0,,"1,738"
Alcorn Satellite Facility,92,86,86,86,92,92,92,91,87,87,92,87,89,90,92,92,86,85,84,90,92,90,91,91,86,86,86,92,0,0,92,0,0,,89
Bolivar Satellite Facility,102,91,91,91,98,97,98,100,92,92,102,92,99,99,97,94,90,90,90,94,102,93,93,98,98,98,98,102,0,0,102,0,0,,95
Forrest Satellite Facility,96,84,84,84,85,84,86,86,82,82,96,82,84,83,83,84,81,81,81,84,96,84,85,86,84,84,84,88,0,0,96,0,0,,84
George Satellite Facility,102,99,99,99,101,100,100,100,98,97,102,97,99,99,99,102,97,97,97,101,102,101,101,102,100,99,95,97,0,0,102,0,0,,99
Harrison Satellite Facility,102,98,98,98,102,102,102,102,102,102,102,102,102,99,99,99,97,97,97,99,102,101,101,102,101,101,101,102,0,0,102,0,0,,100
Jackson Satellite Facility,102,89,89,89,95,95,95,95,91,91,102,91,94,94,94,97,95,96,96,97,102,97,96,97,97,97,95,100,0,0,102,0,0,,94
Jefferson Satellite Facility,102,98,98,98,98,98,94,94,83,83,102,83,91,91,94,94,91,91,91,94,102,93,93,93,92,92,92,92,0,0,102,0,0,,92
