Location,Capacity_x,1-Jun-05,2-Jun-05,3-Jun-05,4-Jun-05,5-Jun-05,6-Jun-05,7-Jun-05,8-Jun-05,9-Jun-05,10-Jun-05,11-Jun-05,12-Jun-05,13-Jun-05,Capacity_y,14-Jun-05,15-Jun-05,16-Jun-05,17-Jun-05,18-Jun-05,19-Jun-05,20-Jun-05,21-Jun-05,22-Jun-05,23-Jun-05,24-Jun-05,25-Jun-05,26-Jun-05,Capacity,27-Jun-05,28-Jun-05,29-Jun-05,30-Jun-05
Mississippi State Penitentiary,"4,630","4,518","4,530","4,531","4,524","4,521","4,521","4,537","4,545","4,552","4,562","4,561","4,559","4,558","4,630","4,579","4,604","4,603","4,610","4,611","4,611","4,629","4,622","4,610","4,624","4,617","4,609","4,606","4,630","4,612","4,616",0,0
Central Mississippi Correctional Facility,"3,233","3,011","3,019","3,039","3,039","3,040","3,048","3,045","3,074","3,123","3,136","3,136","3,136","3,133","3,233","3,147","3,126","3,137","3,135","3,133","3,132","3,121","3,144","3,158","3,134","3,132","3,130","3,130","3,233","3,137","3,142",0,0
South Mississippi Correctional Institution,"2,214","2,200","2,002","2,200","2,199","2,201","2,208","2,197","2,190","2,183","2,183","2,181","2,181","2,202","2,214","2,202","2,203","2,200","2,195","2,195","2,194","2,202","2,198","2,195","2,203","2,182","2,180","2,177","2,214","2,173","2,180",0,0
County Jails,"2,329","1,798","1,787","1,732","1,732","1,732","1,772","1,796","1,781","1,770","1,751","1,751","1,751","1,720","2,329","1,699","1,709","1,671","1,647","1,647","1,647","1,653","1,655","1,660","1,687","1,686","1,686","1,686","2,329","1,611","1,653",0,0
COMMUNITY WORK CENTERS,"1,816","1,717","1,712","1,622","1,616","1,617","1,692","1,692","1,690","1,689","1,618","1,615","1,615","1,688","1,816","1,685","1,682","1,678","1,613","1,610","1,610","1,667","1,667","1,676","1,672","1,621","1,615","1,615","1,816","1,663","1,671",0,0
Alcorn Satellite Facility,92,90,90,86,86,86,92,92,92,91,83,82,82,91,92,90,90,88,83,83,83,88,88,92,92,89,89,89,92,92,92,0,0
Bolivar Satellite Facility,102,96,94,96,95,95,97,97,97,92,85,85,85,94,102,94,95,100,93,93,93,98,97,99,99,93,93,93,102,100,101,0,0
Forrest Satellite Facility,96,96,95,93,92,92,93,92,91,92,90,90,90,91,96,91,91,95,94,94,94,93,92,92,92,92,92,91,96,93,93,0,0
George Satellite Facility,102,92,90,89,88,88,90,90,92,90,91,91,91,90,102,90,89,96,94,93,93,94,93,93,94,89,89,89,102,92,92,0,0
Harrison Satellite Facility,102,102,101,94,94,94,100,101,101,101,98,98,98,99,102,99,98,98,92,92,92,97,96,96,96,93,93,93,102,95,95,0,0
Jackson Satellite Facility,102,101,101,95,95,95,100,100,100,100,95,95,95,99,102,100,99,98,95,95,95,98,99,99,99,96,95,96,102,97,97,0,0
Jefferson Satellite Facility,102,89,88,80,80,80,86,85,83,82,76,76,76,82,102,82,84,78,74,74,74,77,76,76,75,77,77,77,102,81,81,0,0
Leflore Satellite Facility,102,100,100,92,92,92,100,100,101,101,97,96,96,100,102,100,100,97,91,90,90,96,95,95,95,88,88,88,102,93,90,0,0
Madison Satellite Facility,102,102,99,94,94,94,97,96,95,101,98,98,98,102,102,102,101,99,95,95,95,98,98,98,94,94,94,94,102,94,92,0,0
Noxubee Satellite Facility,92,86,86,78,78,78,85,84,83,84,80,80,80,89,92,89,88,86,83,83,83,86,86,88,88,83,83,83,92,86,91,0,0
Pike Satellite Facility,93,87,89,83,82,82,87,88,87,87,84,84,84,85,93,85,84,85,84,83,83,85,85,85,85,83,82,82,93,85,83,0,0
Quitman Satellite Facility,93,86,86,74,74,75,84,83,83,83,75,75,75,80,93,80,81,79,76,76,75,78,78,79,79,75,74,74,93,76,75,0,0
Rankin Satellite Facility,228,211,211,206,206,206,205,207,210,210,201,201,201,210,228,210,211,210,204,204,205,209,214,214,214,207,206,206,228,211,211,0,0
Simpson Satellite Facility,102,96,100,93,93,93,97,98,97,99,95,95,95,99,102,99,99,95,93,93,93,98,98,98,97,97,97,97,102,97,97,0,0
Washington Satellite Facility,102,94,91,86,86,86,91,91,90,92,92,92,92,93,102,92,90,91,88,88,88,89,89,89,90,89,88,88,102,89,92,0,0
Wilkinson Satellite Facility,102,90,90,88,88,88,90,90,89,85,82,82,82,85,102,84,84,86,79,79,79,86,86,86,87,84,83,83,102,86,88,0,0
Yazoo Satellite Facility,102,99,101,95,93,93,98,98,99,99,96,95,95,99,102,98,98,97,95,95,95,97,97,97,96,92,92,92,102,96,101,0,0
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,744","2,741","2,733","2,730","2,729","2,734","2,746","2,745","2,744","2,743","2,743","2,743","2,743","2,750","2,742","2,736","2,730","2,737","2,737","2,737","2,739","2,736","2,733","2,731","2,739","2,739","2,737","2,750","2,737","2,741",0,0
Bolivar County,250,249,248,248,247,247,246,250,250,250,249,249,249,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0
Carroll County,250,250,249,248,248,248,249,250,250,250,250,250,250,249,250,250,249,249,249,249,249,250,250,250,249,249,249,249,250,250,250,0,0
