Location,Capacity_x_x,1-Feb-06,2-Feb-06,3-Feb-06,4-Feb-06,5-Feb-06,6-Feb-06,7-Feb-06,8-Feb-06,9-Feb-06,Capacity_y_x,10-Feb-06,11-Feb-06,12-Feb-06,13-Feb-06,14-Feb-06,15-Feb-06,16-Feb-06,17-Feb-06,18-Feb-06,Capacity_x_y,19-Feb-06,20-Feb-06,21-Feb-06,22-Feb-06,23-Feb-06,24-Feb-06,25-Feb-06,26-Feb-06,27-Feb-06,Capacity_y_y,28-Feb-06
Mississippi State Penitentiary,"4,529","4,322","4,338","4,317","4,315","4,311","4,327","4,323","4,336","4,332","4,529","4,347","4,339","4,339","4,331","4,344","4,359","4,359","4,369","4,364","4,529","4,363","4,363","4,357","4,355","4,340","4,347","4,346","4,344","4,322","4,529","4,337"
Central Mississippi Correctional Facility,"3,233","3,170","3,174","3,186","3,178","3,177","3,164","3,175","3,197","3,193","3,233","3,193","3,188","3,188","3,197","3,188","3,154","3,131","3,138","3,131","3,233","3,129","3,128","3,155","3,149","3,175","3,171","3,170","3,170","3,147","3,233","3,156"
South Mississippi Correctional Institution,"2,306","2,108","2,100","2,096","2,096","2,097","2,089","2,091","2,083","2,095","2,306","2,099","2,094","2,090","2,111","2,108","2,098","2,089","2,080","2,077","2,306","2,076","2,073","2,065","2,062","2,063","2,051","2,051","2,048","2,063","2,306","2,043"
County Jails,"2,177","1,657","1,674","1,664","1,664","1,664","1,679","1,693","1,688","1,709","2,177","1,678","1,678","1,678","1,660","1,653","1,689","1,703","1,717","1,717","2,177","1,717","1,716","1,750","1,766","1,729","1,738","1,738","1,738","1,749","2,177","1,747"
COMMUNITY WORK CENTERS,"1,816","1,726","1,729","1,683","1,681","1,681","1,736","1,741","1,723","1,732","1,816","1,661","1,658","1,657","1,714","1,720","1,732","1,725","1,655","1,647","1,816","1,646","1,696","1,692","1,697","1,703","1,658","1,658","1,657","1,698","1,816","1,690"
Alcorn Satellite Facility,92,90,92,82,82,82,92,91,91,91,92,82,82,82,90,92,91,90,87,87,92,87,91,91,90,89,88,88,88,89,92,89
Bolivar Satellite Facility,102,98,98,96,96,96,97,97,99,99,102,96,96,96,101,101,101,101,100,100,102,100,101,101,100,99,93,93,93,99,102,100
Forrest Satellite Facility,96,86,84,83,83,83,88,88,84,82,96,82,82,81,80,79,79,81,78,78,96,78,78,78,78,84,90,90,90,93,96,93
George Satellite Facility,102,99,99,97,95,95,96,96,92,90,102,85,86,86,89,90,91,91,89,87,102,87,89,89,88,89,89,89,89,91,102,94
Harrison Satellite Facility,102,94,94,92,92,92,94,97,91,91,102,89,89,89,90,90,90,90,84,84,102,84,90,93,102,102,96,96,96,101,102,99
Jackson Satellite Facility,102,97,97,95,95,95,97,97,97,97,102,88,88,88,94,93,93,93,90,90,102,90,92,93,92,92,90,90,90,94,102,95
Jefferson Satellite Facility,102,95,92,90,90,90,94,95,95,95,102,89,89,89,94,93,96,95,92,92,102,92,93,92,92,92,91,91,90,91,102,91
Leflore Satellite Facility,102,95,96,93,93,93,98,100,99,98,102,92,92,92,97,101,100,100,97,97,102,97,100,100,97,98,94,94,94,95,102,95
Madison Satellite Facility,102,100,101,94,94,94,99,99,99,98,102,95,95,95,97,97,102,100,97,97,102,97,98,96,101,101,93,93,93,96,102,92
Noxubee Satellite Facility,92,89,90,83,84,84,89,89,87,89,92,84,83,83,89,89,92,91,87,87,92,87,90,89,88,88,87,87,87,87,92,86
Pike Satellite Facility,93,81,87,92,91,91,92,90,90,93,93,90,89,89,92,92,92,91,87,85,93,85,88,86,85,84,84,84,84,84,93,82
Quitman Satellite Facility,93,84,86,85,85,85,85,85,86,86,93,80,79,79,84,84,85,85,73,72,93,72,82,83,83,82,84,84,84,82,93,82
Rankin Satellite Facility,228,224,224,222,222,222,227,227,226,228,228,225,225,225,226,227,227,225,222,220,228,220,224,222,223,225,220,220,220,222,228,224
Simpson Satellite Facility,102,98,97,95,95,95,96,96,96,101,102,100,99,99,100,98,97,95,90,90,102,90,94,93,92,92,88,88,88,91,102,86
Washington Satellite Facility,102,101,101,100,100,100,101,102,99,99,102,94,94,94,98,99,99,99,96,96,102,95,97,97,97,97,95,95,95,97,102,98
Wilkinson Satellite Facility,102,98,98,96,96,96,97,97,98,98,102,96,96,96,96,96,96,97,87,87,102,87,89,89,89,89,83,83,83,87,102,86
Yazoo Satellite Facility,102,97,93,88,88,88,94,95,94,97,102,94,94,94,97,99,101,101,99,98,102,98,100,100,100,100,93,93,93,99,102,98
REGIONAL CORRECTIONAL FACILITIES,"3,058","3,045","3,046","3,048","3,047","3,045","3,047","3,052","3,047","3,048","3,058","3,050","3,050","3,050","3,043","3,041","3,040","3,051","3,049","3,048","3,058","3,047","3,044","3,048","3,050","3,049","3,051","3,048","3,046","3,050","3,058","3,049"
Bolivar County,294,293,292,291,291,291,293,295,294,293,294,293,293,293,290,292,292,293,293,293,294,293,292,292,293,293,294,294,294,294,294,292
Carroll County,280,280,280,278,278,278,280,280,280,280,280,280,280,280,279,279,279,279,279,279,280,279,279,279,279,279,279,279,279,280,280,279
