Location,Capacity_x,1-Sep-01,2-Sep-01,3-Sep-01,4-Sep-01,5-Sep-01,6-Sep-01,7-Sep-01,8-Sep-01,9-Sep-01,10-Sep-01,Capacity_y,11-Sep-01,12-Sep-01,13-Sep-01,14-Sep-01,15-Sep-01,16-Sep-01,17-Sep-01,18-Sep-01,19-Sep-01,20-Sep-01,Capacity,21-Sep-01,22-Sep-01,23-Sep-01,24-Sep-01,25-Sep-01,26-Sep-01,27-Sep-01,28-Sep-01,29-Sep-01,30-Sep-01
MS STATE PENITENTIARY,"5,612","5,218","5,217","5,217","5,207","5,221","5,217","5,206","5,203","5,204","5,202","5,612","5,215","5,201","5,193","5,217","5,214","5,214","5,205","5,229","5,219","5,210","5,612","5,204","5,204","5,200","5,195","5,192","5,200","5,195","5,222","5,221","5,223"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","3,008","3,008","3,007","3,009","3,019","3,052","3,047","3,048","3,047","3,039","3,049","3,039","3,023","3,063","3,034","3,036","3,039","3,061","3,042","3,035","3,053","3,049","3,053","3,053","3,051","3,040","3,039","3,041","3,049","3,025","3,022","3,021"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","1,988","1,988","1,988","2,005","2,007","1,983","1,978","1,978","1,977","1,996","2,214","1,989","2,012","1,985","1,974","1,973","1,971","1,962","1,961","1,979","1,995","2,214","1,988","1,984","1,982","1,989","2,019","2,019","2,038","2,045","2,045","2,045"
COUNTY JAILS,"2,122","1,559","1,559","1,559","1,555","1,548","1,500","1,512","1,515","1,513","1,517","2,122","1,490","1,517","1,518","1,557","1,558","1,558","1,562","1,554","1,545","1,517","2,122","1,519","1,519","1,519","1,554","1,563","1,562","1,569","1,600","1,599","1,598"
COMMUNITY WORK CENTERS,"1,320","1,228","1,228","1,228","1,227","1,226","1,230","1,210","1,209","1,208","1,242","1,320","1,242","1,230","1,236","1,210","1,209","1,208","1,241","1,246","1,246","1,252","1,320","1,210","1,209","1,210","1,253","1,252","1,256","1,255","1,224","1,221","1,222"
Alcorn Satellite Facility,75,73,73,73,73,73,73,69,69,67,71,75,71,75,74,69,69,69,74,74,74,74,75,72,72,72,74,75,75,75,73,73,73
Bolivar Satellite Facility,75,72,72,72,70,70,68,67,67,67,73,75,73,72,72,68,68,68,73,73,73,73,75,72,72,72,74,74,74,74,74,74,74
Forrest Satellite Facility,75,74,74,74,74,74,74,71,71,71,74,75,73,71,72,68,68,68,71,70,73,74,75,71,71,71,74,74,74,74,71,70,71
George Satellite Facility,75,75,75,75,75,75,71,69,69,69,71,75,75,73,74,71,71,71,74,74,73,73,75,71,71,71,73,73,73,73,72,72,72
Harrison Satellite Facility,75,71,71,71,75,75,74,73,73,73,71,75,71,70,70,70,70,70,70,74,74,74,75,73,73,73,74,74,74,74,74,74,74
Jackson Satellite Facility,75,74,74,74,73,71,74,71,71,71,75,75,75,75,75,69,69,70,73,73,73,72,75,68,68,68,73,73,73,72,72,72,72
Jefferson Satellite Facility,75,74,74,74,74,74,73,70,70,70,74,75,74,74,74,70,70,70,74,74,73,75,75,70,70,70,74,73,75,75,73,73,73
Leflore Satellite Facility,75,75,75,75,75,75,75,75,75,75,75,75,74,73,73,75,75,75,74,74,74,74,75,70,70,70,74,74,74,74,71,71,71
Madison Satellite Facility,75,74,74,74,74,74,74,74,74,74,74,75,74,74,74,69,68,68,73,73,71,70,75,67,66,66,66,67,71,71,69,69,69
Noxubee Satellite Facility,75,75,75,75,75,75,74,70,70,70,74,75,74,72,70,68,68,68,70,70,69,70,75,65,65,66,74,74,73,73,70,70,70
Pike Satellite Facility,75,48,48,48,48,48,47,55,55,55,56,75,56,55,55,54,54,54,53,53,53,54,75,52,52,52,55,53,51,51,50,50,50
Quitman Satellite Facility,75,43,43,43,43,43,53,53,53,53,52,75,52,52,52,52,52,52,51,51,55,56,75,56,56,56,55,55,55,55,55,55,54
Rankin Satellite Facility,120,110,110,110,110,110,108,105,105,105,108,120,107,105,110,118,118,118,117,117,116,116,120,116,116,116,118,117,116,116,114,114,115
Simpson Satellite Facility,75,71,71,71,71,71,71,70,70,70,71,75,71,72,73,73,73,73,75,75,75,75,75,72,72,72,75,75,75,75,71,71,71
Washington Satellite Facility,75,74,74,74,74,74,73,72,72,72,73,75,73,71,72,71,71,71,74,74,74,74,75,71,71,71,73,75,75,75,71,71,71
Wilikinson Satellite Facility,75,75,75,75,74,75,75,74,73,74,75,75,74,72,72,70,70,70,72,74,73,73,75,71,71,71,73,72,73,73,73,71,71
Yazoo Satellite Facility,75,70,70,70,69,69,73,72,72,72,75,75,75,74,74,75,75,73,73,73,73,75,75,73,73,73,74,74,75,75,71,71,71
REGIONAL CORRECTIONAL FACILITIES,"2,500","2,038","2,036","2,036","2,031","2,022","2,032","2,036","2,036","2,036","2,030","2,500","2,023","2,015","2,027","2,028","2,027","2,027","2,023","2,017","2,010","2,015","2,500","2,032","2,032","2,031","2,034","2,031","2,033","2,034","2,032","2,032","2,031"
Bolivar County,250,210,209,209,209,208,208,207,208,208,207,250,206,201,201,203,203,203,203,203,200,203,250,203,203,203,203,202,207,207,207,207,207
Carroll County,250,196,196,196,196,195,199,202,202,202,202,250,201,201,200,200,200,200,197,197,197,197,250,199,199,199,198,198,198,198,200,200,200
Holmes County,250,200,200,200,198,198,198,200,200,200,200,250,200,199,198,198,198,198,198,195,195,193,250,201,201,201,197,198,197,197,196,196,196
Issaquena County,250,198,198,198,198,198,195,195,195,195,194,250,194,193,198,197,196,196,195,195,194,194,250,199,199,198,198,198,198,198,198,198,198
Jefferson County,250,211,211,211,211,210,210,210,210,210,210,250,210,209,211,211,211,211,211,211,211,212,250,212,212,212,212,212,212,212,212,212,212
Kemper County,250,222,222,222,221,221,225,225,225,225,225,250,223,223,224,224,224,224,224,223,223,225,250,225,225,225,224,224,222,222,221,221,221
Leake County,250,199,199,199,198,197,197,197,196,196,195,250,195,195,200,199,199,199,199,199,199,199,250,201,201,201,201,200,200,200,200,200,199
Marion County,250,200,199,199,198,197,199,199,199,199,198,250,198,198,196,196,196,196,196,196,193,193,250,193,193,193,200,200,200,201,200,200,200
Stone County,250,202,202,202,202,198,201,201,201,201,201,250,200,200,201,201,201,201,201,198,198,198,250,198,198,198,200,199,199,199,198,198,198
Winston County,250,200,200,200,200,200,200,200,200,200,198,250,196,196,198,199,199,199,199,200,200,201,250,201,201,201,201,200,200,200,200,200,200
PRIVATE PRISONS,"3,900","3,493","3,493","3,492","3,487","3,490","3,505","3,513","3,513","3,514","3,513","3,900","3,510","3,509","3,509","3,502","3,502","3,501","3,498","3,500","3,493","3,491","3,900","3,493","3,493","3,493","3,490","3,490","3,488","3,486","3,485","3,485","3,485"
Delta,"1,000",833,833,833,831,831,841,842,842,843,843,"1,000",840,839,843,840,840,840,840,839,838,841,"1,000",840,840,840,839,839,839,837,837,837,837
East MS,500,497,497,496,496,496,496,500,500,500,499,500,499,498,498,498,498,498,496,496,495,496,500,497,497,497,495,495,494,494,494,494,494
Marshall County,"1,000",865,865,865,863,862,870,869,869,870,870,"1,000",870,870,871,868,868,867,866,866,866,865,"1,000",868,868,868,868,868,868,867,867,867,867
Walnut Grove,500,408,408,408,408,412,411,415,415,415,415,500,415,416,415,415,415,415,415,414,410,405,500,405,405,405,405,405,404,405,405,405,405
Wilkinson County,900,890,890,890,889,889,887,887,887,886,886,900,886,886,882,881,881,881,881,885,884,884,900,883,883,883,883,883,883,883,882,882,882
RESITITUTION CENTERS,24,15,15,15,15,15,15,15,15,15,16,24,16,16,16,16,16,16,16,16,16,16,24,13,13,13,18,18,18,18,18,18,18
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6
Hinds,12,8,8,8,8,8,8,8,8,8,9,12,9,9,9,9,9,9,9,9,9,9,12,8,8,8,11,11,11,11,11,11,11
Pascagoula,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
TOTALS,"20,747","18,553","18,550","18,547","18,541","18,553","18,539","18,523","18,523","18,520","18,561","20,747","18,530","18,529","18,553","18,544","18,541","18,540","18,574","18,571","18,549","18,555","20,747","18,518","18,513","18,505","18,579","18,610","18,623","18,650","18,657","18,649","18,649"
