Location,Capacity_x,1-Jan-05,2-Jan-05,3-Jan-05,4-Jan-05,5-Jan-05,6-Jan-05,7-Jan-05,8-Jan-05,9-Jan-05,10-Jan-05,11-Jan-05,12-Jan-05,13-Jan-05,Capacity_y,14-Jan-05,15-Jan-05,16-Jan-05,17-Jan-05,18-Jan-05,19-Jan-05,20-Jan-05,21-Jan-05,22-Jan-05,23-Jan-05,24-Jan-05,25-Jan-05,26-Jan-05,Capacity,27-Jan-05,28-Jan-05,29-Jan-05,30-Jan-05,31-Jan-05
Mississippi State Penitentiary,"4,760","4,619","4,620","4,615","4,611","4,594","4,639","4,637","4,637","4,635","4,620","4,606","4,602","4,602","4,760","4,586","4,587","4,583","4,582","4,574","4,571","4,561","4,556","4,555","4,553","4,572","4,567","4,558","4,760","4,541","4,535","4,529","4,528","4,516"
Central Mississippi Correctional Facility,"3,233","3,063","3,060","3,058","3,029","3,024","2,974","2,931","2,933","2,930","2,934","2,940","2,948","2,955","3,233","2,958","2,956","2,953","2,952","2,916","2,929","2,963","2,978","2,977","2,977","2,965","3,003","3,032","3,233","3,038","3,055","3,053","3,053","3,075"
South Mississippi Correctional Institution,"2,214","2,160","2,160","2,159","2,144","2,142","2,144","2,152","2,151","2,149","2,138","2,139","2,139","2,133","2,214","2,129","2,127","2,128","2,122","2,121","2,144","2,139","2,142","2,142","2,143","2,137","2,140","2,139","2,214","2,134","2,119","2,118","2,118","2,109"
County Jails,"2,295","1,872","1,872","1,873","1,882","1,904","1,919","1,927","1,927","1,927","1,948","1,984","1,997","2,020","2,295","2,020","2,020","2,020","2,025","1,997","1,948","1,921","1,912","1,912","1,912","1,897","1,862","1,753","2,295","1,837","1,838","1,838","1,838","1,827"
COMMUNITY WORK CENTERS,"1,816","1,726","1,727","1,725","1,712","1,708","1,711","1,690","1,687","1,685","1,702","1,695","1,691","1,685","1,816","1,555","1,552","1,551","1,667","1,685","1,677","1,689","1,590","1,588","1,589","1,703","1,708","1,709","1,816","1,711","1,630","1,627","1,624","1,709"
Alcorn Satellite Facility,92,89,89,89,89,89,89,88,88,88,90,90,90,90,92,80,80,80,90,91,91,91,87,87,87,89,91,91,92,90,89,89,89,90
Bolivar Satellite Facility,102,101,101,101,102,102,102,92,92,92,101,100,100,100,102,91,91,91,100,100,100,100,89,89,89,96,99,101,102,101,99,99,99,102
Forrest Satellite Facility,96,96,96,95,94,93,93,92,92,92,91,92,92,92,96,81,81,81,88,92,91,90,83,83,84,95,94,94,96,93,91,90,91,95
George Satellite Facility,102,99,100,99,100,100,100,102,102,102,102,102,101,100,102,93,93,93,101,100,99,98,88,88,88,98,102,102,102,100,101,101,100,101
Harrison Satellite Facility,102,101,101,101,101,100,100,102,102,102,102,102,102,102,102,93,93,92,100,99,96,96,85,85,85,97,97,99,102,99,95,95,95,101
Jackson Satellite Facility,102,99,99,99,97,98,102,102,102,102,102,102,102,102,102,92,92,92,102,102,102,101,97,97,97,101,100,101,102,101,92,92,92,100
Jefferson Satellite Facility,102,99,99,99,100,99,99,99,98,96,97,97,97,97,102,88,87,87,96,100,97,97,88,88,88,101,101,101,102,100,98,98,98,100
Leflore Satellite Facility,102,101,101,101,100,100,100,100,100,100,101,101,101,99,102,89,88,88,96,95,95,102,98,98,98,102,102,101,102,101,90,90,90,99
Madison Satellite Facility,102,102,102,102,101,101,101,100,100,100,100,97,97,97,102,93,93,93,97,102,102,102,95,95,95,102,101,102,102,102,95,95,95,101
Noxubee Satellite Facility,92,90,90,90,88,88,88,79,79,79,91,91,90,89,92,84,84,84,88,88,88,88,92,91,92,92,91,90,92,90,88,88,87,90
Pike Satellite Facility,93,63,63,63,63,63,63,63,63,63,63,63,62,62,93,58,58,58,61,61,63,66,65,65,65,68,68,68,93,68,63,62,62,65
Quitman Satellite Facility,93,76,76,76,76,76,76,76,75,75,68,67,67,67,93,58,58,58,64,64,64,68,66,65,65,71,71,71,93,72,63,62,61,71
Rankin Satellite Facility,228,207,207,207,202,201,200,199,199,199,199,195,195,194,228,187,186,186,191,195,195,198,193,193,193,193,193,192,228,196,193,193,193,195
Simpson Satellite Facility,102,102,102,102,102,101,101,101,100,100,101,102,102,102,102,94,94,94,102,101,100,98,92,92,92,102,102,100,102,99,92,92,92,98
Washington Satellite Facility,102,102,102,102,102,102,102,101,101,101,101,101,102,102,102,97,97,97,102,102,102,100,93,93,92,99,98,98,102,102,93,93,93,102
Wilkinson Satellite Facility,102,100,100,100,98,98,98,97,97,97,97,97,96,95,102,89,89,89,95,93,92,94,88,88,88,97,99,98,102,97,97,97,96,99
Yazoo Satellite Facility,102,99,99,99,97,97,97,97,97,97,96,96,95,95,102,88,88,88,94,100,100,100,91,91,91,100,99,100,102,100,91,91,91,100
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,736","2,736","2,734","2,744","2,739","2,739","2,742","2,740","2,738","2,733","2,736","2,728","2,726","2,750","2,730","2,730","2,729","2,728","2,725","2,724","2,726","2,727","2,725","2,722","2,736","2,740","2,743","2,750","2,743","2,737","2,736","2,734","2,738"
Bolivar County,250,246,246,246,247,247,249,250,250,249,247,247,247,246,250,250,250,250,250,248,246,246,247,247,247,247,247,246,250,249,246,246,246,244
Carroll County,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,249,249,249,249,248,249,249,248,248,248,250,250,250,250,250,250,250,250,250
George County,250,249,249,249,249,250,249,247,247,246,246,249,249,249,250,249,249,249,249,249,248,247,247,247,245,249,248,250,250,250,250,249,249,248
Holmes County,250,249,249,248,248,249,248,250,249,249,248,247,247,247,250,247,247,247,247,247,249,249,249,247,247,249,250,250,250,249,248,248,248,249
Issaquena County,250,245,245,245,251,251,251,249,249,249,248,248,247,247,250,247,247,247,247,247,246,246,246,246,245,248,248,248,250,248,249,249,249,249
Jefferson County,250,249,249,249,250,250,250,249,249,249,249,249,247,246,250,246,246,246,245,245,245,244,244,244,244,249,249,249,250,247,247,247,246,250
Kemper County,250,249,249,249,250,248,248,249,249,249,249,249,246,246,250,246,246,246,246,247,247,248,249,249,249,249,250,250,250,250,250,250,249,250
Leake County,250,250,250,250,250,250,250,250,249,249,248,248,247,247,250,247,247,247,247,250,250,250,249,249,249,249,249,250,250,250,249,249,249,250
Marion County,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,249,249,249,247,250,250,250,250,249,249,249,249
Stone County,250,249,249,248,250,249,248,248,248,248,248,249,248,248,250,249,249,249,249,249,249,249,249,249,249,250,250,250,250,250,249,249,249,250
Winston County,250,250,250,250,249,247,248,250,250,250,250,250,250,250,250,250,250,249,249,246,246,249,250,250,250,249,249,250,250,250,250,250,250,249
PRIVATE PRISONS,"5,088","4,752","4,750","4,748","4,744","4,744","4,729","4,737","4,733","4,730","4,734","4,722","4,718","4,706","5,088","4,696","4,695","4,694","4,690","4,743","4,749","4,744","4,758","4,757","4,755","4,758","4,756","4,762","5,088","4,761","4,753","4,752","4,750","4,736"
Delta,960,955,954,953,951,950,950,949,948,948,947,946,945,943,960,943,943,942,941,957,959,957,956,956,956,956,957,956,960,954,952,952,951,947
East Mississippi,"1,000",870,870,870,870,871,871,871,871,871,871,870,869,865,"1,000",864,864,864,863,863,865,865,864,864,863,862,860,872,"1,000",872,870,869,869,867
Marshall County,"1,000",993,993,993,993,991,991,991,990,990,988,985,985,981,"1,000",980,980,980,980,993,994,993,994,994,994,994,994,993,"1,000",994,993,993,993,993
Tallahatchie County,128,127,127,127,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127
Walnut Grove,"1,000",825,825,825,822,825,811,820,820,820,820,820,821,821,"1,000",815,815,815,814,821,822,821,822,822,821,825,825,821,"1,000",823,822,822,822,819
Wilkinson County,"1,000",982,981,980,980,979,978,978,976,973,980,973,970,968,"1,000",967,966,966,965,981,981,980,994,993,993,993,992,992,"1,000",990,988,988,987,983
RESITITUTION CENTERS,18,13,13,13,12,14,14,14,14,14,14,14,14,14,18,11,11,11,14,14,14,14,14,14,14,14,14,14,18,14,14,14,14,14
Greenwood,6,4,4,4,3,5,5,5,5,5,5,5,5,5,6,3,3,3,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
Hinds,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
Pascagoula,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,3,3,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
E-CODE,,12,10,10,12,11,8,4,1,2,3,2,4,5,,134,133,132,4,3,2,3,106,109,107,108,1,4,,6,76,0,77,6
TOTALS,"22,180","20,958","20,953","20,940","20,895","20,885","20,882","20,839","20,828","20,815","20,831","20,843","20,846","20,851","22,180","20,824","20,816","20,806","20,789","20,783","20,763","20,765","20,788","20,784","20,777","20,895","20,796","20,719","22,180","20,790","20,762","20,672","20,741","20,735"
