Location,Capacity_x,1-Aug-01,2-Aug-01,3-Aug-01,4-Aug-01,5-Aug-01,6-Aug-01,7-Aug-01,8-Aug-01,9-Aug-01,10-Aug-01,Capacity_y,11-Aug-01,12-Aug-01,13-Aug-01,14-Aug-01,15-Aug-01,16-Aug-01,17-Aug-01,18-Aug-01,19-Aug-01,20-Aug-01,Capacity,21-Aug-01,22-Aug-01,23-Aug-01,24-Aug-01,25-Aug-01,26-Aug-01,27-Aug-01,28-Aug-01,29-Aug-01,30-Aug-01,31-Aug-01
MS STATE PENITENTIARY,"5,612","5,336","5,332","5,326","5,326","5,325","5,347","5,312","5,308","5,299","5,299","5,612","5,295","5,293","5,285","5,281","5,294","5,271","5,232","5,230","5,228","5,211","5,612","5,221","5,211","5,202","5,215","5,212","5,207","5,204","5,201","5,222","5,219","5,218"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","3,019","3,037","3,023","3,023","3,023","3,014","3,019","3,034","3,020","3,038","3,049","3,037","3,037","2,998","2,980","2,985","2,988","2,984","2,985","2,983","2,975","3,049","2,950","2,962","2,984","2,985","2,987","2,985","3,003","2,983","2,997","2,995","3,008"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","1,977","1,972","1,950","1,950","1,949","1,940","1,959","1,949","1,977","1,952","2,214","1,953","1,953","1,975","1,996","1,993","1,986","1,978","1,979","1,980","2,002","2,214","1,987","1,980","1,982","1,973","1,974","1,973","1,967","1,991","1,988","1,999","1,989"
COUNTY JAILS,"2,122","1,481","1,476","1,476","1,476","1,494","1,509","1,509","1,491","1,486","1,476","2,122","1,476","1,469","1,498","1,499","1,504","1,500","1,506","1,506","1,506","1,536","2,122","1,544","1,546","1,553","1,543","1,547","1,550","1,550","1,555","1,536","1,540","1,549"
COMMUNITY WORK CENTERS,"1,320","1,248","1,247","1,197","1,196","1,197","1,227","1,229","1,239","1,247","1,211","1,320","1,209","1,208","1,236","1,242","1,242","1,228","1,204","1,203","1,201","1,234","1,320","1,238","1,239","1,242","1,218","1,217","1,217","1,234","1,240","1,241","1,228","1,228"
Alcorn Satellite Facility,75,74,74,70,70,70,72,73,73,73,70,75,70,70,73,74,74,71,74,74,74,75,75,74,74,74,72,72,72,72,72,73,73,73
Bolivar Satellite Facility,75,73,72,69,68,68,67,67,73,73,70,75,70,70,72,72,70,68,67,67,67,68,75,68,68,74,73,72,72,74,74,74,72,72
Forrest Satellite Facility,75,70,72,67,67,68,72,71,75,75,72,75,72,72,74,75,75,72,72,72,72,75,75,75,75,75,74,74,74,74,75,75,74,74
George Satellite Facility,75,72,72,68,69,69,72,72,74,75,74,75,74,74,75,73,73,72,67,66,65,68,75,73,75,74,74,73,73,72,75,75,75,75
Harrison Satellite Facility,75,73,72,70,70,70,72,70,70,75,74,75,74,73,73,74,74,75,72,72,72,74,75,75,74,74,71,71,71,73,75,73,71,71
Jackson Satellite Facility,75,74,74,70,70,70,73,73,73,74,70,75,70,70,74,74,74,73,68,68,68,75,75,75,75,75,74,75,75,75,74,74,74,74
Jefferson Satellite Facility,75,74,74,68,68,68,71,71,74,73,71,75,71,71,73,73,73,74,74,74,74,74,75,74,73,73,69,69,69,73,72,74,74,74
Leflore Satellite Facility,75,73,73,71,71,71,69,75,75,75,74,75,74,74,75,75,75,75,70,70,70,75,75,75,75,75,73,73,73,75,75,75,75,75
Madison Satellite Facility,75,74,74,72,72,72,73,74,74,74,72,75,72,72,74,73,73,72,70,71,71,72,75,72,74,74,74,74,74,74,74,74,72,74
Noxubee Satellite Facility,75,75,75,71,71,71,75,75,75,75,73,75,73,73,75,75,75,73,72,72,72,73,75,73,73,73,75,75,75,75,75,75,75,75
Pike Satellite Facility,75,62,61,61,60,60,59,59,59,59,59,75,59,58,61,58,59,58,57,57,56,57,75,56,54,54,54,54,54,54,51,51,49,48
Quitman Satellite Facility,75,50,49,50,50,50,50,49,48,48,44,75,44,44,46,46,46,46,42,42,42,46,75,46,45,45,43,43,43,44,44,44,43,43
Rankin Satellite Facility,120,111,114,109,109,109,113,112,108,111,108,120,108,108,110,109,109,106,109,109,108,109,120,109,113,112,111,111,111,111,110,110,110,110
Simpson Satellite Facility,75,74,74,72,72,72,73,73,73,70,70,75,70,70,67,71,71,74,71,70,71,73,75,73,72,72,72,72,72,72,73,73,72,71
Washington Satellite Facility,75,75,75,72,72,72,75,75,75,75,70,75,69,69,75,75,75,73,71,71,71,73,75,73,73,73,69,69,69,74,74,74,74,74
Wilikinson Satellite Facility,75,71,71,65,65,65,69,68,68,68,67,75,66,67,66,73,73,73,74,74,74,75,75,75,75,74,72,72,72,74,75,75,75,75
Yazoo Satellite Facility,75,73,71,72,72,72,72,72,72,74,73,75,73,73,73,72,73,73,74,74,74,72,75,72,71,71,68,68,68,68,72,72,70,70
REGIONAL CORRECTIONAL FACILITIES,"2,500","2,003","2,008","2,033","2,032","2,032","2,028","2,020","2,009","2,002","2,013","2,500","2,013","2,013","2,005","2,001","2,002","2,020","2,025","2,025","2,025","2,025","2,500","2,022","2,023","2,019","2,037","2,038","2,037","2,033","2,033","2,032","2,026","2,038"
Bolivar County,250,210,210,210,210,210,210,209,208,208,208,250,208,208,207,207,207,208,208,208,208,208,250,208,208,207,206,206,206,206,209,210,210,210
Carroll County,250,195,198,198,198,198,197,195,194,193,193,250,193,193,193,192,192,191,199,199,199,199,250,198,198,198,198,198,197,197,198,197,196,196
Holmes County,250,197,198,198,198,198,198,198,196,193,192,250,192,192,191,191,190,197,196,196,196,194,250,194,194,192,197,197,197,197,197,197,197,200
Issaquena County,250,183,183,195,195,195,194,193,192,194,194,250,194,194,194,194,199,197,195,195,195,199,250,198,200,200,200,200,200,198,198,198,196,198
Jefferson County,250,209,209,212,212,212,212,211,207,207,213,250,213,213,212,211,210,210,207,207,207,207,250,211,211,211,213,213,213,213,213,213,211,211
Kemper County,250,221,221,224,224,224,223,223,222,222,224,250,224,224,224,224,222,221,224,224,224,221,250,221,221,220,225,226,226,225,225,225,224,222
Leake County,250,198,198,200,200,200,200,200,200,200,201,250,201,201,200,200,200,200,200,200,200,200,250,200,200,200,200,200,200,199,199,198,198,199
Marion County,250,196,196,200,200,200,200,200,200,198,197,250,197,197,196,196,196,200,200,200,200,201,250,197,196,196,200,200,200,200,193,193,193,200
