Location,Capacity_x_x,1-Sep-06,2-Sep-06,3-Sep-06,4-Sep-06,5-Sep-06,6-Sep-06,7-Sep-06,8-Sep-06,9-Sep-06,Capacity_y_x,10-Sep-06,11-Sep-06,12-Sep-06,13-Sep-06,14-Sep-06,15-Sep-06,16-Sep-06,17-Sep-06,18-Sep-06,Capacity_x_y,19-Sep-06,20-Sep-06,21-Sep-06,22-Sep-06,23-Sep-06,24-Sep-06,25-Sep-06,26-Sep-06,27-Sep-06,Capacity_y_y,28-Sep-06,29-Sep-06,30-Sep-06
Mississippi State Penitentiary,"4,529","4,519","4,516","4,512","4,512","4,510","4,509","4,499","4,537","4,534","4,529","4,532","4,511","4,510","4,517","4,524","4,521","4,519","4,516","4,526","4,529","4,540","4,537","4,533","4,545","4,537","4,534","4,520","4,531","4,529","4,529","4,536","4,543","4,541"
Central Mississippi Correctional Facility,"3,293","3,245","3,246","3,245","3,241","3,254","3,269","3,284","3,241","3,241","3,293","3,242","3,294","3,322","3,274","3,344","3,335","3,334","3,333","3,292","3,293","3,325","3,322","3,363","3,393","3,389","3,388","3,389","3,353","3,366","3,293","3,337","3,325","3,321"
South Mississippi Correctional Institution,"2,155","2,081","2,077","2,077","2,077","2,071","2,077","2,075","2,076","2,073","2,155","2,072","2,065","2,069","2,072","2,075","2,071","2,068","2,065","2,076","2,155","2,074","2,085","2,084","2,082","2,082","2,085","2,084","2,101","2,097","2,155","2,084","2,082","2,080"
County Jails,"1,824","1,811","1,811","1,811","1,811","1,809","1,814","1,796","1,803","1,803","1,824","1,803","1,798","1,771","1,770","1,794","1,806","1,806","1,806","1,769","1,824","1,739","1,776","1,780","1,762","1,762","1,762","1,781","1,785","1,783","1,824","1,820","1,847","1,847"
COMMUNITY WORK CENTERS,"1,816","1,770","1,767","1,762","1,760","1,756","1,751","1,755","1,723","1,722","1,816","1,721","1,761","1,771","1,784","1,781","1,738","1,738","1,738","1,770","1,816","1,778","1,783","1,784","1,719","1,713","1,712","1,771","1,761","1,774","1,816","1,788","1,748","1,745"
Alcorn Satellite Facility,92,91,91,91,91,89,89,92,90,90,92,89,92,92,92,92,88,87,87,89,92,89,92,92,90,90,90,91,91,91,92,91,86,86
Bolivar Satellite Facility,102,99,99,99,99,99,100,100,98,98,102,98,101,101,101,100,94,94,94,99,102,98,101,102,100,100,100,102,102,102,102,102,102,102
Forrest Satellite Facility,96,93,93,93,93,96,96,96,94,94,96,94,96,95,96,96,94,94,94,96,96,96,96,95,91,86,86,91,91,92,96,95,93,93
George Satellite Facility,102,102,102,102,102,102,102,96,92,92,102,92,97,97,101,101,100,100,100,99,102,98,98,98,94,94,94,97,98,102,102,102,101,101
Harrison Satellite Facility,102,101,100,100,100,99,98,100,99,99,102,99,101,102,98,97,95,95,96,98,102,101,100,100,97,97,97,99,99,102,102,102,98,98
Jackson Satellite Facility,102,101,101,101,101,99,98,99,96,96,102,96,102,102,101,101,99,99,99,101,102,102,101,101,96,96,96,102,102,102,102,102,98,98
Jefferson Satellite Facility,102,101,101,101,100,100,100,100,102,102,102,102,102,102,102,102,100,100,100,102,102,102,102,102,101,101,101,102,102,102,102,102,95,95
Leflore Satellite Facility,102,95,94,94,94,95,97,97,100,100,102,100,101,101,101,100,100,100,100,98,102,98,100,100,93,93,93,101,100,100,102,99,102,102
Madison Satellite Facility,102,102,102,100,100,101,101,101,98,97,102,97,101,101,100,100,102,102,102,102,102,102,102,101,96,96,96,101,100,98,102,101,100,100
Noxubee Satellite Facility,92,92,92,92,92,92,92,92,87,87,92,87,92,92,92,92,82,83,83,90,92,91,92,92,85,85,85,89,92,92,92,92,90,90
Pike Satellite Facility,93,86,86,86,85,84,83,82,80,80,93,80,81,85,92,93,92,91,91,91,93,92,92,92,89,89,89,91,87,87,93,90,89,89
Quitman Satellite Facility,93,88,88,86,86,86,85,85,85,84,93,84,83,83,86,86,85,85,85,89,93,89,87,87,79,79,78,86,86,87,93,87,87,87
Rankin Satellite Facility,228,221,220,219,219,220,219,219,210,211,228,211,217,216,217,217,214,214,214,216,228,220,220,221,218,217,217,219,218,220,228,220,213,211
Simpson Satellite Facility,102,102,102,102,102,102,98,100,91,91,102,91,95,102,102,102,96,97,97,99,102,98,100,100,97,97,97,98,95,96,102,101,96,96
Washington Satellite Facility,102,94,94,94,94,93,94,98,98,98,102,98,99,99,99,99,99,99,98,99,102,99,98,99,97,97,97,98,96,101,102,102,100,99
Wilkinson Satellite Facility,102,100,100,100,100,100,100,100,101,101,102,101,100,102,102,101,100,100,100,102,102,102,101,101,100,100,100,102,100,99,102,99,97,97
Yazoo Satellite Facility,102,102,102,102,102,99,99,98,102,102,102,102,101,99,102,102,98,98,98,100,102,101,101,101,96,96,96,102,102,101,102,101,101,101
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,080","3,078","3,077","3,071","3,070","3,077","3,082","3,078","3,077","3,082","3,075","3,069","3,073","3,070","3,073","3,076","3,074","3,071","3,077","3,082","3,080","3,078","3,076","3,070","3,067","3,064","3,075","3,082","3,078","3,082","3,079","3,078","3,075"
