Location,Capacity_x,1-May-03,2-May-03,3-May-03,4-May-03,5-May-03,6-May-03,7-May-03,8-May-03,9-May-03,10-May-03,11-May-03,12-May-03,13-May-03,Capacity_y,14-May-03,15-May-03,16-May-03,17-May-03,18-May-03,19-May-03,20-May-03,21-May-03,22-May-03,23-May-03,24-May-03,Unnamed: 13,25-May-03 26-May-03,Capacity,Unnamed: 2,27-May-03 28-May-03,29-May-03,30-May-03,31-May-03
MS STATE PENITENTIARY,"5,768","5,681","5,674","5,672","5,667","5,671","5,669","5,688","5,675","5,672","5,668","5,666","5,679","5,668","5,768","5,695","5,710","5,698","5,698","5,696","5,693","5,719","5,706","5,723","5,716","5,716","5,714","5,712","5,768","5,711","5,725","5,713","5,692","5,691"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,119","3,120","3,119","3,118","3,144","3,124","3,111","3,128","3,122","3,121","3,120","3,136","3,135","3,233","3,124","3,098","3,101","3,102","3,102","3,113","3,116","3,125","3,134","3,150","3,149","3,149","3,148","3,233","3,164","3,165","3,158","3,167","3,168"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,134","2,156","2,156","2,155","2,145","2,162","2,146","2,145","2,147","2,146","2,143","2,139","2,151","2,214","2,148","2,143","2,159","2,158","2,157","2,158","2,149","2,163","2,158","2,152","2,151","2,150","2,150","2,214","2,147","2,145","2,165","2,142","2,142"
COUNTY JAILS,"2,133","2,108","2,088","2,088","2,088","2,068","2,095","2,096","2,083","2,062","2,062","2,062","2,040","2,062","2,133","2,048","2,049","2,040","2,040","2,040","2,030","2,035","2,040","2,051","2,063","2,063","2,063","2,065","2,133","2,069","2,079","2,094","2,094","2,094"
COMMUNITY WORK CENTERS,"1,350","1,299","1,278","1,278","1,278","1,297","1,279","1,289","1,290","1,262","1,260","1,259","1,290","1,293","1,350","1,290","1,295","1,206","1,206","1,208","1,293","1,294","1,296","1,299","1,295","1,294","1,294","1,294","1,350","1,289","1,295","1,305","1,232","1,232"
Alcorn Satellite Facility,75,74,73,73,73,73,72,72,72,64,64,64,75,75,75,75,75,67,67,67,75,74,74,74,75,75,75,75,75,74,74,74,68,68
Bolivar Satellite Facility,75,75,73,73,73,73,69,74,74,72,72,72,73,74,75,74,74,68,68,68,73,74,75,75,75,75,75,75,75,75,75,72,68,68
Forrest Satellite Facility,75,73,73,73,73,74,70,74,75,74,74,74,74,74,75,71,74,69,69,69,74,74,74,74,74,74,74,74,75,74,74,74,68,68
George Satellite Facility,75,75,73,73,73,75,74,75,74,73,73,73,73,73,75,73,75,68,68,68,75,75,75,75,75,75,75,75,75,75,74,74,71,71
Harrison Satellite Facility,75,73,74,74,74,74,73,73,73,74,74,74,74,74,75,74,74,64,64,64,75,75,74,75,75,75,75,75,75,75,75,74,67,67
Jackson Satellite Facility,75,75,74,74,74,74,75,75,75,73,73,73,74,74,75,73,73,71,71,71,73,73,73,73,72,72,72,72,75,71,75,75,73,73
Jefferson Satellite Facility,75,74,69,69,69,74,74,71,71,66,65,65,70,70,75,73,73,69,69,69,75,74,74,74,73,73,73,73,75,73,75,75,73,73
Leflore Satellite Facility,75,75,75,75,75,75,72,72,72,68,68,68,75,75,75,75,74,70,70,71,74,74,73,74,72,72,72,72,75,71,71,75,73,73
Madison Satellite Facility,75,75,74,74,74,75,75,75,73,74,74,74,75,75,75,74,74,73,73,73,74,74,75,75,75,75,75,75,75,73,75,75,73,73
Noxubee Satellite Facility,75,70,70,70,70,72,72,74,74,74,74,74,73,73,75,73,73,68,68,68,71,71,73,73,73,73,73,73,75,72,72,72,64,64
Pike Satellite Facility,75,62,61,61,61,62,60,60,59,60,59,59,58,58,75,61,61,58,58,58,60,62,62,61,60,60,60,60,75,60,61,61,58,58
Quitman Satellite Facility,75,57,56,56,56,56,56,55,56,59,59,58,57,57,75,56,56,52,52,52,55,55,54,54,54,54,54,54,75,54,52,64,59,59
Rankin Satellite Facility,150,147,145,145,145,147,145,148,148,146,146,146,147,146,150,144,144,140,140,140,144,144,144,147,147,147,147,147,150,147,147,147,142,142
Simpson Satellite Facility,75,72,70,70,70,72,70,69,72,69,69,69,73,73,75,72,73,64,64,64,73,74,74,74,74,74,74,74,75,73,73,73,69,69
Washington Satellite Facility,75,74,74,74,74,74,75,75,75,74,74,74,75,75,75,75,75,69,69,69,75,75,75,74,74,73,73,73,75,73,73,72,66,66
Wilkinson Satellite Facility,75,73,70,70,70,72,72,73,73,71,71,71,73,73,75,72,72,67,67,68,72,72,72,72,72,72,72,72,75,74,74,74,71,71
Yazoo Satellite Facility,75,75,74,74,74,75,75,74,74,71,71,71,71,74,75,75,75,69,69,69,75,74,75,75,75,75,75,75,75,75,75,74,69,69
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,585","2,577","2,575","2,574","2,573","2,568","2,573","2,574","2,578","2,576","2,576","2,565","2,565","2,750","2,572","2,579","2,581","2,581","2,581","2,577","2,581","2,584","2,583","2,585","2,582","2,579","2,577","2,750","2,577","2,574","2,577","2,583","2,583"
Bolivar County,250,235,235,235,235,234,234,233,233,235,235,235,235,235,250,233,236,234,234,234,233,232,234,234,235,235,235,235,250,235,234,233,235,235
Carroll County,250,235,235,235,234,234,234,233,232,235,236,236,235,234,250,234,233,235,235,235,235,235,235,235,235,235,235,235,250,235,235,235,236,236
George County (opened on May 10th),250,234,234,233,233,233,231,234,234,233,233,233,231,232,250,233,234,237,237,237,236,236,237,237,237,237,235,235,250,235,234,234,234,234
Holmes County,250,235,234,233,233,232,234,234,234,235,234,234,233,233,250,235,235,235,235,235,234,233,236,235,235,234,234,234,250,235,235,235,235,235
Issaquena County,250,238,234,234,234,234,229,230,233,232,232,232,231,236,250,235,235,235,235,235,234,234,235,235,236,235,235,234,250,234,234,236,235,235
Jefferson County,250,235,235,235,235,235,234,234,233,233,233,233,228,229,250,229,235,235,235,235,235,235,234,234,234,234,234,234,250,234,234,234,235,235
Kemper County,250,234,234,234,234,235,235,235,235,235,235,235,235,235,250,235,235,235,235,235,235,235,235,235,235,235,234,234,250,236,235,236,236,236
Leake County,250,235,234,234,234,236,236,236,236,236,235,235,234,233,250,236,235,234,234,234,234,235,234,234,234,234,234,234,250,234,234,234,235,235
Marion County,250,234,232,232,232,231,234,234,234,234,233,233,233,230,250,234,233,233,233,233,232,234,234,235,234,234,234,233,250,232,230,234,234,234
Stone County,250,235,235,235,235,234,232,235,235,235,235,235,235,234,250,234,234,234,234,234,235,236,235,235,236,235,235,235,250,233,235,234,234,234
Winston County,250,235,235,235,235,235,235,235,235,235,235,235,235,234,250,234,234,234,234,234,234,236,235,234,234,234,234,234,250,234,234,232,234,234
PRIVATE PRISONS,"3,750","3,379","3,378","3,377","3,377","3,379","3,385","3,384","3,379","3,390","3,390","3,389","3,384","3,383","3,750","3,380","3,380","3,375","3,372","3,371","3,375","3,372","3,371","3,376","3,386","3,385","3,383","3,382","3,750","3,376","3,374","3,360","3,376","3,376"
East MS,"1,000",682,681,681,681,681,683,682,682,684,684,683,680,679,"1,000",677,677,677,675,674,679,678,678,683,682,682,682,681,"1,000",681,680,683,683,683
Marshall County,"1,000",992,992,992,992,990,996,996,991,995,995,995,994,993,"1,000",993,992,988,988,988,988,987,986,986,993,992,990,990,"1,000",986,985,969,983,983
Walnut Grove,750,714,715,714,714,714,713,713,713,717,717,717,717,716,750,716,717,716,716,716,715,714,714,715,717,717,717,717,750,716,716,716,716,716
Wilkinson County,"1,000",991,990,990,990,994,993,993,993,994,994,994,993,995,"1,000",994,994,994,993,993,993,993,993,992,994,994,994,994,"1,000",993,993,992,994,994
RESITITUTION CENTERS,24,12,12,12,12,11,12,18,18,18,18,18,18,18,24,18,18,16,16,16,18,18,18,18,18,18,18,18,24,18,18,18,18,18
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,4,4,4,4,3,4,10,10,10,10,10,10,10,12,10,10,9,9,9,10,10,10,10,10,10,10,10,12,10,10,10,10,10
Pascagoula,6,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
E-CODE,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,4,4,6,79,77
TOTALS,"21,228","20,323","20,289","20,283","20,275","20,294","20,300","20,311","20,298","20,256","20,246","20,238","20,257","20,281","21,228","20,281","20,278","20,182","20,179","20,177","20,263","20,290","20,309","20,348","20,372","20,365","20,358","20,355","21,228","20,361","20,385","20,402","20,388","20,386"
