Location,Capacity_x_x,1-Oct-09,2-Oct-09,3-Oct-09,4-Oct-09,5-Oct-09,6-Oct-09,7-Oct-09,8-Oct-09,9-Oct-09,Capacity_y_x,10-Oct-09,11-Oct-09,12-Oct-09,13-Oct-09,14-Oct-09,15-Oct-09,16-Oct-09,17-Oct-09,18-Oct-09,Capacity_x_y,19-Oct-09,20-Oct-09,21-Oct-09,22-Oct-09,23-Oct-09,24-Oct-09,25-Oct-09,26-Oct-09,27-Oct-09,Capacity_y_y,28-Oct-09,29-Oct-09,30-Oct-09,31-Oct-09,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,435","3,935","3,939","3,937","3,936","3,934","3,934","3,939","3,942","3,943","4,435","3,942","3,941","3,943","3,947","3,937","3,937","3,938","3,936","3,935","4,435","3,926","3,944","3,945","3,935","3,937","3,937","3,933","3,940","3,933","4,435","3,937","3,940","3,932","3,931",,"3,938"
Central Mississippi Correctional Facility,"3,665","3,307","3,266","3,265","3,264","3,279","3,289","3,292","3,318","3,273","3,665","3,274","3,274","3,274","3,244","3,256","3,226","3,204","3,207","3,207","3,665","3,198","3,202","3,242","3,219","3,206","3,205","3,204","3,181","3,179","3,665","3,178","3,166","3,173","3,170",,"3,234"
South Mississippi Correctional Institution,"3,204","2,715","2,728","2,725","2,725","2,727","2,731","2,738","2,735","2,722","3,204","2,717","2,716","2,709","2,724","2,712","2,721","2,722","2,722","2,720","3,204","2,724","2,725","2,723","2,731","2,714","2,713","2,712","2,709","2,723","3,204","2,724","2,728","2,718","2,718",,"2,722"
County Jails,"1,487","1,558","1,580","1,580","1,580","1,596","1,612","1,621","1,598","1,606","1,487","1,606","1,606","1,609","1,598","1,611","1,591","1,569","1,569","1,569","1,487","1,550","1,530","1,508","1,509","1,517","1,517","1,517","1,514","1,499","1,487","1,484","1,486","1,502","1,502",,"1,558"
COMMUNITY WORK CENTERS,"1,848","1,484","1,456","1,454","1,454","1,502","1,496","1,475","1,474","1,464","1,848","1,463","1,462","1,504","1,510","1,528","1,511","1,505","1,504","1,504","1,848","1,550","1,558","1,563","1,572","1,567","1,566","1,562","1,583","1,592","1,848","1,607","1,609","1,593","1,594",,"1,525"
Alcorn Satellite Facility,92,61,56,56,56,61,61,61,61,59,92,59,59,61,61,61,59,61,61,61,92,61,60,60,59,60,60,60,60,60,92,60,60,69,69,,60
Bolivar Satellite Facility,102,73,72,72,72,73,72,73,73,68,102,68,68,73,76,74,72,70,70,70,102,72,70,69,76,72,72,71,73,73,102,72,72,78,78,,72
Forrest Satellite Facility,96,70,67,67,67,73,73,73,75,73,96,73,73,74,74,74,75,75,75,75,96,76,75,74,69,74,74,74,72,71,96,78,78,79,79,,74
George Satellite Facility,102,81,88,87,87,87,86,84,84,84,102,84,84,85,85,91,89,87,87,87,102,93,93,97,98,98,98,98,97,97,102,97,97,96,96,,90
Harrison Satellite Facility,102,76,74,74,74,76,73,71,69,68,102,68,68,68,66,66,65,73,73,73,102,74,78,78,78,82,82,81,80,80,102,79,79,85,85,,75
Jackson Satellite Facility,102,83,80,80,80,82,81,80,79,79,102,78,78,78,78,82,82,81,81,81,102,81,81,80,78,76,76,76,78,79,102,87,87,86,86,,80
Jefferson Satellite Facility,102,79,75,75,75,79,79,79,79,76,102,76,76,82,82,81,80,79,79,79,102,85,84,86,85,91,91,91,101,101,102,101,102,97,97,,85
Leflore Satellite Facility,102,63,54,54,54,60,60,59,59,58,102,58,58,59,70,69,68,67,67,67,102,68,67,66,70,69,69,69,70,69,102,69,68,66,66,,64
Madison Satellite Facility,102,80,92,92,92,93,92,91,91,87,102,86,86,90,89,89,85,91,91,91,102,91,91,90,98,94,94,94,95,102,102,102,102,99,99,,92
Noxubee Satellite Facility,92,73,72,72,72,74,74,73,73,80,92,78,78,83,83,86,83,80,80,80,92,83,91,91,91,90,90,90,91,91,92,91,92,89,89,,83
Pike Satellite Facility,93,87,85,85,85,90,87,85,87,83,93,86,86,86,84,84,86,87,86,86,93,87,87,90,90,80,79,79,76,75,93,75,72,70,70,,83
Quitman Satellite Facility,93,88,85,85,85,89,89,89,89,89,93,89,89,89,73,73,74,74,74,74,93,76,76,77,77,76,76,76,77,76,93,79,81,75,75,,80
Rankin Satellite Facility,260,233,233,233,233,234,234,230,228,233,260,233,233,235,235,237,241,236,236,236,260,249,249,250,250,247,247,246,246,250,260,251,251,244,245,,240
Simpson Satellite Facility,102,92,91,91,91,92,93,89,89,85,102,85,85,92,94,98,93,92,92,92,102,96,96,96,96,95,95,95,100,100,102,100,102,99,99,,94
Washington Satellite Facility,102,71,65,65,65,70,69,68,68,67,102,67,66,68,77,77,74,71,71,71,102,74,74,74,73,75,75,74,73,73,102,71,69,68,68,,71
Wilkinson Satellite Facility,102,84,81,81,81,83,86,84,84,89,102,89,89,90,90,94,93,89,89,89,102,93,94,92,91,93,93,93,95,96,102,94,96,102,102,,90
Yazoo Satellite Facility,102,90,86,85,85,86,87,86,86,86,102,86,86,91,93,92,92,92,92,92,102,91,92,93,93,95,95,95,99,99,102,101,101,91,91,,91
REGIONAL CORRECTIONAL FACILITIES,"3,163","3,005","3,005","3,000","2,998","3,003","3,003","3,004","3,008","3,012","3,163","3,007","3,004","3,007","3,006","3,006","3,002","3,003","3,002","3,001","3,163","3,000","3,005","3,001","3,007","3,004","3,003","3,000","3,005","3,008","3,163","3,004","3,000","3,000","3,000",,"3,004"
Bolivar County,294,280,280,279,279,280,280,280,281,280,294,280,280,280,280,280,279,280,279,279,294,280,280,280,280,280,280,279,279,280,294,280,277,280,280,,280
Carroll County,280,265,265,264,264,264,264,266,266,265,280,265,264,264,263,264,265,265,265,265,280,265,266,266,265,265,265,265,266,266,280,264,264,263,263,,265
George County,280,263,262,262,262,264,265,265,265,266,280,266,266,266,266,266,265,263,263,262,280,261,265,266,266,264,264,264,263,265,280,266,266,264,264,,264
Holmes County,280,266,267,266,266,266,266,266,266,265,280,264,264,265,265,266,266,266,266,266,280,265,265,266,266,266,266,266,266,266,280,266,266,265,265,,266
Issaquena County,274,260,260,260,260,260,259,260,260,261,274,261,260,261,260,260,261,259,259,259,274,260,260,260,260,260,259,259,260,260,274,259,260,260,260,,260
Jefferson County,280,266,266,266,266,266,265,266,266,266,280,266,266,266,266,264,264,266,266,266,280,266,266,263,266,267,267,266,266,266,280,265,265,266,266,,266
Kemper County,355,341,341,341,341,341,341,340,341,341,355,338,338,341,341,341,341,341,341,341,355,340,340,338,341,341,341,341,341,341,355,341,341,341,341,,341
Leake County,280,267,267,267,267,267,267,266,265,267,280,266,266,266,266,266,265,266,266,266,280,265,265,266,266,265,265,265,264,263,280,265,265,265,265,,266
Marion County,280,265,266,266,266,266,266,266,266,266,280,266,265,264,265,267,267,267,267,267,280,266,266,265,267,267,267,267,266,266,280,265,267,267,267,,266
Stone County,280,266,266,265,263,264,264,266,266,266,280,266,266,266,266,266,266,266,266,266,280,266,266,266,265,265,265,264,265,266,280,266,265,263,263,,265
Winston County,280,266,265,264,264,265,266,263,266,269,280,269,269,268,268,266,263,264,264,264,280,266,266,265,265,264,264,264,269,269,280,267,264,266,266,,266
PRIVATE PRISONS,"5,972","5,555","5,554","5,551","5,550","5,545","5,547","5,543","5,539","5,556","5,972","5,553","5,549","5,545","5,555","5,552","5,546","5,545","5,545","5,543","5,972","5,542","5,543","5,534","5,558","5,557","5,555","5,553","5,549","5,547","5,972","5,540","5,531","5,527","5,526",,"5,546"
Delta,972,957,958,956,956,955,957,957,957,957,972,956,956,955,954,954,956,956,956,956,972,958,958,955,954,955,954,954,955,955,972,956,954,953,953,,956
East Mississippi,"1,500","1,359","1,358","1,358","1,358","1,358","1,362","1,359","1,356","1,358","1,500","1,358","1,358","1,357","1,357","1,357","1,365","1,366","1,366","1,366","1,500","1,361","1,362","1,362","1,361","1,361","1,360","1,360","1,360","1,360","1,500","1,363","1,362","1,359","1,359",,"1,360"
Marshall County,"1,000",983,983,982,982,979,978,983,982,983,"1,000",983,983,982,982,982,979,983,983,983,"1,000",983,983,983,981,981,981,981,979,983,"1,000",981,983,983,983,,982
Walnut Grove,"1,500","1,279","1,279","1,279","1,278","1,279","1,277","1,270","1,267","1,283","1,500","1,283","1,280","1,278","1,290","1,286","1,274","1,270","1,270","1,268","1,500","1,266","1,265","1,260","1,287","1,285","1,285","1,284","1,280","1,275","1,500","1,269","1,260","1,259","1,258",,"1,275"
Wilkinson County,"1,000",977,976,976,976,974,973,974,977,975,"1,000",973,972,973,972,973,972,970,970,970,"1,000",974,975,974,975,975,975,974,975,974,"1,000",971,972,973,973,,974
RESTITUTION CENTERS,16,10,9,9,9,10,10,10,10,12,16,11,11,11,11,11,11,11,11,11,16,11,11,11,11,10,10,10,10,10,16,10,10,10,10,,10
Greenwood,6,5,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
Hinds,6,3,3,3,3,3,3,3,3,4,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,2,2,2,2,2,6,2,2,2,2,,3
Pascagoula,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,,2
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,,5
E-CODE,0,8,56,56,56,9,9,11,11,32,0,32,30,10,11,14,13,40,39,40,0,12,12,11,11,35,35,35,12,11,0,13,10,49,47,,25
TOTALS,"23,796","21,583","21,599","21,583","21,578","21,611","21,637","21,639","21,641","21,626","23,796","21,611","21,599","21,618","21,612","21,632","21,563","21,542","21,540","21,535","23,796","21,518","21,535","21,543","21,558","21,552","21,546","21,531","21,508","21,507","23,796","21,502","21,485","21,509","21,503",,"21,566"
