Location,Capacity_x,1-Mar-05,2-Mar-05,3-Mar-05,4-Mar-05,5-Mar-05,6-Mar-05,7-Mar-05,8-Mar-05,9-Mar-05,10-Mar-05,11-Mar-05,12-Mar-05,13-Mar-05,Capacity_y,14-Mar-05,15-Mar-05,16-Mar-05,17-Mar-05,18-Mar-05,19-Mar-05,20-Mar-05,21-Mar-05,22-Mar-05,23-Mar-05,24-Mar-05,25-Mar-05,26-Mar-05,Capacity,27-Mar-05,28-Mar-05,29-Mar-05,30-Mar-05,31-Mar-05
Mississippi State Penitentiary,"4,744","4,427","4,436","4,451","4,428","4,421","4,420","4,416","4,454","4,463","4,472","4,478","4,475","4,472","4,744","4,466","4,487","4,468","4,494","4,485","4,481","4,480","4,475","4,505","4,535","4,559","4,548","4,537","4,744","4,534",0,0,0,0
Central Mississippi Correctional Facility,"3,233","3,111","3,135","3,138","3,136","3,134","3,132","3,164","3,142","3,134","3,145","3,103","3,100","3,098","3,233","3,091","3,086","3,103","3,110","3,097","3,092","3,094","3,104","3,090","3,075","3,085","3,083","3,073","3,233","3,069",0,0,0,0
South Mississippi Correctional Institution,"2,214","2,127","2,123","2,106","2,111","2,109","2,109","2,105","2,105","2,113","2,111","2,127","2,125","2,117","2,214","2,130","2,133","2,158","2,157","2,166","2,166","2,166","2,168","2,171","2,164","2,164","2,179","2,174","2,214","2,173",0,0,0,0
County Jails,"2,327","1,810","1,821","1,851","1,838","1,838","1,838","1,830","1,833","1,856","1,869","1,858","1,858","1,858","2,327","1,868","1,828","1,795","1,764","1,756","1,756","1,756","1,750","1,746","1,754","1,750","1,751","1,751","2,327","1,751",0,0,0,0
COMMUNITY WORK CENTERS,"1,816","1,713","1,701","1,706","1,674","1,672","1,670","1,722","1,726","1,724","1,729","1,712","1,713","1,711","1,816","1,742","1,726","1,727","1,733","1,686","1,684","1,683","1,744","1,746","1,752","1,754","1,724","1,713","1,816","1,711",0,0,0,0
Alcorn Satellite Facility,92,90,91,91,83,83,83,92,92,91,91,88,88,88,92,92,92,91,91,85,85,84,90,92,92,92,91,90,92,90,0,0,0,0
Bolivar Satellite Facility,102,102,102,102,97,97,96,99,99,100,101,97,97,97,102,102,97,99,99,93,93,93,95,95,95,98,94,94,102,94,0,0,0,0
Forrest Satellite Facility,96,96,95,96,93,93,93,96,95,92,92,89,90,90,96,94,92,94,96,96,96,96,96,95,95,95,87,85,96,85,0,0,0,0
George Satellite Facility,102,97,96,97,97,96,96,100,99,94,92,92,92,92,102,93,93,93,91,88,88,88,91,91,96,97,95,93,102,93,0,0,0,0
Harrison Satellite Facility,102,102,99,99,100,100,100,100,100,101,102,101,101,101,102,98,98,98,98,94,94,94,98,98,98,98,96,96,102,96,0,0,0,0
Jackson Satellite Facility,102,95,95,102,100,100,100,102,102,94,94,98,98,98,102,99,97,96,95,94,94,94,96,96,101,101,99,99,102,99,0,0,0,0
Jefferson Satellite Facility,102,102,97,96,96,96,96,88,93,94,98,96,96,96,102,98,98,98,98,101,101,101,101,101,101,101,99,99,102,99,0,0,0,0
Leflore Satellite Facility,102,102,102,100,98,98,98,101,101,101,101,98,98,98,102,100,97,99,99,95,94,94,100,100,100,98,98,98,102,98,0,0,0,0
Madison Satellite Facility,102,101,100,100,102,102,102,101,101,101,101,99,99,98,102,98,100,102,102,99,99,99,101,102,102,102,101,101,102,100,0,0,0,0
Noxubee Satellite Facility,92,92,90,90,83,83,83,89,90,89,90,87,87,87,92,90,90,91,91,85,85,85,91,90,90,90,89,89,92,89,0,0,0,0
Pike Satellite Facility,93,61,61,59,63,63,63,79,79,90,90,90,90,90,93,89,90,89,89,90,90,90,92,87,86,86,83,81,93,81,0,0,0,0
Quitman Satellite Facility,93,75,76,76,75,75,75,83,84,84,89,87,87,87,93,90,89,88,89,82,81,81,85,85,85,86,86,84,93,84,0,0,0,0
Rankin Satellite Facility,228,195,195,198,195,195,194,197,197,200,200,197,197,196,228,200,199,199,200,210,210,210,214,215,214,215,213,212,228,212,0,0,0,0
Simpson Satellite Facility,102,101,101,102,99,98,98,95,95,95,95,100,100,100,102,102,99,99,102,94,94,94,102,101,101,100,98,98,102,98,0,0,0,0
Washington Satellite Facility,102,101,100,97,97,97,97,101,101,100,99,97,97,97,102,100,98,94,94,93,93,93,102,102,101,100,98,97,102,97,0,0,0,0
Wilkinson Satellite Facility,102,100,100,100,97,97,97,98,100,100,96,100,100,100,102,99,99,99,99,94,94,94,96,96,94,94,97,97,102,97,0,0,0,0
Yazoo Satellite Facility,102,101,101,101,99,99,99,101,98,98,98,96,96,96,102,98,98,98,100,93,93,93,94,100,101,101,100,100,102,99,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,745","2,741","2,736","2,730","2,727","2,727","2,736","2,737","2,735","2,731","2,747","2,741","2,739","2,750","2,744","2,742","2,744","2,744","2,744","2,741","2,739","2,744","2,748","2,745","2,741","2,743","2,743","2,750","2,738",0,0,0,0
Bolivar County,250,250,250,249,250,250,250,250,250,248,249,250,250,249,250,249,248,248,249,249,249,249,249,250,249,248,250,250,250,250,0,0,0,0
Carroll County,250,249,249,249,250,250,250,250,250,250,250,250,248,248,250,251,250,250,250,250,250,249,250,250,250,250,250,250,250,250,0,0,0,0
George County,250,249,246,248,248,248,248,248,247,246,246,250,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0
Holmes County,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,249,249,249,250,249,248,248,249,249,250,250,250,250,250,249,0,0,0,0
Issaquena County,250,248,246,245,242,243,243,243,243,243,240,249,249,248,250,248,249,249,248,249,249,249,250,250,247,247,247,247,250,245,0,0,0,0
Jefferson County,250,250,250,248,246,245,245,247,249,248,249,250,249,249,250,249,247,248,250,249,249,249,249,250,250,250,249,249,250,247,0,0,0,0
Kemper County,250,250,250,250,247,245,245,248,249,250,249,249,249,249,250,250,250,250,249,249,249,248,250,250,250,248,249,249,250,249,0,0,0,0
Leake County,250,250,250,250,250,249,249,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0
Marion County,250,250,250,250,250,250,250,250,250,250,249,250,249,249,250,250,249,250,249,250,249,249,248,249,250,250,250,250,250,250,0,0,0,0
Stone County,250,249,250,250,250,250,250,250,249,250,249,250,250,250,250,250,250,250,250,250,249,249,249,250,250,250,250,250,250,250,0,0,0,0
