Location,Capacity_x,1-Jun-02,2-Jun-02,3-Jun-02,4-Jun-02,5-Jun-02,6-Jun-02,7-Jun-02,8-Jun-02,9-Jun-02,10-Jun-02,Capacity_y,11-Jun-02,12-Jun-02,13-Jun-02,14-Jun-02,15-Jun-02,16-Jun-02,17-Jun-02,18-Jun-02,19-Jun-02,20-Jun-02,Capacity,21-Jun-02,22-Jun-02,23-Jun-02,24-Jun-02,25-Jun-02,26-Jun-02,27-Jun-02,28-Jun-02,29-Jun-02,30-Jun-02
MS STATE PENITENTIARY,"5,551","5,324","5,322","5,320","5,336","5,330","5,362","5,354","5,353","5,350","5,349","5,551","5,375","5,370","5,375","5,362","5,360","5,361","5,346","5,377","5,371","5,386","5,551","5,382","5,380","5,380","5,367","5,379","5,373","5,378","5,371","5,371","5,371"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","2,961","2,962","2,979","2,980","2,991","3,009","2,991","2,989","2,987","2,983","3,049","2,972","2,969","2,959","2,956","2,954","2,954","2,980","2,978","2,978","2,992","3,049","2,992","2,997","2,997","2,993","3,017","3,018","3,048","3,075","3,075","3,077"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,047","2,044","2,063","2,058","2,074","2,062","2,079","2,078","2,076","2,069","2,214","2,058","2,064","2,062","2,044","2,044","2,044","2,026","2,023","2,039","2,027","2,214","2,042","2,041","2,039","2,029","2,026","2,048","2,050","2,034","2,032","2,031"
COUNTY JAILS,"2,135","1,749","1,749","1,742","1,731","1,729","1,644","1,737","1,738","1,737","1,765","2,135","1,771","1,790","1,823","1,858","1,861","1,861","1,876","1,889","1,900","1,875","2,135","1,852","1,851","1,851","1,862","1,843","1,821","1,779","1,776","1,774","1,774"
COMMUNITY WORK CENTERS,"1,328","1,226","1,226","1,283","1,278","1,272","1,269","1,211","1,210","1,210","1,260","1,328","1,287","1,292","1,301","1,253","1,252","1,250","1,290","1,290","1,285","1,284","1,328","1,237","1,238","1,237","1,291","1,286","1,292","1,295","1,270","1,270","1,271"
Alcorn Satellite Facility,75,67,67,74,73,73,73,68,68,68,73,75,73,73,73,70,70,70,72,72,72,74,75,70,70,70,74,74,74,73,70,70,70
Bolivar Satellite Facility,75,70,70,72,72,71,71,69,69,69,70,75,72,72,74,73,73,73,74,75,75,75,75,75,75,75,75,75,75,75,72,72,72
Forrest Satellite Facility,75,72,72,75,75,75,75,71,71,71,75,75,75,75,75,71,71,70,74,74,74,74,75,72,72,72,74,74,73,73,69,69,69
George Satellite Facility,75,68,68,73,73,73,74,74,74,74,74,75,75,75,75,73,73,73,74,74,74,74,75,72,72,73,74,74,72,71,72,72,73
Harrison Satellite Facility,75,68,68,72,72,72,75,71,70,70,74,75,74,74,74,73,72,73,74,74,74,73,75,67,67,67,74,74,73,75,72,72,72
