Location,Capacity_x,1-Nov-03,2-Nov-03,3-Nov-03,4-Nov-03,5-Nov-03,6-Nov-03,7-Nov-03,8-Nov-03,9-Nov-03,10-Nov-03,11-Nov-03,12-Nov-03,13-Nov-03,Capacity_y,14-Nov-03,15-Nov-03,16-Nov-03,17-Nov-03,18-Nov-03,19-Nov-03,20-Nov-03,21-Nov-03,22-Nov-03,23-Nov-03,24-Nov-03,25-Nov-03,26-Nov-03,Capacity,27-Nov-03,28-Nov-03,29-Nov-03,30-Nov-03
MS STATE PENITENTIARY,"5,768","5,706","5,704","5,701","5,662","5,680","5,674","5,680","5,675","5,671","5,662","5,660","5,681","5,677","5,768","5,683","5,682","5,682","5,662","5,658","5,661","5,678","5,668","5,668","5,667","5,657","5,656","5,656","5,768","5,654","5,647","5,646","5,645"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,098","3,095","3,078","3,108","3,090","3,086","3,095","3,093","3,093","3,051","3,051","3,045","3,045","3,233","3,057","3,053","3,054","3,083","3,074","3,092","3,062","3,099","3,099","3,097","3,123","3,117","3,106","3,233","3,105","3,107","3,107","3,105"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,037","2,036","2,062","2,057","2,055","2,085","2,075","2,075","2,075","2,101","2,100","2,088","2,115","2,214","2,110","2,110","2,110","2,106","2,118","2,133","2,132","2,132","2,132","2,133","2,114","2,108","2,106","2,214","2,104","2,104","2,104","2,102"
COUNTY JAILS,"2,176","1,933","1,933","1,937","1,923","1,919","1,907","1,910","1,910","1,910","1,936","1,942","1,933","1,915","2,176","1,915","1,915","1,915","1,893","1,924","1,937","1,961","1,936","1,936","1,936","1,934","1,941","1,954","2,176","1,958","1,960","1,960","1,960"
COMMUNITY WORK CENTERS,"1,816","1,507","1,508","1,540","1,532","1,543","1,526","1,511","1,511","1,511","1,526","1,526","1,518","1,515","1,816","1,433","1,430","1,430","1,524","1,525","1,525","1,519","1,509","1,509","1,509","1,502","1,506","1,494","1,816","1,494","1,494","1,493","1,492"
Alcorn Satellite Facility,92,86,86,90,88,88,88,86,86,86,89,89,90,90,92,81,81,81,92,92,92,92,92,92,92,89,89,89,92,89,89,89,89
Bolivar Satellite Facility,102,73,73,72,72,72,72,70,70,70,71,71,71,71,102,65,65,65,71,71,70,70,69,69,69,69,69,69,102,69,69,69,69
Forrest Satellite Facility,96,88,88,88,88,96,95,95,95,95,95,95,95,95,96,87,86,86,94,95,95,94,94,94,94,93,93,93,96,93,93,93,93
George Satellite Facility,102,91,91,92,92,92,81,80,80,80,80,80,78,76,102,74,74,74,76,75,75,74,71,71,71,70,70,70,102,70,70,70,70
Harrison Satellite Facility,102,68,68,70,68,66,66,64,64,64,66,66,66,67,102,65,65,65,67,67,67,66,66,66,66,66,64,64,102,64,64,64,64
Jackson Satellite Facility,102,67,67,72,71,71,71,73,73,73,74,74,73,73,102,75,75,75,75,75,75,75,75,75,75,75,72,72,102,72,72,72,72
Jefferson Satellite Facility,102,80,80,80,80,80,80,81,81,81,79,79,79,79,102,69,69,68,78,78,78,78,78,78,78,78,78,75,102,75,75,74,74
Leflore Satellite Facility,102,91,91,93,93,92,92,91,91,91,91,91,91,90,102,84,84,84,93,93,93,93,92,92,92,93,99,99,102,99,99,99,99
Madison Satellite Facility,102,101,101,102,101,101,99,102,102,102,102,102,102,102,102,98,98,99,102,102,102,102,101,101,101,102,102,102,102,102,102,102,102
Noxubee Satellite Facility,92,85,85,89,89,92,92,92,92,92,92,92,91,91,92,85,85,85,91,91,90,88,88,88,88,90,90,90,92,90,90,90,90
Pike Satellite Facility,93,40,40,43,43,42,41,41,41,41,41,41,40,40,93,34,34,34,40,40,40,40,40,40,40,40,40,40,93,40,40,40,40
Quitman Satellite Facility,93,73,73,73,73,73,72,72,72,72,72,72,71,71,93,72,71,71,73,73,73,72,71,71,71,69,69,68,93,68,68,68,68
Rankin Satellite Facility,228,226,226,227,227,227,226,221,221,221,227,227,227,227,228,219,219,219,226,224,226,226,223,223,223,221,219,213,228,213,213,213,212
Simpson Satellite Facility,102,89,90,93,92,92,92,89,89,89,92,92,92,91,102,84,84,84,91,90,90,90,91,91,91,91,94,93,102,93,93,93,93
Washington Satellite Facility,102,88,88,91,90,90,91,89,89,89,89,89,88,88,102,84,83,83,86,85,85,85,85,85,85,84,85,85,102,85,85,85,85
Wilkinson Satellite Facility,102,66,66,69,69,69,69,67,67,67,69,69,69,69,102,65,65,65,74,73,73,73,72,72,72,72,72,72,102,72,72,72,72
Yazoo Satellite Facility,102,95,95,96,96,100,99,98,98,98,97,97,95,95,102,92,92,92,95,101,101,101,101,101,101,100,101,100,102,100,100,100,100
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,739","2,738","2,738","2,736","2,735","2,737","2,743","2,744","2,742","2,742","2,742","2,737","2,746","2,750","2,745","2,744","2,744","2,741","2,737","2,734","2,745","2,746","2,743","2,743","2,744","2,740","2,747","2,750","2,746","2,746","2,746","2,745"
Bolivar County,250,249,249,249,248,248,247,249,250,250,249,249,247,248,250,246,246,247,248,247,246,249,250,250,250,249,249,250,250,250,250,250,250
Carroll County,250,249,249,248,248,248,248,250,250,250,250,250,249,250,250,250,250,250,248,248,248,250,250,250,250,250,247,249,250,249,249,249,249
George County (opened on May 10th),250,246,246,246,249,250,250,249,249,248,248,249,249,250,250,250,250,250,250,248,249,250,250,250,250,249,249,249,250,248,248,248,248
Holmes County,250,250,250,250,250,250,250,251,251,250,250,250,250,250,250,250,250,250,250,250,248,250,250,248,248,248,250,250,250,250,250,250,250
Issaquena County,250,245,245,250,248,245,249,249,249,249,250,250,249,248,250,250,250,249,249,248,247,248,250,250,250,249,249,249,250,249,249,249,248
Jefferson County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,250,250,250,250,249,248,250,250,250,250,250,250
Kemper County,250,250,250,247,246,249,248,250,250,250,249,248,247,250,250,250,249,249,249,249,249,250,250,250,250,250,249,250,250,250,250,250,250
Leake County,250,250,250,250,250,249,249,249,249,249,250,250,250,250,250,250,250,250,249,249,249,250,249,249,249,249,250,250,250,250,250,250,250
Marion County,250,250,249,248,247,247,250,249,249,249,249,249,249,250,250,250,250,250,250,250,250,249,250,249,249,252,250,250,250,250,250,250,250
Stone County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,249,249,249,249,249,248,248,248,250,250,250,250,250,250,250,250
Winston County,250,250,250,250,250,249,246,247,247,247,247,247,247,250,250,250,250,250,250,250,250,250,249,249,249,249,249,250,250,250,250,250,250
PRIVATE PRISONS,"3,750","3,411","3,411","3,409","3,448","3,446","3,442","3,438","3,438","3,437","3,445","3,443","3,439","3,437","3,750","3,442","3,442","3,441","3,437","3,436","3,435","3,436","3,435","3,434","3,434","3,434","3,439","3,436","3,750","3,436","3,434","3,432","3,432"
East MS,"1,000",725,725,724,724,722,721,721,721,720,722,720,719,718,"1,000",718,718,718,717,716,716,716,716,715,715,714,729,728,"1,000",728,728,728,728
Marshall County,"1,000",991,991,991,991,991,996,996,996,996,994,994,993,992,"1,000",990,990,990,990,990,994,992,992,992,992,989,988,992,"1,000",992,991,991,991
Walnut Grove,750,741,741,740,741,742,735,731,731,731,740,740,740,740,750,740,740,740,738,738,733,737,737,737,737,737,728,725,750,725,725,724,724
Wilkinson County,"1,000",954,954,954,992,991,990,990,990,990,989,989,987,987,"1,000",994,994,993,992,992,992,991,990,990,990,994,994,991,"1,000",991,990,989,989
RESITITUTION CENTERS,24,16,16,16,16,16,16,13,13,13,16,16,16,16,24,15,15,15,16,16,16,16,16,16,16,16,16,16,24,16,16,16,16
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,7,7,7,7,7,7,4,4,4,7,7,7,7,12,6,6,6,7,7,7,7,7,7,7,7,7,7,12,7,7,7,7
Pascagoula,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
E-CODE,,40,40,3,3,2,3,23,23,23,4,6,7,6,,92,95,92,8,8,7,8,5,5,3,5,7,6,,7,3,2,3
TOTALS,"21,737","20,493","20,487","20,490","20,491","20,492","20,482","20,494","20,488","20,481","20,489","20,492","20,470","20,478","21,737","20,498","20,492","20,489","20,476","20,502","20,546","20,563","20,552","20,548","20,544","20,535","20,536","20,527","21,737","20,526","20,517","20,512","20,506"
