Location,Capacity_x_x,1-Feb-15,2-Feb-15,3-Feb-15,4-Feb-15,5-Feb-15,6-Feb-15,7-Feb-15,8-Feb-15,9-Feb-15,Capacity_y_x,10-Feb-15,11-Feb-15,12-Feb-15,13-Feb-15,14-Feb-15,15-Feb-15,16-Feb-15,17-Feb-15,18-Feb-15,Capacity_x_y,19-Feb-15,20-Feb-15,21-Feb-15,22-Feb-15,23-Feb-15,24-Feb-15,25-Feb-15,26-Feb-15,27-Feb-15,Capacity_y_y,28-Feb-15,Avg Population
Holmes County,280,252,252,258,265,264,263,263,263,263,280,261,261,261,259,259,259,259,269,269,280,271,269,269,269,270,270,269,266,266,280,266,264
Issaquena County,274,254,254,254,264,265,266,266,266,266,274,266,266,261,259,259,259,259,259,259,274,258,257,257,257,259,259,259,259,258,274,258,260
Jefferson County,280,251,251,248,247,257,257,256,255,252,280,258,259,259,258,258,258,258,257,258,280,257,256,255,255,255,261,265,265,262,280,262,257
Kemper County,355,319,319,326,338,338,337,336,336,336,355,335,335,329,328,328,328,328,329,336,355,337,337,337,337,337,336,333,332,334,355,334,333
Leake County,280,241,241,246,263,262,253,253,253,254,280,260,262,262,262,262,261,261,259,258,280,259,259,258,258,260,259,258,260,260,280,259,257
Marion County,280,274,274,275,275,274,274,274,274,272,280,272,273,273,272,272,272,272,273,273,280,271,269,267,266,266,268,269,268,269,280,269,271
Stone County,280,266,266,266,266,266,269,269,269,279,280,278,278,278,277,277,277,277,277,277,280,280,280,280,280,281,281,279,279,278,280,277,275
Washington County,300,265,265,264,262,262,260,260,260,260,300,260,259,259,247,256,256,256,261,261,300,261,261,261,261,258,256,255,253,252,300,252,259
Winston County,280,263,263,259,271,263,265,265,265,259,280,259,265,265,265,265,265,265,267,267,280,266,266,266,265,261,261,261,259,257,280,257,263
Yazoo County,300,279,279,279,288,289,289,289,289,290,300,287,283,282,281,281,281,281,279,279,300,241,288,288,288,289,289,290,291,290,300,290,284
PRIVATE PRISONS,"5,972","4,208","4,208","4,210","4,086","4,024","4,026","4,024","4,024","4,019","5,972","4,016","4,014","4,015","4,010","4,008","4,005","4,004","4,009","4,001","5,972","3,999","3,979","3,979","3,978","3,971","3,966","3,963","3,954","3,953","5,972","3,951","4,022"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0
East Mississippi,"1,500","1,180","1,180","1,180","1,182","1,181","1,180","1,178","1,178","1,176","1,500","1,177","1,176","1,176","1,172","1,172","1,172","1,172","1,173","1,170","1,500","1,174","1,175","1,175","1,175","1,175","1,175","1,178","1,178","1,179","1,500","1,178","1,176"
Marshall County,"1,000",996,996,995,996,996,996,996,996,996,"1,000",995,995,997,997,995,993,993,994,993,"1,000",996,996,996,996,995,994,994,994,994,"1,000",994,995
Walnut Grove,"1,500","1,142","1,142","1,146","1,018",958,961,961,961,960,"1,500",957,956,955,954,954,954,954,960,957,"1,500",949,931,931,930,924,922,918,910,893,"1,500",893,966
Wilkinson County,"1,000",890,890,889,890,889,889,889,889,887,"1,000",887,887,887,887,887,886,885,882,881,"1,000",880,877,877,877,877,875,873,872,887,"1,000",886,884
RESTITUTION CENTERS,16,9,9,7,7,7,6,6,6,7,16,6,6,6,5,5,5,6,6,6,16,6,5,5,5,6,5,5,5,5,16,5,6
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,4,4,3,3,3,4,4,4,6,4,3,3,3,4,3,3,3,3,6,3,4
Hinds,6,3,3,2,2,2,1,1,1,2,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1
Pascagoula,4,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1
TOTALS,"25,726","18,932","18,932","18,998","19,020","19,009","19,014","19,003","18,996","19,005","25,726","19,023","19,029","19,025","18,978","18,970","18,967","18,994","18,972","18,990","25,726","18,988","18,970","18,964","18,948","18,925","18,915","18,926","18,855","18,926","25,726","18,914","18,971"
