Location,Capacity_x,1-Nov-02,2-Nov-02,3-Nov-02,4-Nov-02,5-Nov-02,6-Nov-02,7-Nov-02,8-Nov-02,9-Nov-02,10-Nov-02,Capacity_y,11-Nov-02,12-Nov-02,13-Nov-02,14-Nov-02,15-Nov-02,16-Nov-02,17-Nov-02,18-Nov-02,19-Nov-02,20-Nov-02,Capacity,21-Nov-02,22-Nov-02,23-Nov-02,24-Nov-02,25-Nov-02,26-Nov-02,27-Nov-02,28-Nov-02,29-Nov-02,30-Nov-02
MS STATE PENITENTIARY,"5,551","5,359","5,358","5,356","5,345","5,359","5,353","5,364","5,356","5,355","5,352","5,551","5,353","5,333","5,350","5,359","5,355","5,353","5,353","5,357","5,368","5,363","5,551","5,377","5,379","5,377","5,376","5,419","5,440","5,442","5,441","5,438","5,435"
CENTRAL MS CORRECTIONAL FACILITY,"3,099","3,032","3,029","3,030","3,034","3,045","3,041","3,040","3,048","3,049","3,048","3,099","3,051","3,067","3,070","3,105","3,098","3,096","3,096","3,116","3,103","3,119","3,099","3,122","3,132","3,131","3,132","3,107","3,096","3,038","3,037","3,034","3,031"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,016","2,015","2,015","2,034","2,035","2,055","2,054","2,055","2,052","2,052","2,214","2,049","2,037","2,041","2,036","2,039","2,038","2,037","2,035","2,052","2,064","2,214","2,061","2,075","2,074","2,074","2,073","2,080","2,075","2,074","2,074","2,074"
COUNTY JAILS,"2,113","1,966","1,966","1,966","1,957","1,943","1,940","1,966","1,990","1,990","1,990","2,113","1,989","2,026","2,052","2,036","2,034","2,034","2,034","2,040","2,058","2,038","2,113","2,031","2,012","2,012","2,012","2,017","2,052","2,049","2,049","2,049","2,049"
COMMUNITY WORK CENTERS,"1,350","1,243","1,242","1,242","1,288","1,283","1,274","1,274","1,261","1,260","1,260","1,350","1,286","1,288","1,286","1,285","1,268","1,264","1,264","1,303","1,296","1,293","1,350","1,286","1,269","1,269","1,269","1,271","1,269","1,249","1,249","1,247","1,247"
Alcorn Satellite Facility,75,74,74,74,74,75,74,74,72,72,72,75,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,72,72,71,71
Bolivar Satellite Facility,75,69,69,69,73,73,73,73,70,70,70,75,73,74,73,71,68,68,68,71,71,71,75,71,71,71,71,71,71,70,70,70,70
Forrest Satellite Facility,75,72,72,72,75,74,73,71,70,70,70,75,73,73,73,73,75,73,73,75,75,75,75,74,74,74,74,74,75,75,75,75,75
George Satellite Facility,75,71,71,71,74,74,74,74,74,74,74,75,74,73,73,73,73,73,73,75,74,74,75,73,72,72,72,74,74,73,73,73,73
Harrison Satellite Facility,75,70,70,70,73,73,71,71,68,68,68,75,71,71,69,69,67,67,67,72,72,72,75,72,70,70,70,69,68,68,68,68,68
Jackson Satellite Facility,75,72,72,72,73,73,72,72,72,72,72,75,72,72,72,72,69,69,69,75,72,72,75,71,70,70,70,70,69,68,68,68,68
Jefferson Satellite Facility,75,68,68,68,74,74,74,73,72,72,72,75,73,72,73,73,75,75,75,75,75,74,75,74,74,74,74,72,72,72,72,72,72
Leflore Satellite Facility,75,64,63,63,69,67,66,66,74,74,74,75,74,74,74,75,74,74,74,75,74,73,75,73,72,72,72,72,71,68,68,68,68
Madison Satellite Facility,75,66,66,66,74,74,73,75,70,70,70,75,73,74,75,75,75,75,75,75,74,75,75,75,75,75,75,74,74,75,75,74,74
Noxubee Satellite Facility,75,69,69,69,71,71,70,71,70,70,70,75,71,70,70,69,71,71,71,70,70,69,75,69,68,68,68,72,71,67,67,67,67
Pike Satellite Facility,75,68,68,68,68,67,66,64,62,61,61,75,62,62,62,62,62,60,60,64,64,64,75,63,62,62,62,61,61,61,61,61,61
Quitman Satellite Facility,75,60,60,59,59,59,59,59,56,56,56,75,57,59,59,59,56,56,56,58,58,58,75,58,51,51,51,51,51,52,52,52,52
Rankin Satellite Facility,150,130,130,130,137,136,136,137,138,138,138,150,141,141,141,144,149,149,149,148,148,148,150,146,145,145,145,144,142,140,140,140,140
Simpson Satellite Facility,75,73,73,73,74,73,73,73,73,73,73,75,74,74,74,74,70,70,70,74,74,74,75,74,74,74,74,73,72,70,70,70,70
Washington Satellite Facility,75,71,71,71,71,71,71,71,75,75,75,75,75,75,75,73,69,69,69,73,72,72,75,72,71,71,71,71,74,73,73,73,73
Wilkinson Satellite Facility,75,72,72,73,74,74,74,75,75,75,75,75,74,74,73,73,70,70,70,73,73,72,75,71,71,71,71,74,74,72,72,72,72
Yazoo Satellite Facility,75,74,74,74,75,75,75,75,70,70,70,75,75,75,75,75,70,70,70,75,75,75,75,75,74,74,74,74,75,73,73,73,73
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,493","2,493","2,492","2,491","2,497","2,496","2,492","2,491","2,491","2,491","2,750","2,488","2,493","2,485","2,489","2,494","2,493","2,491","2,489","2,485","2,484","2,750","2,486","2,489","2,489","2,489","2,483","2,482","2,479","2,479","2,479","2,479"
Bolivar County,250,227,227,227,227,227,227,227,227,227,227,250,227,227,227,227,226,226,226,225,225,225,250,225,225,225,225,225,226,226,226,226,226
Carroll County,250,229,229,229,229,229,229,229,229,229,229,250,229,229,229,229,229,229,229,229,228,228,250,228,228,228,228,228,227,226,226,226,226
George County (opened on May 10th),250,227,227,227,227,226,224,224,224,224,224,250,224,227,227,226,226,226,226,226,226,226,250,226,226,226,226,225,225,227,227,227,227
Holmes County,250,226,226,225,225,225,225,224,226,226,226,250,226,226,222,222,226,226,226,226,226,226,250,226,225,225,225,225,227,226,226,226,226
Issaquena County,250,224,224,224,224,227,227,227,227,227,227,250,226,226,224,226,226,226,225,225,225,224,250,222,223,223,223,222,221,221,221,221,221
Jefferson County,250,225,225,225,225,227,227,227,227,227,227,250,227,227,227,227,227,227,227,227,227,227,250,227,227,227,227,226,226,225,225,225,225
Kemper County,250,227,227,227,227,227,229,227,227,227,227,250,226,226,225,224,224,224,224,224,224,224,250,226,226,226,226,224,224,224,224,224,224
Leake County,250,225,225,225,225,227,227,227,226,226,226,250,225,227,228,228,227,227,226,227,227,227,250,226,226,226,226,226,226,226,226,226,226
Marion County,250,227,227,227,227,227,227,227,225,225,225,250,225,224,224,229,229,229,229,228,228,228,250,228,228,228,228,228,228,227,227,227,227
Stone County,250,228,228,228,227,227,227,227,227,227,227,250,227,227,226,225,228,227,227,227,225,226,250,228,228,228,228,227,225,225,225,225,225
Winston County,250,228,228,228,228,228,227,226,226,226,226,250,226,227,226,226,226,226,226,225,224,223,250,224,227,227,227,227,227,226,226,226,226
PRIVATE PRISONS,"4,750","3,408","3,407","3,405","3,402","3,399","3,397","3,393","3,403","3,403","3,403","4,750","3,402","3,408","3,416","3,412","3,419","3,420","3,420","3,418","3,423","3,423","4,750","3,425","3,421","3,421","3,420","3,419","3,415","3,419","3,419","3,419","3,418"
Delta (Closed),"1,000",0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0
East MS,"1,000",722,721,720,720,719,718,717,728,728,728,"1,000",728,728,728,727,726,727,727,727,727,727,"1,000",731,730,730,729,728,728,730,730,730,729
Marshall County,"1,000",991,991,991,989,987,986,986,985,985,985,"1,000",985,981,988,986,986,986,986,985,989,989,"1,000",986,986,985,985,985,986,989,989,989,989
Walnut Grove,750,713,713,713,713,713,713,711,711,711,711,750,710,708,708,708,714,714,714,713,713,714,750,715,714,714,714,714,711,711,711,711,711
Wilkinson County,"1,000",982,982,981,980,980,980,979,979,979,979,"1,000",979,991,992,991,993,993,993,993,994,993,"1,000",993,991,992,992,992,990,989,989,989,989
RESITITUTION CENTERS,24,10,10,10,11,11,11,11,10,10,10,24,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,10,10,10
Greenwood,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4
Hinds,12,6,6,6,6,6,6,6,5,5,5,12,6,6,6,6,6,6,6,6,6,6,12,6,6,6,6,6,6,6,5,5,5
Pascagoula,6,0,0,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,4,4,4,6,5,5,5,5,4,4,4,5,5,5,6,5,4,4,4,5,5,6,6,6,6
TOTALS,"21,857","19,532","19,525","19,521","19,567","19,577","19,572","19,599","19,618","19,614","19,610","21,857","19,634","19,668","19,716","19,738","19,722","19,713","19,710","19,774","19,801","19,800","21,857","19,804","19,792","19,788","19,787","19,805","19,850","19,768","19,764","19,756","19,749"
