Location,Capacity_x_x,1-Nov-09,2-Nov-09,3-Nov-09,4-Nov-09,5-Nov-09,6-Nov-09,7-Nov-09,8-Nov-09,9-Nov-09,Capacity_y_x,10-Nov-09,11-Nov-09,12-Nov-09,13-Nov-09,14-Nov-09,15-Nov-09,16-Nov-09,17-Nov-09,18-Nov-09,Capacity_x_y,19-Nov-09,20-Nov-09,21-Nov-09,22-Nov-09,23-Nov-09,24-Nov-09,25-Nov-09,26-Nov-09,27-Nov-09,Capacity_y_y,28-Nov-09,29-Nov-09,30-Nov-09,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,435","3,931","3,940","3,936","3,940","3,934","3,924","3,920","3,918","3,928","4,435","3,923","3,921","3,915","3,916","3,917","3,915","3,921","3,924","3,932","4,435","3,942","3,936","3,933","3,932","3,934","3,943","3,941","3,941","3,938","4,435","3,935","3,934","3,936",,"3,930"
Central Mississippi Correctional Facility,"3,665","3,169","3,145","3,167","3,128","3,151","3,156","3,158","3,158","3,190","3,665","3,222","3,221","3,245","3,205","3,202","3,202","3,217","3,253","3,252","3,665","3,277","3,295","3,294","3,293","3,313","3,309","3,227","3,226","3,226","3,665","3,226","3,224","3,229",,"3,219"
South Mississippi Correctional Institution,"3,204","2,714","2,727","2,720","2,711","2,717","2,732","2,731","2,731","2,733","3,204","2,739","2,737","2,728","2,698","2,699","2,698","2,700","2,702","2,710","3,204","2,705","2,704","2,706","2,706","2,707","2,706","2,711","2,708","2,708","3,204","2,708","2,707","2,752",,"2,715"
County Jails,"1,498","1,502","1,507","1,487","1,470","1,469","1,487","1,487","1,487","1,477","1,498","1,483","1,482","1,460","1,500","1,500","1,500","1,524","1,522","1,551","1,498","1,552","1,540","1,540","1,540","1,581","1,604","1,657","1,615","1,617","1,498","1,617","1,617","1,654",,"1,534"
COMMUNITY WORK CENTERS,"1,848","1,594","1,651","1,671","1,673","1,683","1,693","1,694","1,693","1,700","1,848","1,708","1,706","1,667","1,697","1,695","1,696","1,750","1,768","1,787","1,848","1,798","1,798","1,797","1,795","1,791","1,769","1,809","1,805","1,803","1,848","1,801","1,800","1,792",,"1,736"
Alcorn Satellite Facility,92,78,71,76,76,76,73,73,73,80,92,80,81,79,89,89,89,92,92,90,92,90,90,90,90,90,87,87,86,86,92,86,86,86,,84
Bolivar Satellite Facility,102,69,84,84,84,84,83,83,83,83,102,83,83,80,84,84,84,94,94,98,102,97,97,97,97,97,96,99,99,99,102,99,99,97,,90
Forrest Satellite Facility,96,79,80,84,87,88,92,92,92,92,96,93,93,92,90,90,90,95,95,95,96,95,95,95,95,95,95,95,95,94,96,94,94,93,,92
George Satellite Facility,102,96,98,100,100,100,98,98,98,97,102,98,98,100,99,99,99,100,97,102,102,98,98,98,98,102,102,101,101,101,102,101,101,101,,99
Harrison Satellite Facility,102,85,86,86,90,96,95,95,95,93,102,99,99,100,101,100,100,101,102,102,102,102,100,100,100,102,102,102,102,102,102,102,102,102,,98
Jackson Satellite Facility,102,86,87,92,92,98,96,97,97,98,102,99,98,101,99,99,99,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,101,,99
Jefferson Satellite Facility,102,97,100,100,100,101,100,100,100,101,102,101,101,95,99,99,99,94,98,102,102,102,101,101,101,100,95,102,102,102,102,102,102,102,,100
Leflore Satellite Facility,102,66,73,74,74,74,81,81,80,80,102,83,82,76,87,87,87,88,88,88,102,98,97,97,97,92,91,101,100,100,102,100,100,99,,87
Madison Satellite Facility,102,99,102,101,100,98,100,100,100,96,102,96,96,94,100,99,100,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,,100
Noxubee Satellite Facility,92,89,90,90,91,91,89,89,89,90,92,90,89,83,86,86,86,92,90,90,92,90,87,87,87,87,87,92,92,92,92,92,92,92,,89
