Location,Capacity_x,1-Aug-05,2-Aug-05,3-Aug-05,4-Aug-05,5-Aug-05,6-Aug-05,7-Aug-05,8-Aug-05,9-Aug-05,10-Aug-05,11-Aug-05,12-Aug-05,13-Aug-05,Capacity_y,14-Aug-05,15-Aug-05,16-Aug-05,17-Aug-05,18-Aug-05,19-Aug-05,20-Aug-05,21-Aug-05,22-Aug-05,23-Aug-05,24-Aug-05,25-Aug-05,26-Aug-05,Capacity,27-Aug-05,28-Aug-05,29-Aug-05,30-Aug-05,31-Aug-05
Mississippi State Penitentiary,"4,630","4,521","4,478","4,431","4,463","4,462","4,458","4,457","4,472","4,487","4,483","4,473","4,466","4,463","4,630","4,457","4,449","4,443","4,415","4,393","4,377","4,369","4,366","4,342","4,318","4,327","4,339","4,326","4,630","4,326","4,323","4,353","4,349","4,346"
Central Mississippi Correctional Facility,"3,219","3,037","3,067","3,031","3,058","3,047","3,043","3,042","3,050","3,042","3,053","3,064","3,042","3,041","3,219","3,039","3,078","3,096","3,110","3,138","3,134","3,132","3,130","3,113","3,128","3,136","3,117","3,135","3,219","3,130","3,130","3,085","3,094","3,094"
South Mississippi Correctional Institution,"2,306","2,145","2,183","2,239","2,212","2,191","2,187","2,185","2,183","2,180","2,180","2,178","2,175","2,175","2,306","2,175","2,147","2,157","2,175","2,145","2,153","2,151","2,149","2,179","2,205","2,207","2,199","2,188","2,306","2,186","2,184","2,184","2,184","2,180"
County Jails,"2,240","1,735","1,710","1,721","1,681","1,677","1,677","1,677","1,644","1,611","1,611","1,647","1,685","1,685","2,240","1,685","1,683","1,655","1,655","1,669","1,655","1,655","1,655","1,693","1,681","1,662","1,697","1,704","2,240","1,704","1,704","1,676","1,676","1,678"
COMMUNITY WORK CENTERS,"1,816","1,688","1,691","1,712","1,709","1,675","1,672","1,670","1,702","1,700","1,697","1,694","1,662","1,658","1,816","1,657","1,697","1,705","1,704","1,702","1,664","1,664","1,658","1,692","1,711","1,710","1,711","1,683","1,816","1,680","1,683","1,702","1,694","1,688"
Alcorn Satellite Facility,92,88,88,88,88,88,88,88,91,89,88,89,86,86,92,86,91,91,91,91,90,90,90,91,91,90,88,86,92,85,86,88,88,87
Bolivar Satellite Facility,102,101,101,101,101,100,100,100,102,102,101,101,96,96,102,96,100,102,101,101,101,101,101,102,102,100,100,99,102,99,99,100,100,99
Forrest Satellite Facility,96,88,88,96,95,95,95,95,95,94,94,94,88,88,96,88,89,90,91,91,88,88,85,88,89,88,88,87,96,87,87,87,87,87
George Satellite Facility,102,90,90,91,89,87,87,87,89,90,90,90,90,90,102,89,89,89,91,91,87,87,86,91,91,92,92,92,102,92,92,92,92,90
Harrison Satellite Facility,102,101,101,100,99,98,97,97,97,96,95,95,95,95,102,95,96,96,93,93,89,89,88,90,98,98,97,97,102,97,97,97,97,96
