Location,Capacity_x,1-Feb-14,2-Feb-14,3-Feb-14,4-Feb-14,5-Feb-14,6-Feb-14,7-Feb-14,8-Feb-14,9-Feb-14,Capacity_y,10-Feb-14,11-Feb-14,12-Feb-14,13-Feb-14,14-Feb-14,15-Feb-14,16-Feb-14,17-Feb-14,18-Feb-14,Capacity,19-Feb-14,20-Feb-14,21-Feb-14,22-Feb-14,23-Feb-14,24-Feb-14,25-Feb-14,26-Feb-14,27-Feb-14,28-Feb-14,Avg Population
Washington County,300,287,286,286,286,286,286,296,295,295,300,294,291,291,291,290,290,290,277,288,300,288,288,288,288,288,287,285,285,292,297,289
Winston County,280,265,265,265,265,278,278,278,278,278,280,280,282,282,279,277,277,277,277,278,280,277,277,276,276,276,278,277,278,279,275,276
Yazoo County,300,293,293,300,296,298,299,301,301,301,300,302,301,299,302,302,302,302,302,302,300,298,292,297,297,297,300,297,298,296,295,299
PRIVATE PRISONS,"5,972","4,373","4,372","4,363","4,363","4,366","4,376","4,371","4,369","4,369","5,972","4,371","4,369","4,376","4,376","4,367","4,366","4,363","4,363","4,362","5,972","4,371","4,380","4,394","4,390","4,388","4,394","4,392","4,391","4,393","4,394","4,376"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,200","1,199","1,195","1,194","1,194","1,198","1,199","1,199","1,199","1,500","1,197","1,199","1,199","1,202","1,202","1,202","1,202","1,202","1,200","1,500","1,197","1,198","1,200","1,199","1,198","1,200","1,199","1,199","1,198","1,200","1,199"
Marshall County,"1,000",999,999,998,998,997,997,"1,000","1,000","1,000","1,000","1,000",999,998,999,998,998,998,998,997,"1,000",997,997,999,999,999,999,998,996,998,998,998
Walnut Grove,"1,500","1,287","1,287","1,285","1,286","1,285","1,293","1,284","1,283","1,283","1,500","1,287","1,284","1,287","1,284","1,279","1,278","1,277","1,277","1,276","1,500","1,284","1,293","1,307","1,305","1,305","1,307","1,311","1,313","1,314","1,314","1,291"
Wilkinson County,"1,000",887,887,885,885,890,888,888,887,887,"1,000",887,887,892,891,888,888,886,886,889,"1,000",893,892,888,887,886,888,884,883,883,882,887
RESTITUTION CENTERS,16,9,9,9,8,8,8,10,10,10,16,10,10,11,11,10,10,10,10,10,16,10,12,11,11,11,11,11,11,11,12,10
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,3,3,3,3,3,3,3,4,4
Hinds,6,2,2,2,1,1,1,3,3,3,6,3,3,4,4,3,3,3,3,3,6,3,5,5,5,5,5,5,5,5,5,3
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
GOVERNOR'S MANSION    (CLOSED),6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
E-CODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"25,937","21,716","21,705","21,670","21,676","21,686","21,692","21,644","21,634","21,626","25,937","21,609","21,602","21,623","21,583","21,566","21,550","21,539","21,543","21,547","25,937","21,545","21,565","21,539","21,528","21,520","21,512","21,512","21,568","21,526","21,518","21,591"
