Location,Capacity_x,1-Apr-03,2-Apr-03,3-Apr-03,4-Apr-03,5-Apr-03,6-Apr-03,7-Apr-03,8-Apr-03,9-Apr-03,10-Apr-03,11-Apr-03,12-Apr-03,Capacity_y,13-Apr-03,14-Apr-03,15-Apr-03,16-Apr-03,17-Apr-03,18-Apr-03,19-Apr-03,20-Apr-03,21-Apr-03,22-Apr-03,23-Apr-03,Capacity,24-Apr-03,25-Apr-03,26-Apr-03,27-Apr-03,28-Apr-03,29-Apr-03,30-Apr-03
MS STATE PENITENTIARY,"5,751","5,663","5,658","5,660","5,651","5,648","5,648","5,655","5,668","5,658","5,659","5,650","5,650","5,751","5,649","5,653","5,656","5,653","5,647","5,655","5,655","5,655","5,645","5,645","5,659","5,751","5,653","5,640","5,641","5,638","5,637","5,639","5,667"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,094","3,100","3,108","3,100","3,099","3,100","3,116","3,108","3,128","3,146","3,157","3,158","3,233","3,157","3,170","3,175","3,164","3,130","3,125","3,125","3,126","3,130","3,124","3,125","3,233","3,131","3,141","3,141","3,140","3,141","3,121","3,118"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,152","2,163","2,168","2,172","2,173","2,172","2,160","2,175","2,171","2,166","2,137","2,135","2,214","2,134","2,125","2,144","2,145","2,149","2,148","2,148","2,147","2,149","2,166","2,163","2,214","2,178","2,120","2,119","2,119","2,114","2,126","2,110"
COUNTY JAILS,"2,133","2,083","2,077","2,063","2,061","2,061","2,061","2,078","2,066","2,061","2,067","2,055","2,055","2,133","2,055","2,048","2,056","2,086","2,111","2,114","2,114","2,114","2,107","2,093","2,090","2,133","2,095","2,122","2,122","2,122","2,129","2,126","2,112"
COMMUNITY WORK CENTERS,"1,350","1,310","1,306","1,306","1,289","1,287","1,284","1,291","1,285","1,290","1,296","1,287","1,285","1,350","1,285","1,305","1,310","1,302","1,298","1,292","1,293","1,291","1,297","1,299","1,304","1,350","1,302","1,292","1,290","1,289","1,300","1,302","1,306"
Alcorn Satellite Facility,75,74,74,75,75,75,75,74,73,73,73,71,71,75,71,75,74,73,73,72,72,72,73,73,73,75,73,73,73,73,73,74,74
Bolivar Satellite Facility,75,75,75,74,74,74,74,74,73,73,73,74,74,75,74,75,75,73,73,73,73,73,73,75,74,75,74,70,70,70,74,75,75
Forrest Satellite Facility,75,74,73,75,75,75,75,75,74,73,73,73,73,75,73,75,74,75,74,74,74,74,75,75,74,75,74,72,71,71,73,72,73
George Satellite Facility,75,74,74,74,75,75,75,75,74,74,73,73,73,75,73,73,75,74,74,74,74,74,75,75,75,75,75,73,73,73,75,75,75
Harrison Satellite Facility,75,75,75,75,74,74,74,74,74,74,74,72,72,75,72,75,75,75,74,74,74,74,74,74,74,75,75,74,74,74,75,74,74
Jackson Satellite Facility,75,74,75,75,75,74,74,75,74,74,72,72,72,75,72,74,75,74,74,74,74,74,73,73,75,75,75,75,75,75,75,75,75
Jefferson Satellite Facility,75,74,74,74,73,73,73,73,73,72,72,71,71,75,71,74,74,75,75,74,74,72,72,75,75,75,75,75,75,75,75,74,74
Leflore Satellite Facility,75,74,73,70,73,73,73,73,72,74,74,73,73,75,73,75,75,75,74,74,74,74,74,74,74,75,74,75,75,75,73,72,72
Madison Satellite Facility,75,74,74,75,74,74,72,72,72,74,73,74,74,75,74,74,75,74,75,75,75,75,75,75,75,75,75,74,74,74,75,75,75
Noxubee Satellite Facility,75,73,73,73,69,69,69,73,74,74,74,74,74,75,74,74,75,75,75,74,75,75,75,74,74,75,73,75,75,75,75,74,74
Pike Satellite Facility,75,57,58,58,59,59,58,57,57,57,57,58,58,75,58,60,60,59,60,59,59,59,60,59,59,75,59,59,59,59,59,63,63
Quitman Satellite Facility,75,68,68,68,68,68,68,67,66,66,66,65,65,75,65,66,65,62,62,62,62,62,62,62,61,75,60,59,58,58,58,57,57
Rankin Satellite Facility,150,150,148,148,140,139,139,141,140,140,145,143,142,150,142,140,143,142,140,139,139,139,140,140,147,150,146,148,148,148,148,150,150
Simpson Satellite Facility,75,75,75,75,73,73,73,73,72,75,75,74,74,75,74,73,74,75,75,74,74,74,75,75,74,75,74,72,72,72,73,73,73
Washington Satellite Facility,75,72,72,72,69,69,69,72,74,74,74,75,75,75,75,75,75,75,75,74,74,74,75,75,75,75,74,74,74,74,74,74,74
Wilkinson Satellite Facility,75,72,70,70,70,70,70,70,70,69,73,72,71,75,71,72,72,72,71,71,71,71,72,71,71,75,71,70,70,69,70,70,73
Yazoo Satellite Facility,75,75,75,75,73,73,73,73,73,74,75,73,73,75,73,75,74,74,74,75,75,75,74,74,74,75,75,74,74,74,75,75,75
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,482","2,484","2,483","2,501","2,499","2,498","2,500","2,495","2,494","2,486","2,534","2,534","2,750","2,532","2,536","2,526","2,525","2,544","2,550","2,548","2,548","2,560","2,561","2,570","2,750","2,574","2,585","2,583","2,581","2,581","2,583","2,579"
Bolivar County,250,225,225,225,230,230,229,228,228,228,227,228,228,250,228,226,225,224,230,230,230,230,230,229,229,250,235,235,234,234,234,235,235
Carroll County,250,225,226,225,225,225,225,228,228,229,229,230,230,250,230,230,229,229,229,234,234,234,234,234,235,250,233,235,235,235,235,236,235
George County (opened on May 10th),250,226,226,226,226,226,226,226,226,226,223,231,231,250,231,230,230,229,228,228,228,228,234,232,230,250,234,235,235,234,234,234,234
Holmes County,250,225,226,225,225,225,225,225,225,224,223,223,223,250,222,228,228,227,231,231,230,230,231,231,235,250,235,235,235,235,235,235,234
Issaquena County,250,226,226,226,229,229,229,229,225,224,221,230,230,250,230,229,225,231,231,233,233,233,232,231,236,250,235,235,235,234,234,234,232
Jefferson County,250,226,226,226,226,226,226,226,226,226,226,234,234,250,234,234,234,234,234,234,234,234,235,234,234,250,233,235,235,235,235,235,235
Kemper County,250,226,226,226,231,230,230,230,229,229,229,228,228,250,228,228,228,228,232,231,231,231,231,233,232,250,232,235,235,235,235,234,234
Leake County,250,226,226,226,226,225,225,226,226,226,226,231,231,250,230,229,227,227,231,231,230,230,230,233,235,250,235,235,235,235,235,235,235
