Location,Capacity_x_x,1-Dec-09,2-Dec-09,3-Dec-09,4-Dec-09,5-Dec-09,6-Dec-09,7-Dec-09,8-Dec-09,9-Dec-09,Capacity_y_x,10-Dec-09,11-Dec-09,12-Dec-09,13-Dec-09,14-Dec-09,15-Dec-09,16-Dec-09,17-Dec-09,18-Dec-09,Capacity_x_y,19-Dec-09,20-Dec-09,21-Dec-09,22-Dec-09,23-Dec-09,24-Dec-09,25-Dec-09,26-Dec-09,27-Dec-09,Capacity_y_y,28-Dec-09,29-Dec-09,30-Dec-09,31-Dec-09,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,435","3,933","3,928","3,916","3,931","3,930","3,927","3,933","3,941","3,938","4,435","3,926","3,925","3,923","3,921","3,918","3,919","3,932","3,931","3,940","4,435","3,938","3,936","3,942","3,940","3,941","3,938","3,932","3,930","3,930","4,435","3,925","3,919","3,927","3,927",,"3,930"
Central Mississippi Correctional Facility,"3,665","3,196","3,195","3,202","3,189","3,191","3,190","3,190","3,202","3,229","3,665","3,256","3,263","3,261","3,258","3,247","3,268","3,273","3,286","3,247","3,665","3,246","3,248","3,245","3,261","3,231","3,231","3,231","3,229","3,226","3,665","3,225","3,238","3,228","3,229",,"3,233"
South Mississippi Correctional Institution,"3,204","2,782","2,812","2,808","2,802","2,801","2,800","2,822","2,850","2,881","3,204","2,894","2,904","2,905","2,904","2,912","2,912","2,908","2,903","2,895","3,204","2,896","2,893","2,903","2,889","2,894","2,893","2,892","2,893","2,891","3,204","2,930","2,949","2,973","2,970",,"2,883"
County Jails,"1,486","1,637","1,619","1,625","1,651","1,651","1,651","1,635","1,604","1,559","1,486","1,538","1,519","1,519","1,519","1,505","1,500","1,496","1,468","1,479","1,486","1,479","1,479","1,498","1,492","1,499","1,498","1,498","1,498","1,498","1,486","1,465","1,477","1,467","1,467",,"1,532"
COMMUNITY WORK CENTERS,"1,848","1,796","1,792","1,791","1,785","1,781","1,780","1,776","1,772","1,761","1,848","1,773","1,780","1,778","1,777","1,789","1,792","1,789","1,797","1,794","1,848","1,794","1,793","1,798","1,798","1,793","1,792","1,788","1,784","1,783","1,848","1,785","1,791","1,797","1,794",,"1,787"
Alcorn Satellite Facility,92,89,89,89,88,89,89,89,88,88,92,88,88,88,88,87,87,89,89,89,92,89,89,89,89,90,90,90,90,90,92,88,88,87,87,,89
Bolivar Satellite Facility,102,100,100,94,92,92,92,92,91,93,102,93,100,100,100,100,100,101,101,102,102,102,102,101,99,99,99,99,98,98,102,98,98,98,98,,98
Forrest Satellite Facility,96,93,93,92,92,92,92,95,94,94,96,95,93,93,93,91,91,91,96,95,96,95,95,95,95,95,95,94,93,93,96,93,93,93,93,,93
George Satellite Facility,102,101,101,102,101,100,100,98,98,98,102,101,101,101,101,100,100,102,102,101,102,101,101,102,101,101,101,101,100,100,102,99,99,99,98,,100
Harrison Satellite Facility,102,100,100,99,99,99,99,96,96,94,102,100,100,100,100,99,99,99,101,101,102,101,101,100,102,102,102,102,102,102,102,101,100,102,101,,100
Jackson Satellite Facility,102,101,100,99,98,98,98,97,97,95,102,95,95,95,95,94,94,94,98,98,102,98,97,100,98,98,98,98,98,98,102,101,101,100,100,,98
Jefferson Satellite Facility,102,102,102,99,99,99,98,98,98,97,102,96,96,96,96,101,101,99,98,99,102,99,99,102,102,102,102,102,102,102,102,102,102,102,102,,100
Leflore Satellite Facility,102,101,100,100,100,100,100,102,102,102,102,101,101,101,101,100,100,97,96,96,102,96,96,96,95,93,93,93,93,93,102,93,98,98,98,,98
Madison Satellite Facility,102,102,101,100,102,101,102,102,102,101,102,101,102,101,101,102,100,99,100,100,102,100,100,102,101,99,99,99,99,99,102,99,97,97,97,,100
Noxubee Satellite Facility,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,91,91,90,92,90,90,90,92,92,92,92,92,92,92,92,92,92,92,,92
Pike Satellite Facility,93,87,86,86,87,87,87,84,84,84,93,86,73,72,72,78,85,85,87,86,93,86,86,86,93,93,93,93,92,92,93,92,91,93,93,,86
Quitman Satellite Facility,93,80,83,93,93,93,93,92,93,92,93,92,92,92,92,90,90,93,93,93,93,93,93,93,91,91,90,90,90,89,93,86,86,92,92,,91
Rankin Satellite Facility,260,253,253,251,251,251,251,251,251,251,260,254,254,254,254,250,251,250,249,249,260,249,249,248,248,248,248,247,247,247,260,249,249,250,250,,250
Simpson Satellite Facility,102,99,98,98,100,98,98,98,97,96,102,97,102,102,102,102,102,101,102,102,102,102,102,102,101,102,102,102,102,102,102,102,102,102,102,,101
Washington Satellite Facility,102,100,102,99,98,97,97,96,96,94,102,94,98,98,98,101,98,97,97,96,102,96,96,93,93,93,93,92,92,92,102,92,97,97,97,,96
Wilkinson Satellite Facility,102,99,99,98,95,95,95,94,93,91,102,89,92,92,92,102,102,100,97,97,102,97,97,97,96,96,96,95,95,95,102,99,99,96,95,,96
Yazoo Satellite Facility,102,97,93,100,98,98,97,100,100,99,102,99,101,101,100,100,100,101,100,100,102,100,100,102,102,99,99,99,99,99,102,99,99,99,99,,99
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,787","2,803","2,815","2,822","2,821","2,821","2,821","2,816","2,816","3,163","2,819","2,823","2,820","2,813","2,812","2,809","2,815","2,820","2,826","3,163","2,824","2,823","2,809","2,809","2,821","2,820","2,819","2,818","2,817","3,163","2,820","2,820","2,807","2,803",,"2,816"
Bolivar County,294,250,251,253,262,262,262,260,258,260,294,260,263,261,260,257,257,262,263,263,294,262,261,257,259,263,263,263,263,263,294,263,263,263,263,,260
Carroll County,280,242,250,251,251,251,251,251,251,251,280,251,251,251,251,251,251,250,250,250,280,250,250,250,248,249,249,249,249,249,280,250,250,249,249,,250
George County,280,248,247,247,250,250,250,249,248,248,280,249,250,250,249,249,248,249,248,248,280,248,248,247,248,249,249,248,247,247,280,247,247,246,246,,248
Holmes County,280,241,248,251,251,251,251,251,250,249,280,249,249,249,247,250,249,249,250,250,280,250,250,250,250,250,250,250,250,249,280,250,250,247,244,,249
Issaquena County,274,236,240,245,243,243,243,245,245,245,274,246,246,246,246,245,245,244,245,245,274,245,245,244,244,245,245,245,245,245,274,244,244,244,243,,244
Jefferson County,280,250,249,248,250,250,250,251,251,251,280,251,250,249,249,247,247,250,249,250,280,250,250,250,250,250,250,250,250,250,280,250,250,250,250,,250
Kemper County,355,316,316,317,317,317,317,317,317,317,355,317,318,318,318,316,316,315,316,319,355,318,318,317,317,317,316,316,316,316,355,316,316,316,316,,317
Leake County,280,250,250,250,250,250,250,249,250,250,280,249,248,248,246,249,249,250,251,251,280,251,251,246,245,250,250,250,250,250,280,250,250,247,247,,249
Marion County,280,256,254,254,251,251,251,251,250,249,280,249,250,250,250,249,248,248,247,247,280,247,247,247,250,250,250,250,250,250,280,250,250,246,246,,250
Stone County,280,250,250,250,250,250,250,250,248,248,280,249,249,249,249,249,250,251,251,251,280,251,251,251,251,251,251,251,251,251,280,250,250,250,250,,250
Winston County,280,248,248,249,247,246,246,247,248,248,280,249,249,249,248,250,249,247,250,252,280,252,252,250,247,247,247,247,247,247,280,250,250,249,249,,249
PRIVATE PRISONS,"5,972","5,321","5,308","5,303","5,296","5,293","5,292","5,288","5,284","5,290","5,972","5,292","5,294","5,291","5,287","5,288","5,290","5,296","5,296","5,298","5,972","5,294","5,291","5,285","5,307","5,314","5,311","5,309","5,306","5,304","5,972","5,286","5,281","5,284","5,281",,"5,295"
Delta,972,905,905,900,899,899,899,896,896,898,972,897,899,898,898,897,896,898,900,902,972,902,901,901,901,903,902,902,902,901,972,899,898,898,898,,900
East Mississippi,"1,500","1,324","1,325","1,326","1,325","1,324","1,323","1,321","1,321","1,322","1,500","1,322","1,324","1,323","1,322","1,318","1,318","1,322","1,322","1,322","1,500","1,320","1,320","1,316","1,317","1,323","1,322","1,321","1,320","1,320","1,500","1,312","1,312","1,311","1,312",,"1,320"
Marshall County,"1,000",934,915,914,913,913,913,913,913,912,"1,000",915,914,914,914,912,915,915,915,915,"1,000",914,914,914,914,914,914,913,912,912,"1,000",915,915,914,914,,914
Walnut Grove,"1,500","1,209","1,213","1,213","1,209","1,208","1,208","1,210","1,212","1,211","1,500","1,212","1,212","1,212","1,211","1,213","1,214","1,214","1,212","1,208","1,500","1,207","1,206","1,204","1,223","1,223","1,222","1,222","1,222","1,221","1,500","1,211","1,209","1,210","1,207",,"1,213"
Wilkinson County,"1,000",949,950,950,950,949,949,948,942,947,"1,000",946,945,944,942,948,947,947,947,951,"1,000",951,950,950,952,951,951,951,950,950,"1,000",949,947,951,950,,949
RESTITUTION CENTERS,16,10,10,10,10,10,10,9,9,10,16,9,9,9,9,10,10,10,10,10,16,10,10,10,10,10,10,10,10,10,16,10,10,10,10,,10
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
Hinds,6,2,2,2,2,2,2,2,2,3,6,2,2,2,2,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,,3
Pascagoula,4,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,11,9,9,9,10,11,11,10,11,0,9,12,12,13,11,9,11,12,15,0,14,12,11,7,9,7,7,7,10,0,7,8,12,11,,10
TOTALS,"23,795","21,479","21,482","21,485","21,501","21,494","21,488","21,491","21,494","21,501","23,795","21,522","21,535","21,524","21,507","21,498","21,515","21,536","21,529","21,510","23,795","21,501","21,491","21,507","21,519","21,518","21,506","21,492","21,481","21,475","23,795","21,459","21,499","21,511","21,498",,"21,502"
