Location,Capacity_x_x,1-Feb-10,2-Feb-10,3-Feb-10,4-Feb-10,5-Feb-10,6-Feb-10,7-Feb-10,8-Feb-10,9-Feb-10,Capacity_y_x,10-Feb-10,11-Feb-10,12-Feb-10,13-Feb-10,14-Feb-10,15-Feb-10,16-Feb-10,17-Feb-10,18-Feb-10,Capacity_x_y,19-Feb-10,20-Feb-10,21-Feb-10,22-Feb-10,23-Feb-10,24-Feb-10,25-Feb-10,26-Feb-10,27-Feb-10,Capacity_y_y,28-Feb-10,Unnamed: 3,Avg Population
Mississippi State Penitentiary,"4,435","3,916","3,919","3,914","3,918","3,905","3,902","3,900","3,888","3,877","4,435","3,892","3,896","3,887","3,888","3,886","3,879","3,883","3,909","3,891","4,435","3,897","3,893","3,889","3,881","3,879","3,899","3,902","3,920","3,914","4,435","3,908",,"3,898"
Central Mississippi Correctional Facility,"3,665","3,039","3,073","3,046","3,053","3,076","3,076","3,073","3,082","3,131","3,665","3,125","3,141","3,166","3,165","3,164","3,163","3,233","3,189","3,193","3,665","3,243","3,242","3,241","3,269","3,306","3,364","3,378","3,364","3,359","3,665","3,359",,"3,190"
South Mississippi Correctional Institution,"3,204","3,086","3,082","3,092","3,095","3,093","3,093","3,092","3,083","3,091","3,204","3,087","3,092","3,090","3,089","3,088","3,083","3,080","3,080","3,084","3,204","3,100","3,097","3,097","3,099","3,106","3,105","3,091","3,082","3,079","3,204","3,075",,"3,090"
County Jails,"1,470","1,548","1,544","1,568","1,572","1,554","1,554","1,554","1,561","1,514","1,470","1,518","1,498","1,472","1,472","1,472","1,482","1,450","1,448","1,435","1,470","1,377","1,377","1,377","1,395","1,388","1,358","1,352","1,419","1,419","1,470","1,419",,"1,468"
COMMUNITY WORK CENTERS,"1,848","1,740","1,739","1,748","1,742","1,713","1,709","1,710","1,759","1,750","1,848","1,761","1,751","1,718","1,716","1,716","1,754","1,744","1,727","1,759","1,848","1,729","1,727","1,724","1,751","1,762","1,758","1,733","1,694","1,690","1,848","1,691",,"1,733"
Alcorn Satellite Facility,92,87,87,86,86,80,80,80,92,92,92,92,91,86,86,86,90,90,90,90,92,89,89,89,88,92,91,88,80,80,92,80,,87
Bolivar Satellite Facility,102,89,88,88,88,91,91,91,95,95,102,95,95,95,94,94,96,95,95,101,102,99,99,99,101,101,100,97,91,91,102,91,,94
Forrest Satellite Facility,96,91,91,95,94,92,92,92,94,95,96,93,93,90,90,90,93,91,96,95,96,91,90,89,88,87,86,95,93,93,96,93,,92
George Satellite Facility,102,90,90,89,89,86,86,86,94,93,102,91,91,89,89,89,91,91,98,101,102,97,98,98,101,99,102,99,100,100,102,100,,94
Harrison Satellite Facility,102,99,98,96,95,91,90,90,90,89,102,96,96,94,94,94,96,96,95,95,102,97,96,96,98,98,98,101,97,97,102,97,,95
Jackson Satellite Facility,102,95,95,99,100,98,98,98,98,99,102,98,97,93,93,93,97,97,102,102,102,98,98,98,102,102,102,95,98,98,102,98,,98
Jefferson Satellite Facility,102,98,98,98,96,94,94,94,101,100,102,99,99,95,95,95,99,99,99,100,102,100,100,99,97,99,99,96,95,91,102,91,,97
Leflore Satellite Facility,102,89,89,90,91,92,92,92,93,93,102,93,92,94,94,94,95,90,62,70,102,68,68,68,71,71,71,68,69,69,102,69,,82
Madison Satellite Facility,102,101,102,102,102,102,102,102,102,102,102,102,102,101,101,101,102,101,101,101,102,98,98,98,100,99,99,96,93,93,102,93,,100
Noxubee Satellite Facility,92,91,92,92,92,91,91,91,91,90,92,90,89,85,85,85,88,88,92,90,92,87,87,85,89,92,85,83,81,81,92,81,,88
Pike Satellite Facility,93,93,93,90,90,90,90,90,89,90,93,93,93,92,92,92,93,92,78,92,93,88,87,87,90,90,93,93,92,92,93,92,,91
Quitman Satellite Facility,93,93,93,93,93,93,91,91,90,90,93,92,90,90,90,90,91,91,91,83,93,88,87,87,91,92,92,91,91,91,93,91,,91
Rankin Satellite Facility,260,232,231,236,237,235,234,234,238,236,260,235,234,234,234,234,237,236,239,241,260,235,236,236,236,237,237,233,226,226,260,226,,234
Simpson Satellite Facility,102,98,100,102,102,96,96,97,101,99,102,101,100,97,96,96,98,99,96,97,102,99,99,99,100,99,99,101,101,101,102,101,,99
Washington Satellite Facility,102,94,92,92,92,90,90,90,93,93,102,94,94,93,93,93,94,94,94,101,102,96,96,96,100,100,100,99,94,94,102,94,,94
Wilkinson Satellite Facility,102,99,99,98,97,95,95,95,97,92,102,97,95,92,92,92,95,94,100,100,102,98,98,99,98,102,102,100,97,97,102,98,,97
Yazoo Satellite Facility,102,101,101,102,98,97,97,97,101,102,102,100,100,98,98,98,99,100,99,100,102,101,101,101,101,102,102,98,96,96,102,96,,99
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,725","2,724","2,730","2,732","2,732","2,732","2,731","2,728","2,730","3,163","2,733","2,728","2,721","2,720","2,719","2,717","2,709","2,726","2,736","3,163","2,717","2,715","2,714","2,699","2,673","2,652","2,576","2,529","2,527","3,163","2,526",,"2,693"
Bolivar County,294,255,254,253,255,254,254,254,250,251,294,255,255,254,254,254,254,254,254,254,294,253,253,253,253,253,253,250,235,235,294,235,,251
Carroll County,280,242,242,242,241,240,240,240,241,242,280,242,242,240,240,240,240,240,240,242,280,240,240,240,240,238,228,224,224,224,280,224,,238
George County,280,240,240,241,243,243,243,243,242,242,280,241,241,241,241,241,240,240,240,242,280,242,242,242,241,236,232,230,227,227,280,227,,239
Holmes County,280,240,240,242,241,242,242,242,242,242,280,242,242,240,240,240,240,240,240,242,280,242,241,241,241,241,241,223,224,224,280,224,,239
Issaquena County,274,238,238,237,237,237,237,237,237,237,274,237,235,234,234,234,233,233,237,237,274,236,236,236,235,232,232,232,219,219,274,219,,234
Jefferson County,280,241,241,240,239,241,241,241,241,241,280,241,239,239,239,239,239,238,243,243,280,243,242,241,235,235,233,224,223,222,280,222,,237
Kemper County,355,308,308,309,308,309,309,308,309,309,355,309,309,309,308,308,308,307,309,309,355,304,304,304,298,296,296,284,285,285,355,284,,303
Leake County,280,241,240,242,243,243,243,243,242,242,280,242,242,241,241,240,240,236,241,241,280,237,237,237,236,227,225,225,225,224,280,224,,237
Marion County,280,240,241,242,242,242,242,242,242,242,280,242,242,242,242,242,242,241,241,242,280,241,241,241,241,241,240,222,220,220,280,220,,239
Stone County,280,241,242,242,242,240,240,240,240,240,280,240,241,241,241,241,241,240,242,242,280,242,242,242,242,242,241,239,224,224,280,224,,239
Winston County,280,239,238,240,241,241,241,241,242,242,280,242,240,240,240,240,240,240,239,242,280,237,237,237,237,232,231,223,223,223,280,223,,237
PRIVATE PRISONS,"5,972","5,210","5,207","5,203","5,210","5,207","5,203","5,202","5,206","5,207","5,972","5,212","5,207","5,201","5,200","5,196","5,181","5,177","5,209","5,220","5,972","5,214","5,211","5,210","5,210","5,218","5,212","5,231","5,206","5,203","5,972","5,203",,"5,206"
Delta,972,897,900,899,899,899,898,898,899,899,972,903,902,900,900,899,895,894,899,901,972,900,900,900,900,903,901,901,899,898,972,898,,899
East Mississippi,"1,500","1,265","1,264","1,263","1,263","1,263","1,263","1,263","1,262","1,260","1,500","1,260","1,263","1,262","1,262","1,261","1,258","1,256","1,261","1,265","1,500","1,265","1,264","1,263","1,263","1,263","1,262","1,263","1,264","1,263","1,500","1,263",,"1,262"
Marshall County,"1,000",900,899,900,900,899,899,899,899,899,"1,000",900,899,897,897,897,895,895,898,900,"1,000",899,899,899,899,900,900,900,900,900,"1,000",900,,899
Walnut Grove,"1,500","1,200","1,195","1,193","1,200","1,199","1,198","1,198","1,200","1,200","1,500","1,198","1,197","1,196","1,195","1,193","1,189","1,188","1,197","1,201","1,500","1,198","1,197","1,197","1,197","1,201","1,198","1,216","1,192","1,191","1,500","1,191",,"1,197"
Wilkinson County,"1,000",948,949,948,948,947,945,944,946,949,"1,000",951,946,946,946,946,944,944,954,953,"1,000",952,951,951,951,951,951,951,951,951,"1,000",951,,949
RESTITUTION CENTERS,16,10,9,9,9,9,9,9,9,9,16,9,8,7,7,7,8,10,10,10,16,10,10,10,10,10,10,8,9,9,16,9,,9
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,4,5,5,6,5,,6
Hinds,6,3,2,2,2,2,2,2,2,2,6,2,1,1,1,1,1,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,,2
Pascagoula,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,13,16,15,19,54,55,53,17,19,0,18,15,56,55,55,12,10,13,10,0,49,48,49,13,12,13,12,50,51,0,48,,30
TOTALS,"23,779","21,293","21,319","21,331","21,356","21,349","21,339","21,330","21,339","21,334","23,779","21,361","21,342","21,324","21,318","21,309","21,285","21,302","21,317","21,344","23,779","21,342","21,326","21,317","21,333","21,360","21,377","21,289","21,279","21,257","23,779","21,244",,"21,322"
