Location,Capacity_x_x,1-Dec-08,2-Dec-08,3-Dec-08,4-Dec-08,5-Dec-08,6-Dec-08,7-Dec-08,8-Dec-08,9-Dec-08,Capacity_y_x,10-Dec-08,11-Dec-08,12-Dec-08,13-Dec-08,14-Dec-08,15-Dec-08,16-Dec-08,17-Dec-08,18-Dec-08,Capacity_x_y,19-Dec-08,20-Dec-08,21-Dec-08,22-Dec-08,23-Dec-08,24-Dec-08,25-Dec-08,26-Dec-08,27-Dec-08,Capacity_y_y,28-Dec-08,29-Dec-08,30-Dec-08,31-Dec-08,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,435","3,862","3,860","3,851","3,863","3,877","3,874","3,871","3,885","3,891","4,435","3,895","3,906","3,904","3,903","3,900","3,915","3,917","3,914","3,919","4,435","3,924","3,921","3,918","3,919","3,921","3,936","3,933","3,927","3,928","4,435","3,922","3,926","3,927","3,926",,"3,904"
Central Mississippi Correctional Facility,"3,665","3,698","3,741","3,740","3,755","3,755","3,755","3,755","3,760","3,755","3,665","3,766","3,763","3,787","3,787","3,785","3,759","3,770","3,754","3,729","3,665","3,702","3,706","3,708","3,646","3,617","3,545","3,544","3,548","3,548","3,665","3,548","3,543","3,521","3,494",,"3,687"
South Mississippi Correctional Institution,"3,204","3,110","3,112","3,118","3,114","3,100","3,095","3,093","3,111","3,108","3,204","3,123","3,127","3,118","3,116","3,116","3,128","3,131","3,130","3,131","3,204","3,128","3,128","3,126","3,135","3,129","3,140","3,137","3,137","3,136","3,204","3,137","3,149","3,151","3,145",,"3,124"
County Jails,"1,785","1,807","1,788","1,753","1,754","1,763","1,763","1,763","1,769","1,745","1,785","1,728","1,730","1,731","1,731","1,731","1,719","1,731","1,730","1,731","1,785","1,722","1,722","1,722","1,755","1,792","1,815","1,815","1,815","1,815","1,785","1,815","1,818","1,804","1,829",,"1,765"
COMMUNITY WORK CENTERS,"1,848","1,798","1,792","1,798","1,812","1,810","1,808","1,806","1,805","1,812","1,848","1,807","1,808","1,795","1,791","1,789","1,802","1,804","1,800","1,806","1,848","1,826","1,825","1,825","1,824","1,818","1,816","1,814","1,811","1,812","1,848","1,811","1,801","1,811","1,811",,"1,808"
Alcorn Satellite Facility,92,87,87,87,92,91,91,91,92,92,92,92,92,90,90,90,88,88,88,86,92,92,92,92,92,92,92,92,92,92,92,92,91,91,91,,91
Bolivar Satellite Facility,102,101,100,100,100,99,99,99,98,102,102,102,101,99,99,99,101,100,100,100,102,102,102,102,102,102,102,102,102,102,102,101,101,100,99,,101
Forrest Satellite Facility,96,93,93,93,96,96,96,96,96,95,96,95,95,95,95,95,95,94,95,95,96,95,95,95,95,95,95,95,95,95,96,95,96,96,96,,95
George Satellite Facility,102,102,101,101,101,102,101,101,101,102,102,101,102,102,98,97,98,100,101,101,102,101,101,101,101,101,98,98,98,98,102,98,97,98,100,,100
Harrison Satellite Facility,102,101,101,101,101,101,101,101,100,102,102,102,101,99,98,98,98,100,102,99,102,101,101,101,101,102,102,102,102,102,102,102,102,101,101,,101
Jackson Satellite Facility,102,100,101,100,101,99,100,99,99,100,102,100,101,101,101,101,101,101,99,102,102,102,102,102,101,101,101,101,101,101,102,101,101,101,101,,101
Jefferson Satellite Facility,102,99,99,100,100,102,101,101,101,102,102,102,102,99,99,99,101,101,101,100,102,102,101,101,101,101,98,97,97,97,102,97,94,98,97,,100
Leflore Satellite Facility,102,101,101,101,101,100,100,100,101,102,102,102,100,97,97,97,100,100,99,101,102,100,100,100,100,100,102,102,102,102,102,102,102,102,101,,100
Madison Satellite Facility,102,101,100,102,102,102,102,101,101,99,102,95,102,101,100,100,100,99,100,101,102,101,101,101,102,101,101,101,101,101,102,101,101,101,101,,101
Noxubee Satellite Facility,92,89,88,88,92,92,92,92,90,90,92,92,91,87,86,86,91,91,88,88,92,92,92,92,92,92,92,92,92,92,92,92,92,92,88,,90
Pike Satellite Facility,93,89,90,90,90,92,92,92,90,89,93,89,88,88,87,86,85,84,84,90,93,92,92,92,91,92,92,92,92,92,93,92,92,92,92,,90
Quitman Satellite Facility,93,86,85,85,85,84,84,84,89,87,93,86,84,92,92,92,92,93,91,92,93,93,93,93,93,92,91,91,91,91,93,91,89,89,89,,89
Rankin Satellite Facility,260,248,248,248,247,247,247,247,247,247,260,247,247,246,246,246,250,249,250,250,260,248,248,248,246,248,250,250,250,250,260,250,249,249,250,,248
Simpson Satellite Facility,102,98,97,99,102,102,102,102,102,98,102,98,98,98,102,102,101,101,101,101,102,100,100,100,102,102,102,102,99,100,102,100,100,100,100,,100
Washington Satellite Facility,102,101,99,99,99,99,99,99,99,102,102,102,102,102,102,102,99,101,100,100,102,101,101,101,101,99,101,101,101,101,102,101,101,101,101,,101
Wilkinson Satellite Facility,102,102,102,102,101,101,100,100,99,101,102,100,100,101,101,101,100,100,100,100,102,102,102,102,102,100,99,98,98,98,102,98,95,102,102,,100
Yazoo Satellite Facility,102,100,100,102,102,101,101,101,100,102,102,102,102,98,98,98,102,102,101,100,102,102,102,102,102,98,98,98,98,98,102,98,98,98,102,,100
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,077","3,077","3,084","3,085","3,082","3,080","3,078","3,077","3,082","3,088","3,084","3,083","3,083","3,082","3,080","3,078","3,080","3,087","3,086","3,088","3,085","3,082","3,082","3,085","3,086","3,085","3,083","3,083","3,078","3,088","3,078","3,077","3,075","3,082",,"3,081"
Bolivar County,294,294,294,294,294,294,294,294,294,292,294,294,294,293,292,292,292,292,294,294,294,294,293,293,294,294,294,294,294,294,294,294,291,288,290,,293
Carroll County,280,279,277,279,280,279,278,277,278,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,280
George County,280,277,277,280,279,279,279,278,280,280,280,279,278,278,278,278,278,278,278,278,280,279,279,279,279,280,280,279,279,278,280,278,278,279,280,,279
Holmes County,280,280,280,280,280,279,278,278,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279,278,280,278,280,280,280,,280
Issaquena County,274,270,271,273,274,273,273,273,271,274,274,273,272,274,274,274,274,274,274,274,274,274,273,273,274,274,274,273,273,273,274,273,271,271,274,,273
Jefferson County,280,278,279,280,280,280,280,280,277,277,280,280,280,280,280,280,280,280,280,280,280,279,279,279,280,280,280,280,280,280,280,280,280,280,280,,280
Kemper County,280,280,280,280,280,280,280,280,280,280,280,279,280,280,280,280,280,280,282,280,280,280,280,280,280,279,279,279,279,279,280,279,279,279,280,,280
Leake County,280,280,280,280,280,280,280,280,279,279,280,279,279,279,279,279,279,280,280,280,280,280,280,280,279,280,280,280,280,278,280,278,279,279,279,,279
Marion County,280,279,279,278,279,279,279,279,279,280,280,281,281,280,280,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,280
Stone County,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,278,277,277,280,280,280,279,279,279,279,280,280,280,280,279,280,279,280,280,280,,279
