Location,Capacity_x_x,1-Jul-08,2-Jul-08,3-Jul-08,4-Jul-08,5-Jul-08,6-Jul-08,7-Jul-08,8-Jul-08,9-Jul-08,Capacity_y_x,10-Jul-08,11-Jul-08,12-Jul-08,13-Jul-08,14-Jul-08,15-Jul-08,16-Jul-08,17-Jul-08,18-Jul-08,Capacity_x_y,19-Jul-08,20-Jul-08,21-Jul-08,22-Jul-08,23-Jul-08,24-Jul-08,25-Jul-08,26-Jul-08,27-Jul-08,Capacity_y_y,28-Jul-08,29-Jul-08,30-Jul-08,31-Jul-08,Avg Population
Mississippi State Penitentiary,"4,527","4,224","4,220","4,212","4,207","4,205","4,203","4,197","4,195","4,193","4,527","4,201","4,209","4,206","4,200","4,203","4,205","4,201","4,198","4,194","4,527","4,191","4,192","4,183","4,178","4,177","4,199","4,206","4,203","4,202","4,527","4,206","4,207","4,203","4,207","4,201"
Central Mississippi Correctional Facility,"3,665","3,761","3,749","3,706","3,705","3,707","3,706","3,727","3,690","3,730","3,665","3,720","3,713","3,710","3,709","3,707","3,715","3,748","3,773","3,792","3,665","3,793","3,792","3,819","3,809","3,819","3,802","3,803","3,800","3,798","3,665","3,795","3,805","3,803","3,801","3,758"
South Mississippi Correctional Institution,"3,204","3,130","3,132","3,120","3,118","3,118","3,115","3,110","3,133","3,145","3,204","3,147","3,120","3,118","3,116","3,114","3,121","3,118","3,124","3,112","3,204","3,110","3,107","3,103","3,123","3,129","3,135","3,129","3,126","3,126","3,204","3,129","3,128","3,117","3,123","3,122"
County Jails,"1,711","1,999","2,040","2,101","2,103","2,103","2,103","2,106","2,097","2,063","1,711","2,061","2,038","2,038","2,038","2,033","2,033","2,012","1,995","1,996","1,711","1,996","1,996","1,990","1,983","1,987","2,006","1,986","1,986","1,986","1,711","2,012","1,999","2,036","2,059","2,032"
COMMUNITY WORK CENTERS,"1,848","1,794","1,790","1,799","1,792","1,787","1,786","1,776","1,795","1,799","1,848","1,810","1,737","1,737","1,735","1,797","1,798","1,799","1,796","1,756","1,848","1,755","1,752","1,773","1,777","1,779","1,790","1,756","1,755","1,754","1,848","1,783","1,780","1,766","1,727","1,775"
Alcorn Satellite Facility,92,92,92,91,91,90,90,90,91,91,92,91,82,82,81,87,87,88,89,85,92,85,85,89,89,89,89,87,87,87,92,89,89,89,89,88
Bolivar Satellite Facility,102,96,98,102,102,102,102,102,102,102,102,102,98,98,98,99,101,100,101,97,102,97,97,100,99,99,99,96,96,96,102,98,98,98,97,99
Forrest Satellite Facility,96,94,88,88,88,88,88,88,87,88,96,93,89,89,89,95,94,94,94,90,96,90,90,91,94,92,96,94,94,94,96,94,93,93,92,91
George Satellite Facility,102,98,98,100,100,100,100,100,100,100,102,102,100,100,100,102,102,102,102,102,102,102,100,99,101,101,102,99,99,99,102,102,102,100,100,100
Harrison Satellite Facility,102,92,97,99,97,96,96,94,94,102,102,100,98,98,98,100,102,101,100,100,102,100,100,101,100,100,100,97,97,97,102,99,99,99,99,98
