Location,Capacity_x,1-Feb-03,2-Feb-03,3-Feb-03,4-Feb-03,5-Feb-03,6-Feb-03,7-Feb-03,8-Feb-03,9-Feb-03,10-Feb-03 11-Feb-03,12-Feb-03,Unnamed: 13,Capacity_y,13-Feb-03,14-Feb-03,15-Feb-03,16-Feb-03,17-Feb-03,18-Feb-03,19-Feb-03,20-Feb-03,21-Feb-03,22-Feb-03,23-Feb-03,Capacity,24-Feb-03,25-Feb-03,26-Feb-03,27-Feb-03,28-Feb-03
MS STATE PENITENTIARY,"5,711","5,513","5,510","5,553","5,567","5,598","5,590","5,585","5,585","5,583","5,586","5,586","5,579","5,711","5,568","5,556","5,555","5,553","5,550","5,534","5,545","5,535","5,512","5,511","5,507","5,711","5,529","5,540","5,573","5,568","5,588"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,065","3,065","3,018","3,033","3,025","3,026","3,052","3,051","3,051","3,070","3,053","3,079","3,233","3,097","3,076","3,076","3,074","3,075","3,060","3,060","3,071","3,086","3,086","3,085","3,233","3,092","3,076","3,065","3,062","3,035"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,072","2,072","2,101","2,101","2,095","2,114","2,113","2,113","2,113","2,097","2,086","2,087","2,214","2,102","2,063","2,062","2,061","2,061","2,083","2,090","2,108","2,110","2,109","2,109","2,214","2,103","2,128","2,123","2,151","2,163"
COUNTY JAILS,"2,119","2,024","2,024","2,002","1,971","1,972","1,982","1,955","1,955","1,955","1,984","2,038","2,056","2,119","2,068","2,106","2,106","2,106","2,111","2,133","2,164","2,157","2,133","2,133","2,133","2,119","2,136","2,126","2,119","2,127","2,133"
COMMUNITY WORK CENTERS,"1,350","1,246","1,246","1,277","1,278","1,279","1,274","1,214","1,214","1,214","1,283","1,270","1,268","1,350","1,263","1,211","1,211","1,211","1,277","1,272","1,268","1,274","1,230","1,228","1,228","1,350","1,270","1,275","1,281","1,279","1,246"
Alcorn Satellite Facility,75,67,67,70,70,69,69,64,64,64,69,67,67,75,68,61,61,61,71,71,71,71,68,68,68,75,71,71,69,67,64
Bolivar Satellite Facility,75,69,69,72,71,71,71,66,66,66,70,70,70,75,70,66,66,66,70,69,69,69,67,67,67,75,68,68,67,67,70
Forrest Satellite Facility,75,74,74,73,72,72,72,71,71,71,75,74,72,75,72,69,69,69,72,72,74,74,70,70,69,75,73,73,73,74,69
George Satellite Facility,75,71,71,74,74,74,74,70,70,70,73,75,75,75,75,72,72,72,75,75,74,74,72,72,72,75,72,72,75,75,68
Harrison Satellite Facility,75,74,74,75,75,75,74,73,73,73,73,73,75,75,75,70,70,70,75,74,74,74,71,70,71,75,75,73,74,74,71
Jackson Satellite Facility,75,74,74,75,74,74,74,69,69,69,74,75,75,75,75,73,73,73,75,74,71,71,68,68,68,75,75,75,74,72,69
Jefferson Satellite Facility,75,69,69,70,70,70,70,64,64,64,69,66,66,75,66,68,68,68,74,74,74,74,74,74,74,75,75,75,75,75,73
Leflore Satellite Facility,75,72,72,72,72,72,72,70,70,70,74,73,71,75,71,66,66,66,70,70,70,74,70,70,70,75,73,72,71,71,73
Madison Satellite Facility,75,72,72,75,75,75,75,70,70,70,74,74,74,75,74,72,72,72,72,71,71,74,71,70,71,75,73,72,74,74,73
Noxubee Satellite Facility,75,69,69,73,73,73,73,70,70,70,72,72,72,75,72,69,69,69,72,74,74,74,74,74,74,75,74,74,74,74,71
Pike Satellite Facility,75,50,50,53,53,55,54,54,54,54,54,52,52,75,51,50,50,50,51,50,49,49,47,47,46,75,48,48,53,54,53
Quitman Satellite Facility,75,62,62,62,62,63,63,62,62,62,63,60,60,75,59,56,56,56,58,57,57,57,56,56,56,75,56,56,56,56,55
Rankin Satellite Facility,150,140,140,142,143,143,141,140,140,140,146,144,144,150,142,147,147,147,148,148,148,148,149,149,149,150,150,150,150,150,146
Simpson Satellite Facility,75,74,74,75,75,75,74,68,68,68,75,74,74,75,74,68,68,68,74,74,74,73,71,71,71,75,75,75,75,75,72
Washington Satellite Facility,75,64,64,68,72,69,69,61,61,61,74,74,74,75,73,66,66,66,71,71,71,71,68,68,68,75,70,74,74,75,75
Wilkinson Satellite Facility,75,74,74,74,74,74,74,71,71,71,73,72,72,75,72,74,74,74,75,75,75,75,69,69,69,75,72,73,73,73,71
Yazoo Satellite Facility,75,71,71,74,73,75,75,71,71,71,75,75,75,75,74,64,64,64,74,73,72,72,65,65,65,75,70,74,74,73,73
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,474","2,473","2,477","2,485","2,482","2,482","2,482","2,482","2,481","2,483","2,486","2,482","2,750","2,481","2,488","2,486","2,484","2,483","2,483","2,484","2,484","2,479","2,477","2,477","2,750","2,482","2,482","2,481","2,476","2,481"
Bolivar County,250,224,224,226,226,226,226,225,225,225,225,227,226,250,224,226,225,225,225,225,225,224,222,221,221,250,226,225,224,224,225
Carroll County,250,227,227,226,227,225,225,225,225,225,226,226,226,250,225,225,225,225,225,225,226,227,227,227,227,250,226,227,227,227,226
George County (opened on May 10th),250,226,226,224,226,226,226,227,227,226,226,226,225,250,225,227,227,226,226,226,226,226,226,226,226,250,226,225,225,225,225
Holmes County,250,224,224,224,226,226,226,226,226,226,226,226,226,250,226,227,227,226,226,226,226,225,226,226,226,250,225,225,226,225,226
Issaquena County,250,224,224,225,226,226,226,226,226,226,225,226,225,250,225,226,226,226,226,226,226,226,225,225,225,250,225,225,225,224,226
Jefferson County,250,226,225,225,226,226,225,224,224,224,226,227,226,250,226,226,226,226,225,225,226,226,226,226,226,250,226,225,225,223,223
Kemper County,250,225,225,225,226,226,226,226,226,226,226,225,225,250,226,226,226,226,226,226,226,226,226,226,226,250,225,223,222,222,222
Leake County,250,224,224,226,226,225,225,226,226,226,226,227,226,250,227,227,227,227,227,227,227,227,225,224,224,250,227,227,227,227,227
Marion County,250,224,224,225,225,225,226,226,226,226,226,226,226,250,226,226,226,226,226,226,226,227,227,227,227,250,227,227,227,227,227
Stone County,250,224,224,226,226,226,226,226,226,226,226,225,226,250,226,227,226,226,226,225,225,224,223,223,223,250,223,227,227,227,227
Winston County,250,226,226,225,225,225,225,225,225,225,225,225,225,250,225,225,225,225,225,226,225,226,226,226,226,250,226,226,226,225,227
