Location,Capacity_x,1-May-05,2-May-05,3-May-05,4-May-05,5-May-05,6-May-05,7-May-05,8-May-05,9-May-05,10-May-05,11-May-05,12-May-05,13-May-05,Capacity_y,14-May-05,15-May-05,16-May-05,17-May-05,18-May-05,19-May-05,20-May-05,21-May-05,22-May-05,23-May-05,24-May-05,25-May-05,26-May-05,Capacity,27-May-05,28-May-05,29-May-05,30-May-05,31-May-05
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,736","2,741","2,741","2,739","2,741","2,745","2,743","2,743","2,742","2,746","2,747","2,747","2,745","2,750","2,744","2,744","2,734","2,737","2,743","2,746","2,740","2,735","2,735","2,741","2,741","2,742","2,748","2,750","2,743","2,742","2,740","2,738",0
Bolivar County,250,248,249,248,248,249,249,248,248,249,248,249,250,250,250,250,250,246,246,249,249,250,248,248,250,249,250,250,250,249,249,249,249,0
Carroll County,250,249,249,249,250,250,249,249,249,249,249,249,250,249,250,249,249,249,250,250,249,249,249,249,249,247,250,250,250,250,250,250,250,0
George County,250,248,248,249,249,249,249,248,248,246,250,250,249,249,250,249,249,247,250,250,249,246,245,245,248,250,249,250,250,248,247,247,247,0
Holmes County,250,250,249,249,247,247,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0
Issaquena County,250,249,248,248,246,246,249,249,249,249,249,250,249,248,250,248,248,248,248,250,250,250,248,248,248,250,250,250,250,249,249,248,248,0
Jefferson County,250,248,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,249,249,249,249,0
Kemper County,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,248,250,250,250,250,250,250,250,250,249,249,250,249,249,249,249,0
Leake County,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,250,250,250,250,250,250,0
Marion County,250,248,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,246,247,250,248,248,248,250,249,249,250,250,249,249,249,248,0
Stone County,250,247,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,249,248,247,249,249,249,249,248,249,247,249,250,250,250,249,248,0
Winston County,250,250,250,249,249,250,249,249,249,249,250,249,249,249,250,249,249,248,249,250,250,248,248,248,248,249,250,250,250,250,250,250,250,0
PRIVATE PRISONS,"5,088","4,780","4,774","4,776","4,779","4,785","4,794","4,792","4,791","4,790","4,799","4,807","4,799","4,800","5,088","4,800","4,799","4,805","4,798","4,807","4,811","4,815","4,808","4,806","4,814","4,822","4,821","4,816","5,088","4,819","4,818","4,815","4,815",0
Delta,960,956,954,956,957,958,957,957,957,956,959,958,957,956,960,956,956,956,957,959,959,959,959,959,958,959,959,954,960,953,953,953,953,0
East Mississippi,"1,000",866,866,867,867,873,874,873,873,873,873,873,871,871,"1,000",871,870,870,869,868,869,875,873,872,871,869,867,867,"1,000",867,867,867,867,0
Marshall County,"1,000",995,995,995,993,993,995,995,994,992,992,994,993,993,"1,000",993,993,995,992,995,995,994,992,992,993,995,993,992,"1,000",995,994,993,993,0
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,127,121,122,128,122,122,127,126,127,127,128,128,128,128,128,128,128,128,128,128,128,128,0
Walnut Grove,"1,000",854,850,850,854,854,854,854,854,855,861,862,867,870,"1,000",870,870,871,871,878,875,875,873,873,882,884,887,888,"1,000",891,891,890,890,0
Wilkinson County,"1,000",981,981,980,980,979,986,985,985,986,986,993,990,988,"1,000",988,988,986,983,980,986,984,983,982,982,987,987,987,"1,000",985,985,984,984,0
RESTITUTION CENTERS,18,11,11,11,11,11,10,10,10,10,10,10,10,9,18,9,9,9,8,9,9,8,8,8,9,9,9,10,18,10,10,10,10,0
Greenwood,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,4,5,5,4,4,4,5,5,5,6,6,6,6,6,6,0
Hinds,6,3,3,3,3,3,3,3,3,3,3,3,4,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,0
Pascagoula,6,3,3,3,3,3,2,2,2,2,2,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,0
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,0
E-CODE,,30,10,4,4,8,24,26,25,7,6,6,6,43,,44,45,9,9,11,8,100,103,105,13,8,8,7,,6,6,6,4,0
TOTALS,"22,084","20,773","20,777","20,800","20,816","20,820","20,863","20,838","20,829","20,836","20,831","20,826","20,843","20,827","22,084","20,821","20,815","20,795","20,804","20,821","20,838","20,825","20,807","20,800","20,835","20,838","20,838","20,857","22,084","20,822","20,816","20,800","20,790",0
