Location,Capacity_x_x,1-Mar-07,2-Mar-07,3-Mar-07,4-Mar-07,5-Mar-07,6-Mar-07,7-Mar-07,8-Mar-07,9-Mar-07,Capacity_y_x,10-Mar-07,11-Mar-07,12-Mar-07,13-Mar-07,14-Mar-07,15-Mar-07,16-Mar-07,17-Mar-07,18-Mar-07,Capacity_x_y,19-Mar-07,20-Mar-07,21-Mar-07,22-Mar-07,23-Mar-07,24-Mar-07,25-Mar-07,26-Mar-07,27-Mar-07,Capacity_y_y,28-Mar-07,29-Mar-07,30-Mar-07,31-Mar-07,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,534","4,453","4,406","4,403","4,401","4,420","4,425","4,420","4,425","4,448","4,534","4,445","4,448","4,428","4,463","4,472","4,459","4,453","4,448","4,447","4,534","4,440","4,451","4,450","4,438","4,448","4,442","4,439","4,451","4,476","4,534","4,503","4,516","4,517","4,513",,"4,450"
Central Mississippi Correctional Facility,"3,381","3,460","3,463","3,462","3,461","3,443","3,445","3,473","3,448","3,417","3,381","3,415","3,412","3,431","3,433","3,455","3,448","3,457","3,453","3,450","3,381","3,445","3,422","3,419","3,416","3,419","3,416","3,417","3,422","3,457","3,381","3,477","3,464","3,454","3,450",,"3,442"
South Mississippi Correctional Institution,"2,484","2,322","2,351","2,351","2,350","2,346","2,359","2,363","2,379","2,370","2,484","2,368","2,367","2,393","2,386","2,394","2,387","2,376","2,375","2,374","2,484","2,397","2,407","2,406","2,403","2,395","2,391","2,390","2,388","2,391","2,484","2,385","2,393","2,404","2,400",,"2,379"
County Jails,"1,741","1,802","1,829","1,829","1,829","1,831","1,846","1,847","1,890","1,899","1,741","1,899","1,899","1,892","1,859","1,892","1,918","1,922","1,922","1,922","1,741","1,946","1,932","1,956","2,004","1,991","1,991","1,991","1,963","1,959","1,741","1,941","1,931","1,909","1,909",,"1,908"
COMMUNITY WORK CENTERS,"1,816","1,767","1,712","1,711","1,711","1,768","1,767","1,764","1,757","1,729","1,816","1,727","1,722","1,753","1,749","1,739","1,754","1,679","1,673","1,672","1,816","1,750","1,764","1,760","1,757","1,727","1,725","1,722","1,751","1,758","1,816","1,760","1,766","1,728","1,725",,"1,737"
Alcorn Satellite Facility,92,92,86,86,86,92,92,92,91,84,92,84,84,92,91,89,89,89,89,88,92,88,87,86,86,84,84,84,86,88,92,88,88,88,88,,88
Bolivar Satellite Facility,102,100,96,96,95,101,100,100,98,94,102,94,89,94,95,95,98,94,94,94,102,98,102,102,102,97,97,97,102,102,102,102,99,98,97,,97
Forrest Satellite Facility,96,95,94,94,94,95,94,94,93,94,96,94,94,94,94,94,94,90,89,89,96,92,92,91,93,93,93,93,92,90,96,94,94,90,90,,93
George Satellite Facility,102,102,98,98,98,102,102,100,100,96,102,96,95,85,87,86,102,97,97,97,102,102,102,102,102,101,101,101,102,102,102,102,101,98,98,,98
Harrison Satellite Facility,102,100,97,97,97,102,102,102,100,94,102,94,94,100,99,98,99,98,98,98,102,101,101,101,101,99,99,99,100,101,102,101,100,98,98,,99
Jackson Satellite Facility,102,99,93,93,93,99,98,98,84,97,102,97,97,99,99,99,98,96,96,96,102,99,99,99,99,98,98,97,97,100,102,99,99,97,97,,97
Jefferson Satellite Facility,102,100,99,99,99,99,99,99,102,97,102,97,97,98,95,95,95,88,88,88,102,100,100,99,99,99,99,99,100,100,102,99,99,98,97,,97
