Location,Capacity_x_x,1-Feb-09,2-Feb-09,3-Feb-09,4-Feb-09,5-Feb-09,6-Feb-09,7-Feb-09,8-Feb-09,9-Feb-09,Capacity_y_x,10-Feb-09,11-Feb-09,12-Feb-09,13-Feb-09,14-Feb-09,15-Feb-09,16-Feb-09,17-Feb-09,18-Feb-09,Capacity_x_y,19-Feb-09,20-Feb-09,21-Feb-09,22-Feb-09,23-Feb-09,24-Feb-09,25-Feb-09,26-Feb-09,27-Feb-09,Capacity_y_y,28-Feb-09,Unnamed: 3,Avg Population
Mississippi State Penitentiary,"4,627","4,094","4,092","4,100","4,097","4,088","4,084","4,081","4,079","4,073","4,627","4,102","4,099","4,091","4,096","4,094","4,092","4,088","4,081","4,103","4,627","4,114","4,103","4,102","4,100","4,095","4,108","4,123","4,123","4,123","4,627","4,121",,"4,098"
Central Mississippi Correctional Facility,"3,665","3,491","3,507","3,524","3,527","3,538","3,565","3,565","3,566","3,592","3,665","3,600","3,617","3,610","3,605","3,602","3,602","3,600","3,603","3,584","3,665","3,570","3,561","3,562","3,557","3,549","3,544","3,580","3,570","3,576","3,665","3,574",,"3,569"
South Mississippi Correctional Institution,"3,204","3,127","3,122","3,126","3,134","3,129","3,134","3,133","3,133","3,125","3,204","3,126","3,125","3,127","3,110","3,109","3,108","3,110","3,113","3,117","3,204","3,123","3,121","3,120","3,120","3,124","3,130","3,114","3,114","3,118","3,204","3,114",,"3,122"
County Jails,"1,898","1,718","1,727","1,734","1,699","1,705","1,686","1,686","1,686","1,686","1,898","1,669","1,670","1,652","1,674","1,674","1,674","1,678","1,669","1,707","1,898","1,722","1,736","1,736","1,736","1,706","1,729","1,696","1,733","1,728","1,898","1,728",,"1,702"
COMMUNITY WORK CENTERS,"1,848","1,727","1,763","1,762","1,750","1,745","1,697","1,692","1,692","1,732","1,848","1,743","1,767","1,742","1,693","1,691","1,688","1,743","1,741","1,744","1,848","1,733","1,697","1,696","1,694","1,760","1,761","1,758","1,761","1,706","1,848","1,706",,"1,728"
Alcorn Satellite Facility,92,83,82,82,81,80,75,75,75,79,92,78,78,82,82,82,82,82,82,81,92,82,78,78,78,85,85,85,85,81,92,81,,81
Bolivar Satellite Facility,102,98,98,98,98,97,95,95,95,96,102,98,98,94,90,90,90,93,92,92,102,92,90,90,90,93,93,93,93,85,102,85,,93
Forrest Satellite Facility,96,93,94,92,91,91,88,87,87,88,96,89,87,86,85,85,84,84,92,92,96,93,93,92,92,92,92,91,92,88,96,88,,90
George Satellite Facility,102,99,101,101,100,99,96,96,96,98,102,102,102,100,96,96,96,98,97,102,102,100,98,98,98,98,98,99,101,99,102,99,,99
Harrison Satellite Facility,102,102,102,102,102,102,100,100,100,101,102,102,102,102,95,95,95,102,102,102,102,102,94,94,94,96,96,102,102,102,102,102,,100
