"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","13,136","37.06%"
"Property","17,310","48.83%"
"Aggravated Assualt","1,411","3.98%"
"Violent","2,390","6.74%"
"Sex","1,199","3.38%"
"TOTAL","35,446","100.00%"
