"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,208","37.23%"
"Property","14,326","47.58%"
"Aggravated Assualt","1,229","4.08%"
"Violent","2,163","7.18%"
"Sex","1,181","3.92%"
"TOTAL","30,107","100.00%"
