"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,243","37.63%"
"Property","12,968","47.64%"
"Violent","3,040","11.17%"
"Sex","972","3.57%"
"TOTAL","27,223","100.00%"
