"100.00%","6,806","","100.00%","29,475","100.00%"
"BY OFFENSE","","","","",""
"","","NO. OF","% of TOTAL","",""
"OFFENSE","","OFFENDERS","OFFENDERS","",""
"Drug","","10,979","37.25%","",""
"Property","","14,036","47.62%","",""
"Aggravated Assualt","","1,217","4.13%","",""
"Violent","","2,106","7.15%","",""
"Sex","","1,137","3.86%","",""
"TOTAL","","29,475","100.00%","",""
