"","19",".34%","62",".26%"
"","5,514","100.00%","23,701","100.00%"
"BY OFFENSE","","","",""
"","","NO. OF","% of TOTAL",""
"OFFENSE","","OFFENDERS","OFFENDERS",""
"Drug","","9,019","38.05%",""
"Non-Violent","","9,978","42.10%",""
"Sex","","1,009","4.26%",""
"Violent","","3,695","15.59%",""
"TOTAL","","23,701","100.00%",""
