"AGE","MALE","FEMALE","TOTAL"
"under 18","104","3","107"
"18-24","5194","311","5505"
"25-34","6962","709","7671"
"35-49","6550","808","7358"
"50-59","1023","85","1108"
"60+","267","20","307"
"data unavailable","","","33"
