"OFFENSE","AVERAGE SENTENCE LENGTH IN YEARS","",""
"Homicide/Manslaughter","","33.00",""
"Robbery","","21.63",""
"Sex Offense","","9.14",""
"Violent","","8.03",""
"Sale of Drugs","","7.18",""
"Burglary","","4.32",""
"Possession of Drugs","","4.26",""
"Property","","3.01",""
