"","","TOTAL","1,255","32.96"
"","","NUMBER","","%"
"","Northern","1,255","","32.96"
"","Central","875","","22.98"
"TOTAL","","","",""
"","Southern","1,663","","43.67"
"","Verification Pending","15","",".39"
"","TOTAL","3,808","","100.00"
