"","","","Sex Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","1",".24","Montgomery","6","1.43"
"","Attala","5","1.19","Panola","4",".95"
"","Benton","2",".48","Pontotoc","8","1.90"
"","Bolivar","6","1.43","Prentiss","2",".48"
"","Calhoun","3",".71","Quitman","3",".71"
"","Carroll","2",".48","Sunflower","1",".24"
"","Chickasaw","4",".95","Tallahatchie","2",".48"
"Northern","Choctaw","1",".24","Tate","4",".95"
"Counties","","","","","",""
"","Coahoma","2",".48","Tippah","3",".71"
"","Desoto","20","4.75","Tishomingo","1",".24"
"","Grenada","5","1.19","Tunica","3",".71"
"","Itawamba","6","1.43","Union","2",".48"
"","Lafayette","4",".95","Washington","14","3.33"
"","Lee","15","3.56","Webster","1",".24"
"","Leflore","4",".95","Winston","4",".95"
"","Marshall","5","1.19","Yalobusha","0",".00"
"","Monroe","3",".71","TOTAL","146","34.68"
