COUNTY,OFFENDERS,%
Adams,119,1.21
Alcorn,85,0.86
Amite,31,0.31
Attala,68,0.69
Benton,25,0.25
Bolivar,85,0.86
Calhoun,94,0.95
Carroll,20,0.2
Chickasaw,112,1.14
Choctaw,22,0.22
Claiborne,23,0.23
Clarke,58,0.59
Clay,116,1.18
Coahoma,112,1.14
Copiah,118,1.2
Covington,37,0.37
Desoto,393,3.98
Forrest,343,0.22
Franklin,22,0.22
George,75,0.76
Greene,36,0.36
Grenada,102,1.03
Hancock,61,0.62
Harrison,844,8.55
Hinds,688,6.97
Holmes,36,0.36
Humphreys,25,0.25
Issaquena,1,0.01
Itawamba,65,0.66
Jackson,358,3.63
Jasper,16,0.16
Jeff Davis,22,0.22
Jefferson,30,0.3
Jones,143,1.45
Kemper,28,0.28
Lafayette,89,0.9
Lamar,186,1.89
Lauderdale,391,3.96
Lawrence,61,0.62
Leake,50,0.51
Lee,402,4.07
Leflore,101,1.02
Lincoln,127,1.29
Lowndes,366,3.71
Madison,291,2.95
Marion,122,1.24
Marshall,140,1.42
Monroe,161,1.63
Montgomery,38,0.39
Neshoba,89,0.9
Newton,52,0.53
Noxubee,27,0.27
Oktibbeha,193,1.96
Panola,114,1.16
Pearl River,157,1.59
Perry,18,0.18
Pike,232,2.35
Pontotoc,129,1.31
Prentiss,117,1.19
Quitman,35,0.35
Rankin,396,4.01
Scott,81,0.82
Sharkey,15,0.15
Simpson,51,0.52
Smith,22,0.22
Stone,52,0.53
Sunflower,70,0.71
Tallahatchie,60,0.61
Tate,62,0.63
Tippah,64,0.65
Tishomingo,33,0.33
Tunica,111,1.12
Union,101,1.02
Walthall,53,0.54
Warren,158,1.6
Washington,142,1.44
Wayne,65,0.66
Webster,29,0.29
Wilkinson,5,0.05
Winston,49,0.5
Yalobusha,26,0.26
Yazoo,84,0.85
Verification Pending,37,0.37
TOTAL,"9,867",100
