"COUNTY","OFFENDERS","%"
"Alcorn","32",".84"
"Montgomery","18",".47"
"Attala","29",".76"
"Panola","49","1.29"
"Benton","12",".32"
"Pontotoc","57","1.50"
"Bolivar","22",".58"
"Prentiss","54","1.42"
"Calhoun","46","1.21"
"Quitman","14",".37"
"Carroll","3",".08"
"Sunflower","18",".47"
"Chickasaw","59","1.55"
"Tallahatchie","28",".74"
"Choctaw","5",".13"
"Tate","8",".21"
"Coahoma","37",".97"
"Tippah","40","1.05"
"Desoto","142","3.73"
"Tishomingo","8",".21"
"Grenada","41","1.08"
"Tunica","18",".47"
"Itawamba","29",".76"
"Union","41","1.08"
"Lafayette","32",".84"
"Washington","34",".89"
"Lee","186","4.88"
"Webster","10",".26"
"Leflore","33",".87"
"Winston","16",".42"
"Marshall","55","1.44"
"Yalobusha","8",".21"
"Monroe","71","1.86"
"TOTAL","1,255","32.96"
