"COUNTY","OFFENDERS","%"
"Clarke","0",".00"
"Lawrence","1",".92"
"Clay","0",".00"
"Leake","1",".92"
"Covington","0",".00"
"Lowndes","9","8.26"
"Forrest","13","11.93"
"Marion","0",".00"
"George","1",".92"
"Neshoba","2","1.83"
"Greene","0",".00"
"Newton","0",".00"
"Hancock","0",".00"
"Noxubee","0",".00"
"Harrison","3","2.75"
"Oktibbeha","2","1.83"
"Jackson","4","3.67"
"Pearl River","0",".00"
"Jasper","0",".00"
"Perry","0",".00"
"Jeff Davis","0",".00"
"Scott","3","2.75"
"Jones","0",".00"
"Simpson","0",".00"
"Kemper","0",".00"
"Smith","0",".00"
"Lamar","1",".92"
"Stone","0",".00"
"Lauderdale","3","2.75"
"Wayne","0",".00"
"TOTAL","43","39.45"
