"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","6","1.43","Lincoln","5","1.19"
"","Amite","1",".24","Madison","4",".95"
"","Claiborne","0",".00","Pike","14","3.33"
"","Copiah","3",".71","Rankin","24","5.70"
"Central","","","","","",""
"","Franklin","1",".24","Sharkey","2",".48"
"Counties","","","","","",""
"","Hinds","39","9.26","Walthall","1",".24"
"","Holmes","1",".24","Warren","6","1.43"
"","Humphreys","1",".24","Wilkinson","0",".00"
"","Issaquena","1",".24","Yazoo","7","1.66"
"","Jefferson","1",".24","TOTAL","117","27.79"
