"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Child Molestation","7","1","","8","1.90"
"Fondling a Child","7","0","","7","1.66"
"Child Pornography","4","0","","4",".95"
"Peeping Tom","3","0","","3",".71"
"Entice Child for Indecent Purposes","2","0","","2",".48"
"Computer Luring Child for Sexual Purpose","1","0","","1",".24"
"Forcible Sexual Intercourse","1","0","","1",".24"
"Incest","1","0","","1",".24"
"Sex Assault","1","0","","1",".24"
