"COUNTY","OFFENDERS","%"
"Alcorn","3",".45"
"Montgomery","2",".30"
"Attala","7","1.05"
"Panola","5",".75"
"Benton","3",".45"
"Pontotoc","16","2.39"
"Bolivar","5",".75"
"Prentiss","3",".45"
"Calhoun","3",".45"
"Quitman","1",".15"
"Carroll","1",".15"
"Sunflower","3",".45"
"Chickasaw","5",".75"
"Tallahatchie","3",".45"
"Choctaw","2",".30"
"Tate","5",".75"
"Coahoma","5",".75"
"Tippah","7","1.05"
"Desoto","23","3.44"
"Tishomingo","2",".30"
"Grenada","6",".90"
"Tunica","9","1.35"
"Itawamba","9","1.35"
"Union","11","1.64"
"Lafayette","8","1.20"
"Washington","15","2.24"
"Lee","25","3.74"
"Webster","3",".45"
"Leflore","4",".60"
"Winston","3",".45"
"Marshall","11","1.64"
"Yalobusha","0",".00"
"Monroe","11","1.64"
"TOTAL","219","32.74"
