"","TOTAL 
 
109","","100.00"
"","Northern County with highest number convictions","Calhoun","5"
"","Central County with highest number convictions","Hinds","10"
"","Southern County with highest number convictions","Forrest","13"
"","Northern Counties with lowest number convictions","Attala, Bolivar,",""
"RECAP","","Coahoma, Grenada,",""
"","","Marshall, Pontotoc,","1"
"","","Sunflower, Tishomingo",""
"","","Winston, Yalobusha",""
"","Central Counties with lowest number convictions","Sharkey, Warren,",""
"","","Yazoo","1"
"","Southern Counties with lowest number convictions","George, Lamar,",""
"","","Lawrence, Leake","1"
