"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"592 
  
77 
  
669","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","239","41","","280","41.85"
"Black","349","35","","384","57.40"
"Hispanic","2","0","","2",".30"
"Other","2","1","","3",".45"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"50  -  59","507","64","","571","85.35"
"60  -  69","69","10","","79","11.81"
"70  -  79","16","3","","19","2.84"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Property","214","38","","252","37.67"
"Possession of Drugs","140","21","","161","24.07"
"Sale of Drugs","73","12","","85","12.71"
"Sex Offense","70","1","","71","10.61"
"Burglary","38","0","","38","5.68"
"Violent","31","3","","34","5.08"
"Homicide/Manslaughter","18","2","","20","2.99"
"Robbery","8","0","","8","1.20"
