"OFFENSE","AVERAGE AGE AT TIME OF OFFENSE"
"Property","34.67"
"Drug Possession","32.37"
"Burglary","28.68"
"Drug Sale","32.23"
"Violent","30.76"
"Robbery","26.43"
"Sex Offense","36.20"
"Homicide/Manslaughter","29.67"
