"OFFENSE 
AVERAGE SENTENCE LENGTH IN YEARS","",""
"Rape","13.44",""
"Statutory Rape","12.10",""
"Sexual Battery","11.97",""
"Sex Assault","10.00",""
"Unlawful Touching of Child","9.26",""
"Gratification of Lust","8.36",""
"Fondling","7.82",""
"Child Molestation","7.25",""
"Fondling a Child","6.14",""
"Incest","6.00",""
"Exploitation of Child","5.90",""
"Child Pornography","5.50",""
"Entice Child for Indecent Purposes","4.50",""
"Computer Luring of Child for Sexual Purpose","3.00",""
"Forcible Sexual Intercourse","3.00",""
"Peeping Tom","2.67",""
"Failure to Register as Sex Offender","2.21",""
