"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","37","0","37","33.94"
"Homicide/Manslaughter","7","0","7","6.42"
"Property","21","0","21","19.27"
"Possession of Drugs","6","0","6","5.50"
"Robbery","23","0","23","21.10"
"Sale of Drugs","3","0","3","2.75"
"Sex Offenses","5","0","5","4.59"
"Violent","6","1","7","6.42"
"TOTAL","108","1","109","100.00"
