"COUNTY","OFFENDERS","%"
"Clarke","3",".71"
"Lawrence","1",".24"
"Clay","2",".48"
"Leake","2",".48"
"Covington","1",".24"
"Lowndes","8","1.90"
"Forrest","7","1.66"
"Marion","4",".95"
"George","5","1.19"
"Neshoba","1",".24"
"Greene","1",".24"
"Newton","2",".48"
"Hancock","4",".95"
"Noxubee","1",".24"
"Harrison","26","6.18"
"Oktibbeha","7","1.66"
"Jackson","23","5.46"
"Pearl River","4",".95"
"Jasper","3",".71"
"Perry","0",".00"
"Jeff Davis","0",".00"
"Scott","9","2.14"
"Jones","8","1.90"
"Simpson","0",".00"
"Kemper","1",".24"
"Smith","3",".71"
"Lamar","6","1.43"
"Stone","3",".71"
"Lauderdale","18","4.28"
"Wayne","4",".95"
"Verification Pending","1","0"
