yfips,year,fips,state,us_state_or_territory,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
197028001,1970,28001,MS,Mississippi,Adams County,37443,21872,11767,10105,,9483,,,27,12362,rural,South,East South Central,289,35020,462.344,0,,,,20,0,11,,,,,,4,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197128001,1971,28001,MS,Mississippi,Adams County,38065,22376,12000,10376,,9725,,,27,12624,rural,South,East South Central,289,35020,462.344,0,,,,21.625,0,14.25,,,,,,4.5,0,3.625,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197228001,1972,28001,MS,Mississippi,Adams County,37851,22409,11983,10426,,9763,,,26,12620,rural,South,East South Central,289,35020,462.344,0,,,,23.25,0,17.5,,,,,,5,0,4.25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197328001,1973,28001,MS,Mississippi,Adams County,37392,22273,11890,10383,,9737,,,28,12508,rural,South,East South Central,289,35020,462.344,0,,,,24.875,0,20.75,,,,,,5.5,0,4.875,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197428001,1974,28001,MS,Mississippi,Adams County,37668,22660,12085,10575,,9927,,,27,12706,rural,South,East South Central,289,35020,462.344,0,,,,26.5,0,24,,,,,,6,0,5.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197528001,1975,28001,MS,Mississippi,Adams County,38394,23340,12442,10898,,10268,,,32,13040,rural,South,East South Central,289,35020,462.344,0,,,,28.125,0,27.25,,,,,,6.5,0,6.125,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197628001,1976,28001,MS,Mississippi,Adams County,37985,23344,12459,10885,,10308,,,32,13004,rural,South,East South Central,289,35020,462.344,0,,,,29.75,0,30.5,,,,,,7,0,6.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197728001,1977,28001,MS,Mississippi,Adams County,37861,23451,12537,10914,,10391,,,35,13025,rural,South,East South Central,289,35020,462.344,0,,,,31.375,0,33.75,,,,,,7.5,0,7.375,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,24265,1009,179,830,5,2,25,147,216,598,16,0
197828001,1978,28001,MS,Mississippi,Adams County,37875,23669,12677,10992,,10528,,,35,13106,rural,South,East South Central,289,35020,462.344,1303.572,,,,33,0,37,,,,,,8,0,8,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,23924,1281,201,1080,2,5,24,170,223,847,10,0
197928001,1979,28001,MS,Mississippi,Adams County,37713,23724,12721,11003,,10591,,,36,13097,rural,South,East South Central,289,35020,462.344,1440.057,,,,37.8,0,40.6,,,,,,11.2,0,8.4,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
198028001,1980,28001,MS,Mississippi,Adams County,38180,24126,12955,11171,,10891,,,36,13199,rural,South,East South Central,289,35020,462.344,1576.543,,,,42.6,0,44.2,,,,,,14.4,0,8.8,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22182,2031,81,1950,2,10,26,43,460,1452,36,2
198128001,1981,28001,MS,Mississippi,Adams County,38697,24399,13119,11280,,11055,,,38,13306,rural,South,East South Central,289,35020,462.344,1713.029,,,,47.4,0,47.8,,,,,,17.6,0,9.2,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22345,2028,81,1947,3,12,34,32,365,1552,29,1
198228001,1982,28001,MS,Mississippi,Adams County,39175,24621,13249,11372,,11191,,,44,13386,rural,South,East South Central,289,35020,462.344,1849.514,,,,52.2,0,51.4,,,,,,20.8,0,9.6,25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
198328001,1983,28001,MS,Mississippi,Adams County,38843,24300,13088,11212,,11071,,,45,13184,rural,South,East South Central,289,35020,462.344,1986,,,,57,2,55,,,,,,24,0,10,28,0,1,0,0,0,,,,79,,,0,68,0,0,0,11,32,,,0,27,0,0,0,5,0,0,0,0,22848,2000,554,1446,4,17,27,506,567,836,39,4
198428001,1984,28001,MS,Mississippi,Adams County,39009,24315,13109,11206,,11109,,,46,13160,rural,South,East South Central,289,35020,462.344,2044.4,,,,53.2,2.2,50.6,,,,,,22,0,10.4,25.6,0,1,0,0,0,,,,84,,,0,71,0,0,0,13,66,5,61,0,48,0,0,4,14,0,0,0,0,23113,2182,485,1697,7,24,21,433,528,1098,68,3
198528001,1985,28001,MS,Mississippi,Adams County,38823,24107,13019,11088,,11037,,,60,13010,rural,South,East South Central,289,35020,462.344,2102.8,,,,49.4,2.4,46.2,,,,,,20,0,10.8,23.2,0,1,0,0,0,,,,123,6,117,0,99,0,0,1,23,85,5,80,0,65,0,0,2,18,0,0,0,0,23247,1879,143,1736,2,9,22,110,407,1233,90,6
198628001,1986,28001,MS,Mississippi,Adams County,37693,23381,12624,10757,,10743,,,61,12577,rural,South,East South Central,289,35020,462.344,2161.2,,,,45.6,2.6,41.8,,,,,,18,0,11.2,20.8,0,1,0,0,0,,,,109,5,104,0,89,0,0,0,20,98,,,0,62,0,0,3,33,0,0,0,0,22672,1769,75,1694,3,9,28,35,314,1306,67,7
198728001,1987,28001,MS,Mississippi,Adams County,36540,22638,12236,10402,,10453,,,62,12123,rural,South,East South Central,289,35020,462.344,2219.6,,,,41.8,2.8,37.4,,,,,,16,0,11.6,18.4,0,1,0,0,0,,,,108,7,101,0,82,0,0,0,26,69,6,63,0,45,0,0,0,24,0,0,0,0,22179,1820,106,1714,2,21,36,47,342,1332,37,3
198828001,1988,28001,MS,Mississippi,Adams County,35795,22114,11977,10137,,10271,,,62,11781,rural,South,East South Central,289,35020,462.344,2278,,,,38,3,33,,,,,,14,2,12,16,0,1,0,0,0,,,,117,6,111,0,100,0,0,0,17,61,5,56,0,50,0,0,0,11,0,0,0,0,21402,1928,160,1768,2,14,26,118,483,1218,59,8
198928001,1989,28001,MS,Mississippi,Adams County,35768,22022,11946,10076,,10272,,,70,11680,rural,South,East South Central,289,35020,462.344,2345.844,,,,47.4,3.4,42.4,,,,,,24.2,2.8,21.4,13.4,0,4,0,0,0,,,,89,5,84,0,76,0,0,0,13,48,7,41,0,32,0,0,0,16,0,0,0,0,20860,1880,110,1770,3,10,24,73,547,1147,74,2
199028001,1990,28001,MS,Mississippi,Adams County,35294,21891,11879,10012,40,10231,88,22,,11510,rural,South,East South Central,289,35020,462.344,2413.688,,,,56.8,3.8,51.8,0,52.8,0,0,6,34.4,3.6,30.8,10.8,0,7,0,0,0,,,,89,5,84,0,75,0,0,0,14,50,7,43,0,37.5,0,0,0,12.5,0,0,0,0,19460,1854,173,1681,3,22,47,101,394,1219,62,6
199128001,1991,28001,MS,Mississippi,Adams County,35390,21869,11872,9997,42,10360,88,19,,11360,rural,South,East South Central,289,35020,462.344,2481.532,,,,66.2,4.2,61.2,0,65.2,0,0,5,44.6,4.4,40.2,8.2,0,10,0,0,0,,,,104,13,91,0,89,0,0,0,15,52,7,45,0,43,0,0,0,9,0,0,0,0,19602,2069,215,1854,4,11,55,145,504,1296,50,4
199228001,1992,28001,MS,Mississippi,Adams County,34899,21465,11650,9815,44,10310,87,18,,11006,rural,South,East South Central,289,35020,462.344,2549.377,,,,75.6,4.6,70.6,0,77.6,0,0,4,54.8,5.2,49.6,5.6,0,13,0,0,0,,,,111,10,101,0,102,0,0,0,9,90,11,79,0,85,0,0,0,5,0,0,0,0,19768,1740,152,1588,2,9,60,81,426,1130,32,0
199328001,1993,28001,MS,Mississippi,Adams County,35013,21565,11660,9905,45,10503,86,20,,10911,rural,South,East South Central,289,35020,462.344,2617.221,,,,85,5,80,0,90,0,0,3,65,6,59,3,0,16,0,0,0,,,,125,8,117,0,114,0,0,0,11,73,,,0,69,0,0,0,4,0,0,0,0,,,,,,,,,,,,
