index,yfips,year,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime,asian_jail_pop_rate,female_jail_pop_rate,female_jail_adm_dcrp_rate,female_jail_pretrial_rate,female_jail_pop_dcrp_rate,female_prison_pop_rate,female_prison_adm_rate,male_jail_adm_dcrp_rate,male_jail_pop_rate,male_jail_pretrial_rate,male_jail_pop_dcrp_rate,male_prison_pop_rate,male_prison_adm_rate,asian_prison_pop_rate,asian_prison_adm_rate,other_prison_pop_rate,other_prison_adm_rate,white_jail_pop_rate,white_prison_pop_rate,white_prison_adm_rate,black_jail_pop_rate,black_prison_pop_rate,black_prison_adm_rate,latino_jail_pop_rate,latino_prison_pop_rate,latino_prison_adm_rate,native_jail_pop_rate,native_prison_pop_rate,native_prison_adm_rate,total_jail_adm_rate,total_jail_adm_dcrp_rate,total_jail_pop_rate,total_jail_pop_dcrp_rate,total_jail_pretrial_rate,total_prison_pop_rate,total_prison_adm_rate,total_jail_pop_v2,total_jail_pop_v2_rate
0,197028001,1970,Adams,37443,21872,11767,10105,,9483,,,27,12362,0,,,,20,0,11,,,,,,4,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,108.8570015,29.68827313,,,,,,,,,,,,,,,,,,,,0,,91.44111192,,18.28822238,,,20,91.44111192
1,197128001,1971,Adams,38065,22376,12000,10376,,9725,,,27,12624,0,,,,21.625,0,14.25,,,,,,4.5,0,3.625,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,137.3361604,34.93639167,,,,,,,,,,,,,,,,,,,,0,,96.64372542,,20.11083304,,,21.625,96.64372542
2,197228001,1972,Adams,37851,22409,11983,10426,,9763,,,26,12620,0,,,,23.25,0,17.5,,,,,,5,0,4.25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,167.8496068,40.76347593,,,,,,,,,,,,,,,,,,,,0,,103.7529564,,22.31246374,,,23.25,103.7529564
3,197328001,1973,Adams,37392,22273,11890,10383,,9737,,,28,12508,0,,,,24.875,0,20.75,,,,,,5.5,0,4.875,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,199.845902,46.95174805,,,,,,,,,,,,,,,,,,,,0,,111.6823059,,24.69357518,,,24.875,111.6823059
4,197428001,1974,Adams,37668,22660,12085,10575,,9927,,,27,12706,0,,,,26.5,0,24,,,,,,6,0,5.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,226.9503546,52.00945626,,,,,,,,,,,,,,,,,,,,0,,116.9461606,,26.47837599,,,26.5,116.9461606
5,197528001,1975,Adams,38394,23340,12442,10898,,10268,,,32,13040,0,,,,28.125,0,27.25,,,,,,6.5,0,6.125,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,250.04588,56.20297302,,,,,,,,,,,,,,,,,,,,0,,120.5012853,,27.84918595,,,28.125,120.5012853
6,197628001,1976,Adams,37985,23344,12459,10885,,10308,,,32,13004,0,,,,29.75,0,30.5,,,,,,7,0,6.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,280.202113,62.01194304,,,,,,,,,,,,,,,,,,,,0,,127.4417409,,29.98629198,,,29.75,127.4417409
7,197728001,1977,Adams,37861,23451,12537,10914,,10391,,,35,13025,0,,,,31.375,0,33.75,,,,,,7.5,0,7.375,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,24265,1009,179,830,5,2,25,147,216,598,16,0,,0,,0,,,,,309.2358439,67.57375848,,,,,,,,,,,,,,,,,,,,0,,133.7896039,,31.98157861,,,31.375,133.7896039
8,197828001,1978,Adams,37875,23669,12677,10992,,10528,,,35,13106,1303.572,,,,33,0,37,,,,,,8,0,8,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,23924,1281,201,1080,2,5,24,170,223,847,10,0,,0,,0,,,,,336.6084425,72.78020378,,,,,,,,,,,,,,,,,,,,5507.507711,,139.4228738,,33.79948456,,,33,139.4228738
9,197928001,1979,Adams,37713,23724,12721,11003,,10591,,,36,13097,1440.057,,,,37.8,0,40.6,,,,,,11.2,0,8.4,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,,0,,,,,368.9902754,76.3428156,,,,,,,,,,,,,,,,,,,,6070.042994,,159.3323217,,47.2095768,,,37.8,159.3323217
