year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,18971,11047,0.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,19546,11465,0.0,,3.25,1.538462,0.0,0.0,0.0,0.0,0.0,0.0,
1972,19612,11583,0.0,,3.5,2.076923,0.0,0.0,0.0,0.0,0.0,0.0,
1973,19581,11627,0.0,,3.75,2.615385,0.0,0.0,0.0,0.0,0.0,0.0,
1974,19794,11848,0.0,,4.0,3.1538459999999997,0.0,0.0,0.0,0.0,0.0,0.0,
1975,19944,12030,0.0,,4.25,3.692308,0.0,0.0,0.0,0.0,0.0,0.0,
1976,20246,12273,0.0,,4.5,4.2307690000000004,0.0,0.0,0.0,0.0,0.0,0.0,
1977,20547,12494,0.0,,4.75,4.7692309999999996,0.0,0.0,0.0,0.0,0.0,0.0,
1978,20845,12712,625.7143,,5.0,5.307693,3.0,0.0,0.0,0.0,0.0,0.0,
1979,20990,12786,625.3715,,8.6,5.846154,4.8,0.0,0.0,0.0,0.0,0.0,
1980,21094,12841,625.0286,,12.2,6.384615,6.6,0.0,0.0,0.0,0.0,0.0,
1981,21243,12943,624.6857,,15.8,6.923077,8.4,0.0,0.0,0.0,0.0,0.0,
1982,21578,13145,624.3428,,19.4,7.461538000000001,10.2,0.0,0.0,0.0,0.0,0.0,
1983,21588,13130,624.0,,23.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,
1984,21599,13135,723.4,,24.8,9.6,13.6,0.0,0.0,0.0,0.0,0.0,
1985,21396,12992,822.8,,26.6,11.2,15.2,0.0,0.0,0.0,0.0,0.0,
1986,21353,12997,922.2,,28.4,12.8,16.8,0.0,0.0,0.0,0.0,0.0,
1987,21201,12935,1021.6,,30.2,14.4,18.4,0.0,0.0,0.0,0.0,0.0,
1988,21165,12918,1121.0,,32.0,16.0,20.0,0.0,4.0,0.0,0.0,0.0,
1989,21128,12883,1087.114,,37.6,14.6,21.6,0.0,4.4545449999999995,0.0,0.0,0.0,
1990,21151,13026,1053.229,,43.2,13.2,23.2,0.0,4.909091,0.0,0.0,0.0,
1991,21361,13167,1019.3430000000001,,48.8,11.8,24.8,0.0,5.363636,0.0,0.0,0.0,
1992,21453,13188,985.4572,,54.4,10.4,26.4,0.0,5.818182,0.0,0.0,0.0,
1993,21588,13311,951.5714,,60.0,9.0,28.0,0.0,6.272727,0.0,0.0,0.0,
1994,21600,13363,917.6857,,70.0,14.5,29.6,0.0,6.727272999999999,0.0,0.0,0.0,
1995,21803,13539,883.8,,80.0,20.0,31.2,0.0,7.181817999999999,0.0,0.0,0.0,
1996,21818,13593,849.9143,,80.0,25.5,32.8,0.0,7.636364,0.0,0.0,0.0,
1997,21779,13594,816.0286,,65.0,31.0,34.4,0.0,8.090909,0.0,0.0,0.0,
1998,21884,13729,782.1429,,73.0,38.0,36.0,0.0,8.545455,0.0,0.0,0.0,
1999,21947,13816,1147.143,,90.0,44.0,53.0,0.0,9.0,0.0,0.0,0.0,
2000,21984,13892,1042.857,1712.0,86.0,42.83333,48.5,0.0,7.6666669999999995,0.0,0.0,0.0,69.0
2001,21811,13793,938.5715,1719.0,82.0,41.66667,44.0,0.0,6.3333330000000005,0.0,0.0,0.0,83.0
2002,21845,13865,834.2858,1655.0,78.0,40.5,39.5,0.0,5.0,0.0,0.0,0.0,100.0
2003,21484,13634,730.0001,1668.0,74.0,39.33333,35.0,0.0,3.666667,0.0,0.0,0.0,104.0
2004,21531,13724,625.7143,1615.0,70.0,38.16667,30.5,0.0,2.333333,0.0,0.0,0.0,90.0
2005,21245,13613,521.4286,1677.0,66.0,37.0,26.0,0.0,1.0,0.0,0.0,0.0,76.0
2006,21139,13623,614.5,1593.0,73.375,41.5,29.25,0.0,2.5,0.0,0.0,0.0,82.0
2007,21017,13578,707.5714,1509.0,80.75,46.0,32.5,0.0,4.0,0.0,0.0,0.0,85.0
2008,20878,13486,800.6429,1426.0,88.125,50.5,35.75,0.0,5.5,0.0,0.0,0.0,105.0
2009,20804,13427,893.7143,1342.0,95.5,55.0,39.0,0.0,7.0,0.0,0.0,0.0,112.0
2010,20634,13313,986.7857,1258.0,102.875,59.5,42.25,0.0,8.5,0.0,0.0,0.0,128.0
2011,20547,13268,1079.857,1656.0,110.25,64.0,45.5,0.0,10.0,0.0,0.0,0.0,116.0
2012,20480,13194,1172.9289999999999,1782.0,117.625,68.5,48.75,0.0,11.5,0.0,0.0,0.0,116.0
2013,20383,13077,1266.0,1266.0,125.0,73.0,52.0,0.0,13.0,0.0,0.0,0.0,125.0
2014,20345,13024,1266.0,,125.0,73.0,52.0,0.0,13.0,0.0,0.0,0.0,
2015,20135,12899,1266.0,,125.0,73.0,52.0,0.0,13.0,0.0,0.0,0.0,
2016,19989,12774,,,,,,,,,,,
