year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,40217,21174,0.0,,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,39311,20762,0.0,,40.75,36.25,0.0,0.0,0.0,0.0,0.0,0.0,
1972,40094,21422,0.0,,42.5,32.5,0.0,0.0,0.0,0.0,0.0,0.0,
1973,39200,21081,0.0,,44.25,28.75,0.0,0.0,0.0,0.0,0.0,0.0,
1974,38727,21034,0.0,,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,38481,21115,0.0,,47.75,21.25,0.0,0.0,0.0,0.0,0.0,0.0,
1976,37900,21001,0.0,,49.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,
1977,37709,21107,0.0,,51.25,13.75,0.0,0.0,0.0,0.0,0.0,0.0,
1978,37743,21323,260.7143,,53.0,10.0,7.0,0.0,6.0,0.0,0.0,0.0,
1979,37138,21085,424.5714,,58.4,12.0,15.2,0.0,10.7,0.0,0.0,0.0,
1980,36754,20969,588.4286,,63.8,14.0,23.4,0.0,15.4,0.0,0.0,0.0,
1981,36298,20723,752.2857,,69.2,16.0,31.6,0.0,20.1,0.0,0.0,0.0,
1982,35820,20438,916.1429,,74.6,18.0,39.8,0.0,24.8,0.0,0.0,0.0,
1983,35636,20298,1080.0,,80.0,20.0,48.0,0.0,29.5,0.0,0.0,0.0,
1984,35351,20123,1675.0,,75.0,17.0,45.4,0.0,34.2,0.0,0.0,0.0,
1985,34595,19668,2270.0,,70.0,14.0,42.8,0.0,38.9,0.0,0.0,0.0,
1986,34163,19492,720.0,,59.0,33.0,40.2,0.0,43.6,0.0,0.0,0.0,
1987,33468,19138,740.0,,70.0,24.0,37.6,0.0,48.3,0.0,0.0,0.0,
1988,32562,18644,2223.0,,80.0,24.0,35.0,0.0,53.0,0.0,0.0,0.0,
1989,32101,18361,2623.0,,120.0,37.0,36.636359999999996,0.0,51.09091,0.0,0.0,0.0,
1990,31565,18265,1528.0,,96.0,35.0,38.272729999999996,0.0,49.18182,0.0,0.0,0.0,
1991,31422,18129,1788.0,,116.0,35.0,39.90909,0.0,47.272729999999996,0.0,0.0,0.0,
1992,31540,18196,1903.4289999999999,,121.0,94.0,41.54546,0.0,45.363640000000004,0.0,0.0,0.0,
1993,31635,18389,2018.8570000000002,,86.0,25.0,43.18182,0.0,43.45454,0.0,0.0,0.0,
1994,31432,18381,2134.286,,91.66666,22.5,44.81818,0.0,41.54546,0.0,0.0,0.0,
1995,31403,18513,2249.714,,97.33334,20.0,46.45454,0.0,39.636359999999996,0.0,0.0,0.0,
1996,31433,18672,2365.143,,103.0,17.5,48.09091,0.0,37.727270000000004,0.0,0.0,0.0,
1997,31251,18729,2480.572,,108.6667,15.0,49.727270000000004,0.0,35.81818,0.0,0.0,0.0,
1998,31023,18685,2596.0,,114.3333,12.5,51.363640000000004,0.0,33.90909,0.0,0.0,0.0,
1999,30836,18627,2711.429,,120.0,10.0,53.0,0.0,32.0,0.0,0.0,0.0,
2000,30526,18524,2085.714,2290.0,92.0,21.0,29.0,0.0,24.75,0.0,0.0,0.0,66.0
2001,30172,18411,938.5714,2405.0,85.0,53.0,27.0,0.0,17.5,0.0,0.0,0.0,68.0
2002,29662,18257,1981.4289999999999,2398.0,102.0,55.0,37.0,0.0,10.25,0.0,0.0,0.0,120.0
2003,29055,17931,2346.429,1825.0,140.0,73.0,55.0,0.0,3.0,0.0,1.0,0.0,160.0
2004,28508,17655,3285.0,2396.0,160.0,81.0,63.0,0.0,2.0,0.0,1.0,0.0,145.0
2005,27875,17398,1825.0,2935.0,130.0,98.0,11.0,0.0,0.0,0.0,1.0,0.0,125.0
2006,27441,17210,1903.125,2935.0,126.5,94.625,12.0,0.0,0.0,0.0,1.0,0.0,138.0
2007,27025,17059,1981.25,2935.0,123.0,91.25,13.0,0.0,0.0,0.0,1.0,0.0,135.0
2008,26549,16812,2059.375,2935.0,119.5,87.875,14.0,0.0,0.0,0.0,1.0,0.0,147.0
2009,26257,16692,2137.5,2935.0,116.0,84.5,15.0,0.0,0.0,0.0,1.0,0.0,120.0
2010,26145,16675,2215.625,2935.0,112.5,81.125,16.0,0.0,0.0,0.0,1.0,0.0,120.0
2011,26106,16667,2293.75,2935.0,109.0,77.75,17.0,0.0,0.0,0.0,1.0,0.0,120.0
2012,25846,16526,2371.875,2935.0,105.5,74.375,18.0,0.0,0.0,0.0,1.0,0.0,120.0
2013,25613,16394,2450.0,2935.0,102.0,71.0,19.0,0.0,0.0,0.0,1.0,0.0,120.0
2014,25181,16018,2450.0,,102.0,71.0,19.0,0.0,0.0,0.0,1.0,0.0,
2015,24842,15800,2450.0,,102.0,71.0,19.0,0.0,0.0,0.0,1.0,0.0,
2016,24481,15525,,,,,,,,,,,
