yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
197028001,1970,28001,MS,Adams County,37443,21872,11767,10105,,9483,,,27,12362,rural,South,East South Central,289,35020,462.344,0,,,,20,0,11,,,,,,4,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197128001,1971,28001,MS,Adams County,38065,22376,12000,10376,,9725,,,27,12624,rural,South,East South Central,289,35020,462.344,0,,,,21.625,0,14.25,,,,,,4.5,0,3.625,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197228001,1972,28001,MS,Adams County,37851,22409,11983,10426,,9763,,,26,12620,rural,South,East South Central,289,35020,462.344,0,,,,23.25,0,17.5,,,,,,5,0,4.25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197328001,1973,28001,MS,Adams County,37392,22273,11890,10383,,9737,,,28,12508,rural,South,East South Central,289,35020,462.344,0,,,,24.875,0,20.75,,,,,,5.5,0,4.875,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197428001,1974,28001,MS,Adams County,37668,22660,12085,10575,,9927,,,27,12706,rural,South,East South Central,289,35020,462.344,0,,,,26.5,0,24,,,,,,6,0,5.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197528001,1975,28001,MS,Adams County,38394,23340,12442,10898,,10268,,,32,13040,rural,South,East South Central,289,35020,462.344,0,,,,28.125,0,27.25,,,,,,6.5,0,6.125,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197628001,1976,28001,MS,Adams County,37985,23344,12459,10885,,10308,,,32,13004,rural,South,East South Central,289,35020,462.344,0,,,,29.75,0,30.5,,,,,,7,0,6.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197728001,1977,28001,MS,Adams County,37861,23451,12537,10914,,10391,,,35,13025,rural,South,East South Central,289,35020,462.344,0,,,,31.375,0,33.75,,,,,,7.5,0,7.375,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,24265,1009,179,830,5,2,25,147,216,598,16,0
197828001,1978,28001,MS,Adams County,37875,23669,12677,10992,,10528,,,35,13106,rural,South,East South Central,289,35020,462.344,1303.572,,,,33,0,37,,,,,,8,0,8,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,23924,1281,201,1080,2,5,24,170,223,847,10,0
197928001,1979,28001,MS,Adams County,37713,23724,12721,11003,,10591,,,36,13097,rural,South,East South Central,289,35020,462.344,1440.057,,,,37.8,0,40.6,,,,,,11.2,0,8.4,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
