year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,24688,13848,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,24448,13766,0.0,,3.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1972,26495,15216,0.0,,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973,25492,14669,0.0,,9.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1974,25820,14995,0.0,,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,25323,14762,0.0,,15.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1976,25625,15079,0.0,,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1977,26188,15596,0.0,,21.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1978,26366,15791,1877.1429999999998,,24.0,2.0,12.0,0.0,3.0,0.0,0.0,0.0,
1979,26264,15807,1659.914,,24.6,2.6,12.2,0.0,3.5333330000000003,0.0,0.0,0.0,
1980,26411,15979,1442.6860000000001,,25.2,3.2,12.4,0.0,4.066667,0.0,0.0,0.0,
1981,26125,15861,1225.4569999999999,,25.8,3.8,12.6,0.0,4.6,0.0,0.0,0.0,
1982,26323,16015,1008.2289999999999,,26.4,4.4,12.8,0.0,5.133333,0.0,0.0,0.0,
1983,26404,16085,791.0,,27.0,5.0,13.0,0.0,5.6666669999999995,0.0,0.0,0.0,
1984,26670,16276,840.8,,28.2,4.6,13.4,0.0,6.2,0.0,0.0,0.0,
1985,26870,16416,890.6,,29.4,4.2,13.8,0.0,6.733333,0.0,0.0,0.0,
1986,27136,16664,940.4,,30.6,3.8,14.2,0.0,7.266667,0.0,0.0,0.0,
1987,27441,16928,990.2,,31.8,3.4,14.6,0.0,7.8,0.0,0.0,0.0,
1988,27424,16976,1040.0,,33.0,3.0,15.0,0.0,8.333333,0.0,0.0,0.0,
1989,27379,16981,1050.714,,37.8,3.4,15.0,0.0,8.866667,0.0,0.0,0.0,
1990,27631,17328,1061.4289999999999,,42.6,3.8,15.0,0.0,9.4,0.0,0.0,0.0,
1991,27587,17309,1072.143,,47.4,4.2,15.0,0.0,9.933333,0.0,0.0,0.0,
1992,27719,17384,1082.857,,52.2,4.6,15.0,0.0,10.46667,0.0,0.0,0.0,
1993,27905,17556,1093.572,,57.0,5.0,15.0,0.0,11.0,0.0,0.0,0.0,
1994,28035,17807,1104.286,,70.0,16.0,18.0,0.0,10.5,0.0,0.0,0.0,
1995,28179,18020,1115.0,,64.0,27.0,21.0,0.0,10.0,0.0,0.0,0.0,
1996,28458,18306,1125.714,,95.0,38.0,24.0,0.0,9.5,0.0,0.0,0.0,
1997,28787,18592,1136.4289999999999,,75.0,49.0,27.0,0.0,9.0,0.0,0.0,0.0,
1998,28762,18695,1147.143,,92.0,60.0,30.0,0.0,8.5,0.0,3.0,0.0,
1999,28795,18813,1460.0,,80.0,38.0,8.0,2.0,8.0,0.0,0.0,0.0,
2000,28761,18883,1338.3329999999999,2683.0,74.83334,38.5,0.0,0.0,0.0,0.0,0.0,0.0,74.0
2001,28857,18982,1216.667,2546.0,69.66666,39.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
2002,28762,18996,1095.0,2100.0,64.5,39.5,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2003,29058,19195,973.3333,2543.0,59.333330000000004,40.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2004,29157,19271,851.6667,1088.0,54.166669999999996,40.5,0.0,0.0,0.0,0.0,0.0,0.0,49.0
2005,29134,19275,730.0,1915.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
2006,29540,19505,730.0,1900.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
2007,29565,19525,730.0,1861.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
2008,29584,19613,730.0,1822.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
2009,29484,19446,730.0,1784.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
2010,29449,19348,730.0,1745.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
2011,29436,19337,730.0,1440.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
2012,29284,19177,730.0,1295.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
2013,29022,18841,730.0,1295.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
2014,28881,18679,730.0,,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015,28928,18702,730.0,,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016,28812,18524,,,,,,,,,,,
