"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,572","61.99%","411","34.86%","4,983","58.25%"
"White","2,750","37.29%","756","64.12%","3,506","40.99%"
"Hispanic","27",".37%","9",".76%","36",".42%"
"Native American","9",".12%","1",".08%","10",".12%"
"Asian","14",".19%","2",".17%","16",".19%"
"Data Unavailable","3",".04%","0",".00%","3",".04%"
"TOTAL","7,375","100.00%","1,179","100.00%","8,554","100.00%"
"","","BY OFFENSE","","","",""
"","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","OFFENDERS","OFFENDERS",""
"","","","Drug","4,082","47.72%",""
"","","","Property","3,559","41.61%",""
"","","","Violent","684","8.00%",""
"","","","Sex","113","1.32%",""
"","","","Aggravated Assault","116","1.36%",""
"","","","TOTAL","8,554","100.00%",""
